VERSION,x86_64-macos
1.2.38,0
1.2.39,0
1.2.40,0
1.2.41,0
1.2.42,0
1.2.43,0
1.2.44,0
1.2.45,0
1.2.46,0
1.2.47,0
1.2.48,0
1.2.49,0
1.2.50,0
1.2.51,0
1.2.52,0
1.2.53,0
1.2.54,0
1.2.55,0
1.2.56,0
1.2.57,0
1.2.58,0
1.2.59,0
1.2.60,0
1.2.61,0
1.2.62,0
1.2.63,0
1.2.64,0
1.2.65,0
1.2.66,0
1.2.67,0
1.2.68,0
1.2.69,0
1.2.70,0
1.2.71,0
1.2.72,0
1.2.73,0
1.2.74,0
1.2.75,0
1.2.76,0
1.2.77,0
1.2.78,0
1.2.79,0
1.2.80,0
1.2.81,0
1.2.82,0
1.2.83,0
1.2.84,0
1.2.85,0
1.2.86,0
1.2.87,0
1.2.88,0
1.2.89,0
1.2.90,0
1.2.91,0
1.2.92,0
1.2.93,0
1.2.94,0
1.2.95,0
1.2.96,0
1.2.97,0
1.2.98,0
1.2.99,0
1.2.100,0
1.2.101,0
1.2.102,0
1.2.103,0
1.2.104,0
1.2.105,0
1.2.106,0
1.2.107,0
1.2.108,0
1.2.109,0
1.2.110,0
1.2.111,0
1.2.112,0
1.2.113,0
1.2.114,0
1.2.115,0
1.2.116,0
1.2.117,0
1.2.118,0
1.2.119,0
1.2.120,0
1.2.121,0
1.2.122,0
1.2.123,0
1.2.124,0
1.2.125,0
1.2.126,0
1.2.127,0
1.2.128,0
1.2.129,0
1.2.130,0
1.2.131,0
1.2.132,0
1.2.133,0
1.2.134,0
1.2.135,0
1.2.136,0
1.2.137,0
1.2.138,0
1.2.139,0
1.2.140,0
1.2.141,0
1.2.142,0
1.2.143,0
1.2.144,0
1.2.145,0
1.2.146,0
1.2.147,0
1.2.148,0
1.2.149,0
1.2.150,0
1.2.151,0
1.2.152,0
1.2.153,0
1.2.154,0
1.2.155,0
1.2.156,0
1.2.157,0
1.2.158,0
1.2.159,0
1.2.160,0
1.2.161,0
1.2.162,0
1.2.163,0
1.2.164,0
1.2.165,0
1.2.166,107064052
1.2.167,107078765
1.2.168,107086636
1.2.169,107288572
1.2.170,135803529
1.2.171,135803529
1.2.172,135597602
1.2.173,133654536
1.2.174,133654536
1.2.175,134616479
1.2.176,134652129
1.2.177,134678844
1.2.178,134678844
1.2.179,134096242
1.2.180,134096242
1.2.181,135181408
1.2.182,132069097
1.2.183,131915149
1.2.184,131933875
1.2.185,134226201
1.2.186,134257274
1.2.187,134273270
1.2.188,133923330
1.2.189,134043599
1.2.190,132934472
1.2.191,132706312
1.2.192,132750708
1.3.0,130366147
1.3.1,130514885
1.3.2,131498227
1.3.3,131498227
1.3.4,131435613
1.3.5,134420551
1.3.6,132902440
1.3.7,133802830
1.4.0,133513289
1.4.1,136543267
1.4.2,136741886
1.4.3,141953878
1.4.4,147706730
1.4.5,147133218
1.4.6,144314016
1.4.7,139058992
1.4.8,139761626
1.5.0,142383446
1.6.0,142291689
1.6.1,151056273
1.6.2,152415095
1.6.3,142057068
1.6.4,142391490
1.7.0,142750407
1.8.0,143038403
1.8.1,143132178
1.9.0,144051552
1.9.1,144870024
1.9.2,144734030
1.9.3,145048368
1.9.4,156849600
1.9.5,159571915
1.9.6,154545456
1.9.7,165631787
1.9.8,177701000
1.10.0,183379180
1.10.1,183232147
1.10.2,187512556
1.10.3,187524563
1.10.4,191077485
1.11.0,191070974
1.11.1,191344503
1.11.2,191401655
1.12.0,192725764
1.12.1,195564374
1.12.2-alpha,195751554
