VERSION,arm64-ios,arm64-android,armv7-android,x86_64-macos,js-web,wasm-web,x86_64-linux,x86-win32,x86_64-win32,arm64-macos
1.2.38,0,0,0,0,0,0,0,0,0,0
1.2.39,0,0,0,0,0,0,0,0,0,0
1.2.40,0,0,0,0,0,0,0,0,0,0
1.2.41,0,0,0,0,0,0,0,0,0,0
1.2.42,0,0,0,0,0,0,0,0,0,0
1.2.43,0,0,0,0,0,0,0,0,0,0
1.2.44,0,0,0,0,0,0,0,0,0,0
1.2.45,0,0,0,0,0,0,0,0,0,0
1.2.46,0,0,0,0,0,0,0,0,0,0
1.2.47,0,0,0,0,0,0,0,0,0,0
1.2.48,0,0,0,0,0,0,0,0,0,0
1.2.49,0,0,0,0,0,0,0,0,0,0
1.2.50,0,0,0,0,0,0,0,0,0,0
1.2.51,0,0,0,0,0,0,0,0,0,0
1.2.52,0,0,0,0,0,0,0,0,0,0
1.2.53,0,0,0,0,0,0,0,0,0,0
1.2.54,0,0,0,0,0,0,0,0,0,0
1.2.55,0,0,0,0,0,0,0,0,0,0
1.2.56,0,0,0,0,0,0,0,0,0,0
1.2.57,0,0,0,0,0,0,0,0,0,0
1.2.58,0,0,0,0,0,0,0,0,0,0
1.2.59,0,0,0,0,0,0,0,0,0,0
1.2.60,0,0,0,0,0,0,0,0,0,0
1.2.61,0,0,0,0,0,0,0,0,0,0
1.2.62,0,0,0,0,0,0,0,0,0,0
1.2.63,0,0,0,0,0,0,0,0,0,0
1.2.64,0,0,0,0,0,0,0,0,0,0
1.2.65,0,0,0,0,0,0,0,0,0,0
1.2.66,0,0,0,0,0,0,0,0,0,0
1.2.67,0,0,0,0,0,0,0,0,0,0
1.2.68,0,0,0,0,0,0,0,0,0,0
1.2.69,0,0,0,0,0,0,0,0,0,0
1.2.70,0,0,0,0,0,0,0,0,0,0
1.2.71,0,0,0,0,0,0,0,0,0,0
1.2.72,0,0,0,0,0,0,0,0,0,0
1.2.73,0,0,0,0,0,0,0,0,0,0
1.2.74,0,0,0,0,0,0,0,0,0,0
1.2.75,0,0,0,0,0,0,0,0,0,0
1.2.76,0,0,0,0,0,0,0,0,0,0
1.2.77,0,0,0,0,0,0,0,0,0,0
1.2.78,0,0,0,0,0,0,0,0,0,0
1.2.79,0,0,0,0,0,0,0,0,0,0
1.2.80,0,0,0,0,0,0,0,0,0,0
1.2.81,0,0,0,0,0,0,0,0,0,0
1.2.82,0,0,0,0,0,0,0,0,0,0
1.2.83,0,0,0,0,0,0,0,0,0,0
1.2.84,0,0,0,0,0,0,0,0,0,0
1.2.85,0,0,0,0,0,0,0,0,0,0
1.2.86,0,0,0,0,0,0,0,0,0,0
1.2.87,0,0,0,0,0,0,0,0,0,0
