VERSION,arm64-darwin,armv7-android,armv7-darwin,darwin,js-web,wasm-web,linux,win32,x86_64-darwin,x86_64-linux,armv7-android,arm64-android
1.2.38,0,8264241,3627640,6230456,0,0,11582686,4840448,0,0,8264015,0
1.2.39,0,8395828,3687012,6336376,0,0,11871119,4893184,0,0,8395541,0
1.2.40,0,8400795,3690676,6346424,0,0,11884882,4897792,0,0,8400751,0
1.2.41,0,8465000,2890588,5630788,4741940,0,11195843,3952128,0,0,8464966,0
1.2.42,0,8467106,2891588,5635364,4779111,0,11203845,3951616,0,0,8467410,0
1.2.43,0,8637793,3000732,5781920,4976103,0,11366192,4042240,0,0,8638017,0
1.2.44,0,8637572,2998712,5780228,4975658,0,11362816,4037632,0,0,8637927,0
1.2.45,0,8647159,2998176,5790668,4978854,0,11390842,4042240,0,0,8647210,0
1.2.46,0,8580419,3164812,6035624,5042747,0,11516745,4151296,0,0,8579926,0
1.2.47,0,8581891,3166324,6041800,5044154,0,11523823,4151296,0,0,8581596,0
1.2.48,0,8620182,3173824,6095256,5077204,0,11628180,4183552,0,0,8619978,0
1.2.49,0,8705847,3286272,6218856,5073830,0,11784794,4177408,0,0,8706017,0
1.2.50,0,8847534,3464332,6218856,5074316,0,11788910,4177408,0,0,8847775,0
1.2.51,0,8885113,3491320,6253816,5110949,0,11879990,4200448,0,0,8884235,0
1.2.52,3841456,8890685,3494840,6261312,5115637,0,12184720,4201984,6452612,0,8890381,0
1.2.53,3842288,8917579,3495612,6281520,5137497,0,12226299,4209152,6469504,0,8916816,0
1.2.54,3844568,8924202,3497760,6283140,5138083,0,12230071,4214784,6475352,0,8923985,0
1.2.55,3849224,8932722,3501912,6282488,5118105,0,12250954,4214272,6471320,11785005,8932629,0
1.2.56,3867776,8938057,3503924,6289900,5129502,0,12268525,4219392,6479032,11805794,8937821,0
1.2.57,3897756,8998738,3535308,6360972,5169628,0,12393316,4246528,6557896,11932379,8998832,0
1.2.58,3928360,9058886,3565488,6410228,5209732,0,12499062,4269568,6608756,12031327,9059206,0
1.2.59,4034432,9129205,3688080,6529668,5527032,0,12632164,4406272,6728052,12160822,9128484,0
