compileunits,vmsize,filesize
[section .debug_loc],0,4667253
/buildbot/src/android/ndk-r25-release/toolchain/llvm-project/libcxx/../../../toolchain/llvm-project/libcxxabi/src/cxa_demangle.cpp,94919,883716
src/script_sys.cpp,535012,31582
src/common/main.cpp,36,409216
src/basis/transcoder/basisu_transcoder.cpp,104288,398388
[section .rodata],391298,391298
src/gui.cpp,82330,388775
/buildbot/src/android/ndk-r25-release/toolchain/llvm-project/libcxx/src/algorithm.cpp,49435,341635
src/gameobject/gameobject.cpp,57056,315728
src/opengl/graphics_opengl.cpp,93604,301370
[section .text],295620,295620
src/particle.cpp,48376,265628
src/gamesys/components/comp_gui.cpp,37520,216315
src/lz4/lz4.c,63310,210938
[section .symtab],0,210480
src/lz4/lz4hc.c,63025,208101
src/gamesys/components/comp_model.cpp,33416,196638
src/gamesys/components/comp_sprite.cpp,27660,178442
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btCollisionWorld.cpp,18152,176314
src/sound.cpp,85848,166599
src/render/render.cpp,23204,166373
src/physics/physics_3d.cpp,17565,159568
src/script_vmath.cpp,35360,157820
src/rig.cpp,20680,149172
src/dlib/image.cpp,52642,149140
src/gui_script.cpp,48932,146665
../package/bullet-2.77/src/BulletDynamics/Dynamics/btDiscreteDynamicsWorld.cpp,17156,144452
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btConeTwistConstraint.cpp,14052,142613
src/gamesys/components/comp_mesh.cpp,20340,133660
src/render/render_script.cpp,34652,128669
src/physics/box2d_defold/box2d_defold_physics.cpp,16788,121565
src/zip/zip.cpp,36890,117751
src/graphics.cpp,19484,114781
src/mbedtls/library/ssl_tls.c,31692,110552
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btQuantizedBvh.cpp,17444,110529
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btSequentialImpulseConstraintSolver.cpp,15476,108266
src/crash.cpp,106945,12976
src/resource.cpp,21148,105826
src/engine.cpp,20684,103750
src/dlib/hash.cpp,23626,102857
src/gamesys/resources/res_model.cpp,20000,99264
src/input.cpp,18125,96510
src/script.cpp,23935,91757
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btAxisSweep3.cpp,17888,90446
[section .rela.dyn],88824,88824
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btGeneric6DofConstraint.cpp,13228,85470
src/gamesys/components/comp_label.cpp,12632,84545
src/gamesys/scripts/script_resource.cpp,27120,84530
src/gamesys/components/comp_tilegrid.cpp,11944,84508
src/gameobject/gameobject_script.cpp,22804,83819
[section .strtab],0,76527
[section .debug_ranges],0,76464
../package/bullet-2.77/src/BulletCollision/NarrowPhaseCollision/btGjkEpa2.cpp,12580,76193
src/resource_mounts.cpp,13720,75123
src/gamesys/components/comp_particlefx.cpp,10036,74469
src/gamesys/components/box2d/comp_collision_object_box2d.cpp,11096,72511
../Box2D/Dynamics/b2World.cpp,13628,71218
src/gamesys/scripts/box2d/script_box2d_body_defold.cpp,15672,69836
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btDbvt.cpp,9712,67330
src/render/material.cpp,9684,65719
src/gamesys/components/comp_collision_object.cpp,9164,63242
/buildbot/src/android/ndk-r25-release/toolchain/llvm-project/libcxx/../../../toolchain/llvm-project/libcxxabi/src/private_typeinfo.cpp,8203,62710
src/physics/debug_draw_3d.cpp,7896,61193
src/gamesys/scripts/script_physics.cpp,17533,60273
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btConvexConvexAlgorithm.cpp,5729,54962
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btConvexConcaveCollisionAlgorithm.cpp,6700,54555
