symbol_group_name,vmsize,filesize
dmScript,638483,153262
dmGameSystem,399874,556338
[section .rodata],349587,349587
(anonymous namespace),130364,202113
dmGui,120515,157762
dmGraphics,120417,159439
dmCrash,114782,14010
dmGameObject,112780,161741
std,105343,119197
basist,102251,107769
dmRender,101037,143485
_compress_* (library),95759,97790
_pfb,65536,66265
dmHashTable<>,48380,60960
dmPhysics,41329,64062
dmParticle,38433,49045
dmResource,36252,52542
_cf_* (library),33292,44849
_ssl_* (library),25396,36062
dmSound,22909,29916
_decompress_* (library),22700,24202
_GLOBAL_* (library),21084,27121
btConeTwistConstraint,20724,23659
[section .rela.dyn],19656,19656
_zip_* (library),19620,25785
_load_* (library),19360,20036
dmRig,19296,24428
dmEngine,18312,22319
libunwind,17865,21171
btCollisionWorld,17689,24989
btQuantizedBvh,17680,21397
__cxxabiv1,17288,28716
btAxisSweep3Internal<>,17220,22617
btDiscreteDynamicsWorld,17116,23132
vwin8192,16384,16537
[section .rela.plt],16248,16248
dmDDF,16228,25463
dmLiveUpdate,15785,21508
btSequentialImpulseConstraintSolver,15440,19790
dmInput,15113,17337
_mpi_* (library),14916,18351
_rsa_* (library),14072,16876
_lib_* (library),12241,16104
_ecp_* (library),12193,15246
_parse_* (library),12124,13964
b2World,11720,14121
_strfmt_* (library),11624,13136
dmHID,11560,18711
dmEasing,11008,11296
[section .plt],10864,10864
_internal_* (library),10648,11165
b2DynamicTree,10376,12524
btGeneric6DofConstraint,10132,13651
dmResourceMounts,10024,13391
_x509_* (library),9988,12571
ciphersuite_definitions,9936,10104
dmSocket,9632,14039
[section .dynsym],9408,9408
gjkepa2_impl,9340,10957
[section .hash],9168,9168
dmObjectPool<>,9152,11797
dmHttpClient,9152,12334
dmSoundCodec,8810,13336
dmSys,8590,11872
vwin4096,8192,8273
_braid_* (library),8192,8232
dmHttpCache,8177,10292
_get_* (library),7968,10580
_BC_* (library),7752,11681
inflate,7688,7768
btDbvt,7316,9927
_cxa_* (library),7230,9345
btIDebugDraw,6816,7984
dmBuffer,6728,9056
_ctype_* (library),6632,7818
dmConfigFile,6620,7925
_alloc_* (library),6620,7257
_cipher_* (library),6460,7911
_decl_* (library),6412,6985
_info_* (library),6391,7385
tinfl_decompress(),6382,7150
btRigidBody,5852,8575
[section .gnu.hash],5828,5828
b2ContactSolver,5736,6725
b2PrismaticJoint,5640,7775
btCompoundShape,5552,7609
dmResourceArchive,5540,8465
_asn1_* (library),5520,7806
_create_* (library),5504,5603
[section .dynstr],5479,5479
[section .got.plt],5440,5440
dmPlatform,5404,16246
btBvhTriangleMeshShape,5332,9113
dmHttpService,5300,6940
btHashedOverlappingPairCache,5300,8950
dmConnectionPool,5272,7017
btConvexConvexAlgorithm,5248,7369
[section .got],5184,5184
_process_* (library),5168,5732
dmMessage,5145,7880
_append_* (library),5124,5845
_Key_* (library),5120,5419
btOptimizedBvh,5084,7084
_meta_* (library),5044,5971
btDbvtBroadphase,5040,7434
b2GearJoint,5004,6216
dBoxBox2(),4988,5291
btVoronoiSimplexSolver,4988,6690
_book_* (library),4907,5518
b2RevoluteJoint,4860,7013
b2Body,4772,6153
_NodeDesc_* (library),4667,7257
dmFont,4544,6760
_cconv_* (library),4456,4971
_tab_* (library),4448,5487
_write_* (library),4376,4761
dmResourceProviderArchiveMutable,4356,6156
dmLog,4320,5480
btCompoundCollisionAlgorithm,4316,6531
dmArray<>,4204,5999
_do_* (library),4196,4305
sincos_lookup0,4143,4230
b2GridShape,4140,5989
_pk_* (library),4136,5674
sincos_lookup1,4135,4222
_debug_* (library),4104,4818
vwin2048,4096,4225
init_gl,4088,4144
_ShaderDesc_* (library),4058,5768
_ffh_* (library),4016,5992
dmDeviceOpenSL,4004,5083
btMinkowskiPenetrationDepthSolver,4000,5033
dmSSLSocket,3984,5138
stbtt_Rasterize,3972,4108
parse_chunk,3920,4004
btConvexShape,3912,4761
_SceneDesc_* (library),3895,6575
_camellia_* (library),3864,4686
b2WheelJoint,3856,5500
btBoxShape,3804,5749
stbtt_GetGlyphSDF,3796,3886
_err_* (library),3776,5308
_md_* (library),3740,5245
_ff_* (library),3740,7389
mdct_backward,3738,3800
_aes_* (library),3692,4682
_expr_* (library),3668,4064
_carith_* (library),3648,4255
b2Island,3616,4224
deflate,3560,3616
_tr_* (library),3544,3933
lex_scan,3536,3617
btConvexConcaveCollisionAlgorithm,3536,6325
b2PulleyJoint,3508,5014
_MaterialDesc_* (library),3444,5016
btConvexHullShape,3416,5420
btConvexPlaneCollisionAlgorithm,3392,5167
btSortedOverlappingPairCache,3388,6849
btCapsuleShape,3356,4569
b2WeldJoint,3320,4355
b2SeparationFunction,3292,3622
_meth_* (library),3288,3953
_sync_* (library),3241,3938
b2EPCollider,3240,3636
btGjkEpaSolver2,3240,3967
btTriangleMeshShape,3220,5147
_GlyphBank_* (library),3219,5321
cp_next,3204,3260
b2Fixture,3196,4288
btSimulationIslandManager,3192,4412
_set_* (library),3176,4738
_dsp_* (library),3140,3837
_Emitter_* (library),3115,4650
expr_binop,3088,3147
dmResourceProviderZip,2944,3937
b2DistanceJoint,2940,4007
btCollisionDispatcher,2936,5082
char2escape,2912,3092
_unw_* (library),2900,4596
_run_* (library),2888,3021
btGjkPairDetector,2884,4040
b2Contact,2861,3227
b2RopeJoint,2852,4148
b2PolygonShape,2840,3925
stbtt_GetGlyphShape,2764,2832
btTriangleShape,2728,4415
topdown(),2720,3001
_dhm_* (library),2692,3370
_buf_* (library),2684,3724
_page_* (library),2671,3386
_des_* (library),2664,3438
_Material_* (library),2652,3370
_x520_* (library),2624,2769
_crt_* (library),2560,2804
b2FrictionJoint,2552,3959
_net_* (library),2540,3372
_packetout,2496,2603
dmCrypt,2496,3366
b2MouseJoint,2488,4225
_entry_* (library),2468,3705
_oid_* (library),2460,3762
_pcm_* (library),2442,2712
_glfwJoy,2432,33
_FontMap_* (library),2412,4083
_stream_* (library),2390,3355
SphereTriangleDetector,2368,3321
_gcm_* (library),2360,2929
_cdata_* (library),2356,2855
basisu,2338,3222
btDefaultCollisionConfiguration,2328,3618
_str_* (library),2328,2822
_sha512_* (library),2316,3159
dmJobThread,2316,3051
[section .gnu.version],2290,2290
_make_* (library),2288,2506
_ccall_* (library),2284,2415
dmResourceProviderArchive,2244,3574
_file_* (library),2232,2666
_ccallback_* (library),2204,2576
btTypedConstraint,2204,2999
btConvexInternalShape,2200,3632
_pem_* (library),2188,2487
_Unwind_* (library),2168,3420
ReverseHashContainer,2140,2483
btPolyhedralConvexShape,2136,2815
_des3_* (library),2124,2755
dmLoadQueue,2108,2851
vwin1024,2048,2153
fixedtables.lenfix,2048,2091
btGhostObject,2048,3004
_glfwAndroidHandleInput,2036,2132
dmIntersection,2028,3111
btConvexTriangleCallback,2020,2905
_vm_* (library),2008,3876
crc32_z,1980,2060
b2ChainShape,1976,3349
res_inverse,1968,2052
btSubsimplexConvexCast,1964,2493
build_tree,1952,2035
_app_* (library),1952,2454
_next_* (library),1940,2075
_pkcs12_* (library),1940,2204
btPersistentManifold,1932,2776
fs_finish,1912,1970
b2Simplex,1908,2349
btAlignedObjectArray<>,1900,2631
serialize_put,1900,2034
_vorbis_* (library),1892,2148
b2BlockAllocator,1890,1986
btPolyhedralConvexAabbCachingShape,1888,2631
inflate_fast,1880,1941
CProfileManager,1880,2685
_FontDesc_* (library),1878,3178
btCompoundLeafCallback,1868,2264
deflate_slow,1856,1917
_jpeg_* (library),1851,2239
_sha256_* (library),1828,2647
_dispatch_* (library),1828,2157
dmResourceProvider,1828,4075
_hmac_* (library),1824,2750
_resample_* (library),1816,2157
deflate_stored,1804,1891
btContinuousConvexCollision,1796,2440
stbtt_InitFont,1792,1855
b2Distance(),1788,1906
_ecdh_* (library),1760,2592
_compressHC_* (library),1747,2226
_strscan_* (library),1736,1929
b2BroadPhase,1728,2682
btCollisionShape,1728,2692
_Matrix4_* (library),1720,2727
btConvexInternalAabbCachingShape,1688,2415
dmGameSystemDDF,1680,7950
