symbol_group_name,vmsize,filesize
dmScript,638787,153808
dmGameSystem,403330,562890
[section .rodata],351160,351160
(anonymous namespace),130364,202300
dmGraphics,121033,160875
dmGui,120619,157478
dmCrash,114782,14510
dmGameObject,112976,161852
std,105639,119714
dmRender,104549,147934
basist,102251,107715
_compress_* (library),95759,97742
_pfb,65536,66073
dmHashTable<>,50840,63726
dmPhysics,41281,64026
dmParticle,38433,49021
_GLOBAL_* (library),37940,44290
dmResource,36808,53202
_cf_* (library),33292,44801
_ssl_* (library),25396,35870
dmSound,23913,31313
_decompress_* (library),22700,24154
btConeTwistConstraint,20724,23724
_zip_* (library),19620,25809
dmEngine,19458,24471
_load_* (library),19360,20084
dmRig,19296,24362
libunwind,17865,20870
[section .rela.dyn],17736,17736
btCollisionWorld,17689,25013
btQuantizedBvh,17680,21349
__cxxabiv1,17288,28570
btAxisSweep3Internal<>,17220,22714
btDiscreteDynamicsWorld,17116,23156
dmDDF,16456,25881
vwin8192,16384,16561
[section .rela.plt],16248,16248
dmLiveUpdate,15905,21890
btSequentialImpulseConstraintSolver,15440,19789
dmInput,15017,15734
_mpi_* (library),14916,18327
_rsa_* (library),14072,16804
_lib_* (library),12241,16080
_ecp_* (library),12193,15264
_parse_* (library),12124,14043
b2World,11720,14175
_strfmt_* (library),11624,13040
dmEasing,11008,11272
[section .plt],10864,10864
_internal_* (library),10648,11165
dmObjectPool<>,10484,13416
b2DynamicTree,10376,12476
btGeneric6DofConstraint,10132,13573
dmResourceMounts,10024,13452
_x509_* (library),9988,12499
ciphersuite_definitions,9936,10080
dmSocket,9632,14135
[section .dynsym],9408,9408
gjkepa2_impl,9340,10861
[section .hash],9168,9168
dmHttpClient,9148,12306
dmHID,9032,12362
dmSoundCodec,8810,13336
dmSys,8590,11872
vwin4096,8192,8369
_braid_* (library),8192,8262
dmHttpCache,8177,10316
_get_* (library),7968,10556
dmJobThread,7936,9757
_BC_* (library),7752,11681
inflate,7688,7768
btDbvt,7316,9855
_cxa_* (library),7230,9244
btIDebugDraw,6816,8032
dmBuffer,6728,9080
_ctype_* (library),6632,7794
dmConfigFile,6620,7949
_alloc_* (library),6620,7281
_cipher_* (library),6460,7959
_decl_* (library),6412,7033
_info_* (library),6391,7433
tinfl_decompress(),6382,7126
