symbol_group_name,vmsize,filesize
dmScript,638577,151244
dmGameSystem,467701,641294
[section .rodata],390014,390014
dmGraphics,215579,286271
_mbedtls_* (library),180643,223061
(anonymous namespace),131132,203166
dmGui,122280,158015
dmCrash,117098,15386
basist,113572,113535
dmGameObject,111500,158397
dmRender,107987,156623
_pfb,65536,66625
dmHashTable<>,53516,67004
dmPhysics,40712,61052
std,37986,46097
dmParticle,35744,45119
_cf_* (library),33036,44433
dmResource,28872,40899
dmSound,25005,32600
[section .rela.dyn],22656,22656
dmRig,22320,27316
dmEngine,19726,24574
_psa_* (library),19240,24653
_GLOBAL_* (library),17988,24743
_load_* (library),17928,18249
libunwind,17865,21052
btCollisionWorld,17309,24176
btDiscreteDynamicsWorld,16804,22334
vwin8192,16384,16856
dmDDF,15292,23664
btQuantizedBvh,15192,18010
btSequentialImpulseConstraintSolver,15044,18327
dmInput,13445,14477
_lib_* (library),11978,15331
dmHID,11640,17985
_strfmt_* (library),11476,12807
dmEasing,10856,11039
_lua_* (library),10700,15447
_internal_* (library),10588,10951
dmObjectPool<>,10492,13420
b2World,10260,11703
gjkepa2_impl,9340,10885
dmHttpClient,8976,11874
[section .dynsym],8784,8784
[section .rela.plt],8616,8616
b2DynamicTree,8604,10131
dmSoundCodec,8582,12904
btAxisSweep3Internal<>,8448,11135
vwin4096,8192,8297
dmHttpCache,7805,9801
_get_* (library),7772,19814
_BC_* (library),7752,11681
_Register_* (library),7489,13127
_mz_* (library),7108,8168
_luaL_* (library),6988,9737
_compress_* (library),6972,7231
dmSocket,6824,10111
btIDebugDraw,6816,8008
dmConfigFile,6652,8167
_ctype_* (library),6652,7886
_zip_* (library),6488,7376
_tinfl_* (library),6459,7022
_decl_* (library),6412,7033
_alloc_* (library),6384,6876
dmSys,6338,8712
__cxxabiv1,6312,11270
dmBuffer,6260,8557
_create_* (library),6208,6331
dmConnectionPool,6168,7883
[section .got],5952,5952
_parse_* (library),5828,6566
[section .plt],5776,5776
b2ContactSolver,5736,6749
b2PrismaticJoint,5640,7823
dmPlatform,5576,18180
dmHttpService,5568,7184
btRigidBody,5448,7910
btHashedOverlappingPairCache,5300,9094
btConvexConvexAlgorithm,5052,6597
_meta_* (library),5044,5995
_process_* (library),5024,5273
b2GearJoint,5004,6240
dmResourceMounts,5004,6939
dBoxBox2(),4988,5147
_debug_* (library),4908,5770
[section .dynstr],4866,4866
dmMessage,4860,7075
b2RevoluteJoint,4860,7085
_NodeDesc_* (library),4781,8380
b2Body,4672,5895
btDbvtBroadphase,4564,6559
_book_* (library),4536,5123
_tab_* (library),4484,5547
_cconv_* (library),4456,4971
btVoronoiSimplexSolver,4420,5589
_tls13_* (library),4416,5319
dmArray<>,4396,6372
_append_* (library),4396,4983
btDbvt,4332,5955
btBvhTriangleMeshShape,4320,7115
_ShaderDesc_* (library),4314,6653
_cxa_* (library),4312,5313
dmLiveUpdate,4256,6225
btCompoundShape,4252,5947
_do_* (library),4196,4305
GetGlyphTTF(),4188,4411
btCompoundCollisionAlgorithm,4164,6207
b2GridShape,4140,6013
sincos_lookup0,4104,4455
sincos_lookup1,4096,4183
vwin2048,4096,4153
_T_* (library),4096,10320
init_gl,4088,4168
dmDeviceOpenSL,4064,5229
_SceneDesc_* (library),4039,7757
btMinkowskiPenetrationDepthSolver,4000,5040
parse_chunk,3920,4004
_err_* (library),3916,5459
b2WheelJoint,3856,5476
btBoxShape,3804,5701
dmLog,3772,4787
_mod_* (library),3768,3975
_ff_* (library),3740,7416
mdct_backward,3700,3762
_expr_* (library),3668,4071
lex_scan,3536,3617
_MaterialDesc_* (library),3508,5464
b2PulleyJoint,3508,4990
btConvexConcaveCollisionAlgorithm,3480,6072
btConvexPlaneCollisionAlgorithm,3392,5174
b2Island,3368,3852
b2WeldJoint,3320,4355
_info_* (library),3316,3793
b2SeparationFunction,3292,3742
_meth_* (library),3288,3953
_key_* (library),3245,3843
btOptimizedBvh,3208,4737
cp_next,3204,3284
b2Fixture,3196,4288
dmResourceProviderZip,3188,4455
_Emitter_* (library),3163,5203
_mul_* (library),3156,3233
btConvexHullShape,3156,5001
btSimulationIslandManager,3152,4276
btSortedOverlappingPairCache,3152,6507
_GlyphBank_* (library),3150,5899
secp384r1_T,3096,3228
b2EPCollider,3096,3329
expr_binop,3088,3147
_crt_* (library),3068,3288
_mac_* (library),3064,3431
_ffh_* (library),3056,4636
_tdefl_* (library),3047,3810
_glfwJoy,3008,57
b2DistanceJoint,2940,4079
[section .hash],2936,2936
char2escape,2912,2996
btCapsuleShape,2904,4165
[section .got.plt],2896,2896
_run_* (library),2888,2997
btGjkPairDetector,2884,4016
btCollisionDispatcher,2884,4890
_luaopen_* (library),2872,3673
_carith_* (library),2852,3091
b2RopeJoint,2852,4052
_set_* (library),2852,4182
_mpi_* (library),2848,3490
b2PolygonShape,2840,3853
stbtt_GetGlyphShape(),2764,2944
_x520_* (library),2760,2875
_dsp_* (library),2760,3356
btTriangleShape,2728,4463
_Material_* (library),2684,3642
_buf_* (library),2684,3700
_flush_* (library),2676,2840
dmSSLSocket,2624,3256
b2FrictionJoint,2552,4085
_packetout,2496,2555
b2MouseJoint,2488,4177
FontLoadFromMemoryTTF(),2456,2538
_sync_* (library),2444,2855
_FontMap_* (library),2428,4771
btConvexShape,2412,3120
_cdata_* (library),2356,2855
b2Contact,2337,2430
_str_* (library),2328,2822
dmLoadQueue,2328,3146
_ccall_* (library),2288,2443
_make_* (library),2288,2482
btDefaultCollisionConfiguration,2284,3449
SphereTriangleDetector,2280,3074
dmResourceProviderArchive,2248,3506
_file_* (library),2240,2674
_x509_* (library),2204,2397
_ccallback_* (library),2204,2569
btConvexInternalShape,2200,3680
ReverseHashContainer,2180,2523
_sig_* (library),2176,2330
basisu,2137,2779
btPolyhedralConvexShape,2136,2767
_optimize_* (library),2064,2165
vwin1024,2048,2081
_glfwAndroidHandleInput,2036,2108
_vm_* (library),2008,3841
dmOpaqueHandleContainer<>,1988,2985
b2ChainShape,1976,3294
btSubsimplexConvexCast,1964,2524
glfwAndroidDiscoverJoysticks,1956,2057
_next_* (library),1940,2075
_cipher_* (library),1940,2189
res_inverse,1932,2016
fs_finish,1916,2022
btAlignedObjectArray<>,1900,2631
serialize_put,1900,1986
_FontDesc_* (library),1894,3650
btPolyhedralConvexAabbCachingShape,1888,2655
btCompoundLeafCallback,1868,2240
_jpeg_* (library),1851,2263
btConvexTriangleCallback,1844,2373
_resample_* (library),1828,2193
_dispatch_* (library),1820,2149
btContinuousConvexCollision,1796,2440
b2Distance(),1788,1906
btGjkEpaSolver2,1788,2079
btPersistentManifold,1764,2452
_vorbis_* (library),1756,1988
_strscan_* (library),1736,1977
_Matrix4_* (library),1736,3175
b2BlockAllocator,1730,1772
b2Simplex,1724,2094
_double_* (library),1700,1878
_TextureImage_* (library),1676,2465
_global_* (library),1672,2072
_VertexAttribute_* (library),1670,3162
_TextureSet_* (library),1641,2138
_lsp_* (library),1632,1700
btSphereShape,1628,2626
_gc_* (library),1616,2259
_cff_* (library),1612,1867
_gl_* (library),1596,1942
btConvexInternalAabbCachingShape,1584,2197
btCollisionObject,1576,2724
secp256r1_T,1560,1674
_decompress_* (library),1556,1648
bcwrite_proto,1556,1642
_LOOKUP_* (library),1548,1666
dmResourceProvider,1544,3262
_ct_* (library),1536,1691
btSphereSphereCollisionAlgorithm,1512,3083
strscan_dec,1496,1580
_Mesh_* (library),1490,1738
_CollisionObjectDesc_* (library),1490,2736
tcp_methods,1488,1572
b2BroadPhase,1488,2256
_TileSet_* (library),1487,2730
dmIntersection,1484,2054
dmSysPosix,1476,2560
cpcparser,1472,1530
btSphereTriangleCollisionAlgorithm,1452,3025
_page_* (library),1448,1793
serialize_get,1444,1506
_bcread_* (library),1440,1528
dmResourceArchive,1436,2072
expr_table,1428,1487
glfwAndroidUpdateJoystick,1424,1498
_raw_* (library),1420,1558
btBoxBoxCollisionAlgorithm,1416,2915
dmBlockAllocator,1408,1780
