symbol_group_name,vmsize,filesize
dmScript,639133,151596
dmGameSystem,601088,815577
[section .rodata],421056,421056
dmGraphics,229420,301553
_mbedtls_* (library),180643,223473
(anonymous namespace),131132,203172
dmGui,127484,164326
dmCrash,117098,14930
basist,113572,113606
dmGameObject,113196,160549
dmRender,110529,156305
_compress_* (library),88447,91329
std,87495,100261
_pfb,65536,66368
dmHashTable<>,57116,71988
dmPhysics,46016,68172
dmParticle,37765,47984
_cf_* (library),33036,44265
dmResource,28592,40402
dmSound,25025,32452
[section .rela.dyn],23520,23520
btConvexHullInternal,22380,24313
dmRig,22320,27316
_decompress_* (library),21732,23170
btCollisionWorld,21049,30975
btSequentialImpulseConstraintSolver,20600,25006
dmEngine,20538,25121
_GLOBAL_* (library),19980,27591
_load_* (library),19824,20217
_psa_* (library),19240,37026
btDiscreteDynamicsWorld,18728,23723
dmInput,18417,20063
libunwind,17865,20990
btConeTwistConstraint,17128,19454
dmDDF,16932,25355
[section .rela.plt],16536,16536
vwin8192,16384,16633
__cxxabiv1,16360,26529
_lua_* (library),16342,22481
btQuantizedBvh,15476,17974
btGeneric6DofSpring2Constraint,14048,18123
dmHID,12404,19165
_lib_* (library),11978,15451
_strfmt_* (library),11476,12759
btIDebugDraw,11324,13425
btHingeConstraint,11140,13263
[section .plt],11056,11056
dmEasing,10856,11039
btGImpactCollisionAlgorithm,10688,14085
_internal_* (library),10588,10927
dmObjectPool<>,10492,13427
b2World,10260,11607
btGeneric6DofConstraint,9820,12968
[section .dynsym],9720,9720
gjkepa2_impl,9528,11163
[section .hash],9280,9280
_luaL_* (library),9265,12214
dmHttpClient,8976,11802
dmHttpService,8768,11185
b2DynamicTree,8604,10131
FontSDFGenerate(),8584,8707
dmSoundCodec,8582,13024
btSliderConstraint,8436,10134
btAxisSweep3Internal<>,8356,11061
vwin4096,8192,8513
_Register_* (library),7971,14065
btRigidBody,7832,10515
dmHttpCache,7805,9729
_BC_* (library),7752,11760
_get_* (library),7468,9637
_cxa_* (library),7230,9340
_mz_* (library),7108,8168
dmSocket,6956,10440
btAlignedObjectArray<>,6816,9117
btConvexConvexAlgorithm,6748,9356
dmConfigFile,6652,8023
