compileunits,vmsize,filesize
[__LINKEDIT],747627,736787
../src/gameobject/gameobject_props.cpp,600847,600847
../src/script.cpp,554000,29640
../src/gui.cpp,196730,89314
../src/basis/transcoder/basisu_transcoder.cpp,165985,165985
"[__TEXT,__cstring]",152502,152502
../src/gameobject/gameobject.cpp,121278,121246
../src/gameobject/comp_anim.cpp,107452,107444
../src/opengl/graphics_opengl.cpp,91936,91856
../src/dlib/image.cpp,53010,53010
../src/gamesys/components/comp_gui.cpp,49517,49373
../src/gui_script.cpp,48043,48043
../src/particle.cpp,48041,47929
../src/engine.cpp,46238,46214
../src/gamesys/components/comp_tilegrid.cpp,46003,42891
../src/gamesys/components/comp_model.cpp,38729,37569
../src/render/render_script.cpp,36722,36378
../src/gamesys/components/comp_mesh.cpp,33896,33736
../src/gamesys/scripts/script_physics.cpp,33335,31063
../src/script_vmath.cpp,32708,32708
../src/resource_preloader.cpp,32377,32377
../src/resource.cpp,31526,31518
../src/gamesys/scripts/script_resource.cpp,30573,30573
../src/gamesys/resources/res_model.cpp,29841,29841
../src/zip/zip.cpp,29709,29709
../src/gamesys/components/comp_sprite.cpp,29629,29597
../src/mbedtls/library/ssl_tls.c,29373,29373
proto/graphics/graphics_ddf.cpp,28327,14387
proto/rig/rig_ddf.cpp,27111,26907
../src/render/render.cpp,26696,26384
[__TEXT],25817,25713
../src/gamesys/resources/res_texture.cpp,25442,22634
../src/sound.cpp,25334,25294
../src/gameobject/gameobject_script.cpp,25053,25053
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btCollisionWorld.cpp,24985,24985
../src/graphics.cpp,22068,22020
../src/physics/physics_3d.cpp,20395,20339
../package/bullet-2.77/src/BulletDynamics/Dynamics/btDiscreteDynamicsWorld.cpp,19375,19371
../src/physics/box2d_defold/box2d_defold_physics.cpp,19253,19197
../src/rig.cpp,18820,18580
../src/dlib/hash.cpp,18597,18597
../src/gameobject/comp_script.cpp,17918,17910
"[__DATA,__const]",17792,17792
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btSequentialImpulseConstraintSolver.cpp,17338,17334
../src/luasocket/inet.c,15958,15958
../src/input.cpp,15950,15862
../src/gamesys/components/comp_label.cpp,15687,15671
../src/mbedtls/crypto/library/bignum.c,15627,15627
../src/luacjson/lua_cjson.c,15326,15198
../src/gamesys/components/box2d/comp_collision_object_box2d.cpp,15063,15055
../src/resource_mounts.cpp,14213,14213
../src/zlib/deflate.c,14033,14033
../src/mbedtls/crypto/library/aes.c,13947,5199
../src/gamesys/scripts/script_buffer.cpp,13603,13603
../Box2D/Dynamics/b2World.cpp,13533,13533
../src/mbedtls/crypto/library/ecp.c,13445,13393
"[__DATA,__objc_const]",13200,13200
../src/gamesys/scripts/box2d/script_box2d_body_defold.cpp,13096,13096
../package/bullet-2.77/src/BulletCollision/NarrowPhaseCollision/btGjkEpa2.cpp,13018,13018
../src/gamesys/components/comp_collision_object.cpp,12565,12565
../src/mbedtls/library/x509_crt.c,12497,12497
../src/gamesys/components/comp_sound.cpp,11647,11503
proto/gamesys/physics_ddf.cpp,11576,11444
../src/script_sys.cpp,11469,11453
../src/zlib/crc32.c,11402,11402
../src/zlib/inflate.c,11359,11359
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btAxisSweep3.cpp,11302,11302
proto/gamesys/gamesys_ddf.cpp,11262,11090
../src/script_table.cpp,11214,11214
../src/zlib/trees.c,10993,10993
../src/mbedtls/library/ssl_cli.c,10394,10394
../src/script_timer.cpp,10293,10165
proto/gamesys/gui_ddf.cpp,10258,10046
proto/gameobject/gameobject_ddf.cpp,10163,9783
../Box2D/Dynamics/b2ContactManager.cpp,10089,10089
../src/render/material.cpp,10026,10026
../src/dlib/http_cache.cpp,9973,9973
../src/mbedtls/library/ssl_ciphersuites.c,9924,9260
../src/mbedtls/crypto/library/rsa.c,9822,9822
../src/render/font.cpp,9708,9708
../src/gamesys/components/bullet3d/comp_collision_object_bullet3d.cpp,9616,9608
"[__TEXT,__objc_methname]",9577,9577
../src/dlib/http_client.cpp,9495,9495
../src/liveupdate.cpp,9411,9275
../src/gamesys/components/comp_collection_factory.cpp,9004,8996
../src/gamesys/components/comp_particlefx.cpp,8995,8963
../lib/ios/app/BaseView.m,8840,8824
src/ddf/ddf_math.cpp,8823,7495
../src/gamesys/scripts/script_sys_gamesys.cpp,8808,8808
../src/physics/debug_draw_3d.cpp,8783,8783
../package/bullet-2.77/src/LinearMath/btQuickprof.cpp,8681,7737
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btConvexConcaveCollisionAlgorithm.cpp,8650,8650
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btDbvtBroadphase.cpp,8590,8590
../src/render/font_renderer.cpp,8382,8022
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btBoxBoxDetector.cpp,7768,7768
../src/dlib/configfile.cpp,7653,7613
../src/mbedtls/crypto/library/cipher_wrap.c,7608,7608
../src/gamesys/components/comp_collection_proxy.cpp,7521,7497
../Box2D/Collision/b2Distance.cpp,7518,7506
../src/mbedtls/crypto/library/ecp_curves.c,7421,7421
../src/dlib/message.cpp,7305,7153
proto/render/font_ddf.cpp,7281,7009
../src/dlib/buffer.cpp,7247,7247
../Box2D/Dynamics/Contacts/b2ContactSolver.cpp,7161,7157
