symbol_group_name,vmsize,filesize
[__LINKEDIT],1802240,1788344
dmScript,619860,95248
dmGameSystem,341117,338581
_lj_* (library),205104,205104
"_TEXT,_* (library)",146794,146794
dmCrash,112724,6044
_mbedtls_* (library),102232,102228
basist,96726,81868
dmGameObject,93628,93604
dmGui,88014,87046
dmRender,82504,82208
dmGraphics,71819,70834
_pfb,65544,65544
_GLOBAL_* (library),35488,35488
_cp_* (library),34720,34720
stbi__process_marker(),32966,32966
_ZNSt3_* (library),32916,32916
dmPhysics,32672,32560
std,30864,30864
dmParticle,29208,29040
dmResource,28016,28016
[__TEXT],27764,44044
dmHashTable<>,22228,22228
dmSound,19328,19176
_lua_* (library),19284,19284
_load_* (library),18836,18836
dmEngine,17372,17356
btCollisionWorld,16572,16568
_vwin8192,16388,16388
_mh_* (library),16384,32
dmLiveUpdate,16360,15264
_OBJC_* (library),14740,14740
dmRig,14616,14592
btDiscreteDynamicsWorld,14436,14436
_lex_* (library),14288,14288
dmInput,14212,13188
btSequentialImpulseConstraintSolver,13860,13860
_ssl_* (library),13704,13704
_dmGameSystemDDF_* (library),12448,8592
dmDDF,12036,11972
_parse_* (library),11808,11808
dmEasing,10824,10824
_crc_* (library),10402,10402
_zip_* (library),10348,10348
_vorbis_* (library),10240,10240
_luaL_* (library),9984,9984
_serialize_* (library),9780,9780
_dmRenderDDF_* (library),9612,7160
b2World,9564,9564
_dmRigDDF_* (library),9444,6896
[__DATA],9428,20
gjkepa2_impl,9052,9052
_stbtt_* (library),8924,8924
dmHttpCache,8773,8773
_sincos_* (library),8200,8200
_vwin4096,8192,8192
_gc_* (library),8180,8180
dmHID,8012,7756
_expr_* (library),7996,7996
_json_* (library),7860,7844
dmResourceMounts,7852,7852
_inflate,7832,7832
_ciphersuite_* (library),7800,7800
dmHttpClient,7644,7628
_create_* (library),7124,7124
btAxisSweep3Internal<>,7040,7040
_deflate_* (library),6892,6892
dmSoundCodec,6828,6796
_bcemit_* (library),6724,6724
tinfl_decompress(),6434,6434
btIDebugDraw,6308,6308
_strscan_* (library),6280,6280
_dmPhysicsDDF_* (library),6256,4528
dmJobThread,6184,6168
_dmGraphics_* (library),6159,4768
dBoxBox2(),6092,6092
dmSocket,6040,6040
_bcwrite_* (library),6012,6012
"_DATA,_* (library)",5800,5800
_objc_* (library),5760,5760
_ecp_* (library),5704,5656
b2DynamicTree,5676,5676
_bcread_* (library),5656,5656
_carith_* (library),5580,5580
_x509_* (library),5552,5552
dmConfigFile,5428,5428
b2ContactSolver,5376,5376
dmBuffer,5332,5324
_fs_* (library),5276,5276
_dmGuiDDF_* (library),5092,3968
_ccall_* (library),5048,5048
dmObjectPool<>,5032,5032
_ogg_* (library),5008,5008
_io_* (library),5008,5008
_inflate_* (library),4896,4896
btConvexConvexAlgorithm,4768,4768
_dmGameObjectDDF_* (library),4640,3056
dmHttpService,4596,4596
