symbol_group_name,vmsize,filesize
[__LINKEDIT],1835008,1833752
dmScript,620664,96060
dmGameSystem,343216,340728
_lj_* (library),204580,204580
"_TEXT,_* (library)",149296,149296
dmCrash,112648,5976
_mbedtls_* (library),101888,101884
basist,97761,82903
dmGameObject,94072,94048
dmGui,88232,87264
dmRender,82172,81876
dmGraphics,74577,73552
_pfb,65544,65544
_GLOBAL_* (library),37204,37204
_cp_* (library),34652,34652
stbi__process_marker(),33655,33655
dmPhysics,32688,32576
_ZNSt3_* (library),32452,32452
dmParticle,29804,29636
std,29240,29240
dmResource,27240,27240
[__TEXT],24674,40954
_load_* (library),21176,21176
dmHashTable<>,19444,19444
dmSound,19352,19200
_lua_* (library),19256,19256
dmEngine,17580,17564
btCollisionWorld,16572,16568
_vwin8192,16388,16388
_mh_* (library),16384,32
dmLiveUpdate,15700,14604
_OBJC_* (library),14964,14964
btDiscreteDynamicsWorld,14436,14436
_lex_* (library),14292,14292
btSequentialImpulseConstraintSolver,13860,13860
dmRig,13816,13792
_ssl_* (library),13520,13520
dmDDF,13088,13024
_dmGameSystemDDF_* (library),12448,8592
dmInput,11896,10872
_parse_* (library),11740,11740
_zip_* (library),11368,11368
dmEasing,10824,10824
_crc_* (library),10326,10326
_vorbis_* (library),10240,10240
_luaL_* (library),9892,9892
_serialize_* (library),9780,9780
b2World,9564,9564
_dmRenderDDF_* (library),9556,7112
_dmRigDDF_* (library),9444,6896
[__DATA],9216,4
gjkepa2_impl,9044,9044
dmHttpCache,8653,8653
dmHID,8520,8448
_gc_* (library),8228,8228
_sincos_* (library),8200,8200
_vwin4096,8192,8192
_expr_* (library),7996,7996
_json_* (library),7936,7920
dmHttpClient,7916,7900
_ciphersuite_* (library),7824,7824
dmResourceMounts,7812,7812
_create_* (library),7792,7792
_inflate,7608,7608
btAxisSweep3Internal<>,7040,7040
dmSoundCodec,6952,6920
_deflate_* (library),6912,6912
_bcemit_* (library),6724,6724
tinfl_decompress(),6420,6420
_strscan_* (library),6280,6280
btIDebugDraw,6256,6256
_dmPhysicsDDF_* (library),6256,4528
_dmGraphics_* (library),6207,4816
dBoxBox2(),6092,6092
dmSocket,5972,5972
_bcwrite_* (library),5968,5968
_bcread_* (library),5852,5852
"_DATA,_* (library)",5816,5816
_objc_* (library),5792,5792
b2DynamicTree,5676,5676
dmBuffer,5668,5660
_carith_* (library),5580,5580
_x509_* (library),5500,5500
_fs_* (library),5436,5436
_ccall_* (library),5376,5376
b2ContactSolver,5376,5376
_ecp_* (library),5348,5300
dmConfigFile,5340,5340
_dmGuiDDF_* (library),5092,3968
_ogg_* (library),5008,5008
_io_* (library),4992,4992
dmObjectPool<>,4852,4852
_inflate_* (library),4832,4832
btConvexConvexAlgorithm,4768,4768
dmHttpService,4652,4652
_dmGameObjectDDF_* (library),4640,3056
b2PrismaticJoint,4524,4524
_mdct_* (library),4516,4516
btRigidBody,4516,4516
_cconv_* (library),4472,4472
_opt_* (library),4432,4432
btVoronoiSimplexSolver,4288,4288
_meth_* (library),4220,4220
btMinkowskiPenetrationDepthSolver,4180,3180
dmSys,4180,4080
btDbvt,4164,4164
_do_* (library),4136,4136
_vwin2048,4096,4096
GetGlyphTTF(),4084,4084
btHashedOverlappingPairCache,4084,4084
_ffi_* (library),4080,4080
dmConnectionPool,4048,4048
b2Body,4048,4048
dmHttpDDF,4036,4036
_tmalloc_* (library),3984,3984
b2GearJoint,3984,3984
_process_* (library),3852,3852
dmMessage,3764,3732
btDbvtBroadphase,3708,3708
b2GridShape,3700,3700
_inet_* (library),3684,3684
_deflate,3668,3668
b2RevoluteJoint,3656,3656
btCompoundCollisionAlgorithm,3648,3648
dmSSLSocket,3644,3636
_socket_* (library),3636,3636
dmResourceProviderArchiveMutable,3596,3468
_run_* (library),3592,3592
dmPlatform,3548,3540
b2Island,3508,3508
_luaopen_* (library),3504,3504
dmResourceProviderZip,3460,3332
dmDeviceAVAudio,3452,3452
dmLog,3432,3136
_callback_* (library),3384,3384
_dmMath_* (library),3348,2368
btCompoundShape,3348,3348
_ctype_* (library),3264,3264
_ov_* (library),3172,3172
b2SeparationFunction,3128,3128
dmResourceArchive,3108,3108
_debug_* (library),3088,3088
_tr_* (library),3084,3084
btConvexPlaneCollisionAlgorithm,3036,3036
btSimulationIslandManager,2972,2972
b2EPCollider,2960,2960
b2WheelJoint,2928,2928
b2Fixture,2880,2880
_dmParticleDDF_* (library),2824,2136
btConvexConcaveCollisionAlgorithm,2752,2752
_nd_* (library),2724,2724
btGjkEpaSolver2,2704,2704
btGjkPairDetector,2696,2696
_res_* (library),2636,2636
b2WeldJoint,2612,2612
_add_* (library),2560,2560
_floor1_* (library),2556,2556
