symbol_group_name,vmsize,filesize
[__LINKEDIT],1802240,1796160
dmScript,623972,99364
dmGameSystem,407476,405508
_lj_* (library),204432,204432
"_TEXT,_* (library)",147878,147878
dmCrash,113380,6708
basist,98555,83699
dmGameObject,94284,93892
dmGui,90452,89468
dmRender,86060,85708
dmGraphics,78669,77724
dmHID,74653,74653
_pfb,65544,65544
_dm_* (library),47520,47520
_cp_* (library),34652,34652
dmPhysics,33520,33408
dmParticle,30016,29848
dmResource,24176,24088
[__TEXT],24149,40429
dmHashTable<>,22980,22980
_load_* (library),21176,21176
stbi__process_marker(),20660,20660
dmSound,20540,20388
std,19712,19712
dmEngine,17936,17872
dmRig,17032,17008
_GLOBAL_* (library),16600,16600
_vwin8192,16388,16388
_mh_* (library),16384,32
_ZNSt3_* (library),16116,16116
_OBJC_* (library),14964,14964
btCollisionWorld,14936,14932
_lex_* (library),14292,14292
btSequentialImpulseConstraintSolver,13840,13840
btDiscreteDynamicsWorld,13768,13768
dmDDF,12796,12788
dmHttpCache,12310,12310
_tdefl_* (library),12176,12176
dmInput,12036,11016
_parse_* (library),11740,11740
[__DATA],11376,12
_dmGameSystemDDF_* (library),11116,11116
dmEasing,10824,10824
_vorbis_* (library),10240,10240
gjkepa2_impl,9908,9908
_serialize_* (library),9780,9780
_dmRigDDF_* (library),9752,9560
b2World,9564,9564
_dmRenderDDF_* (library),9332,8840
"_DATA,_* (library)",8336,8336
_gc_* (library),8228,8228
_sincos_* (library),8200,8200
_vwin4096,8192,8192
_expr_* (library),7996,7996
dmHttpClient,7988,7972
_json_* (library),7952,7936
_create_* (library),7792,7792
_objc_* (library),7424,7424
b2DynamicTree,7068,7068
btAxisSweep3Internal<>,7040,7040
dmSoundCodec,6952,6920
_bcemit_* (library),6724,6724
_strscan_* (library),6280,6280
btIDebugDraw,6256,6256
_dmPhysicsDDF_* (library),6080,6080
_dmGraphics_* (library),6071,5968
dmSocket,5976,5976
_bcwrite_* (library),5968,5968
_bcread_* (library),5852,5852
_carith_* (library),5580,5580
_mz_* (library),5556,5556
dmConfigFile,5472,5472
_fs_* (library),5436,5436
_ccall_* (library),5376,5376
b2ContactSolver,5376,5376
dmObjectPool<>,5332,5332
_ogg_* (library),5008,5008
_io_* (library),4992,4992
_dmGuiDDF_* (library),4976,4976
dmBuffer,4936,4928
dBoxBox2(),4848,4848
dmConnectionPool,4804,4804
dmHttpService,4764,4764
b2PrismaticJoint,4536,4536
_mdct_* (library),4516,4516
btConvexConvexAlgorithm,4488,4488
_cconv_* (library),4472,4472
_dmGameObjectDDF_* (library),4452,4452
_opt_* (library),4428,4428
btRigidBody,4396,4396
b2Body,4392,4392
btVoronoiSimplexSolver,4360,4360
_meth_* (library),4220,4220
_do_* (library),4136,4136
_vwin2048,4096,4096
b2GearJoint,4088,4088
GetGlyphTTF(),4084,4084
_ffi_* (library),4080,4080
dmHttpDDF,4036,4036
btHashedOverlappingPairCache,4032,4032
_tmalloc_* (library),3984,3984
_process_* (library),3852,3852
dmLiveUpdate,3852,3844
dmResourceMounts,3848,3848
dmMessage,3764,3732
btDbvt,3716,3716
b2GridShape,3684,3684
_inet_* (library),3676,3676
b2RevoluteJoint,3668,3668
btMinkowskiPenetrationDepthSolver,3664,2664
_socket_* (library),3636,3636
btCompoundShape,3632,3632
btDbvtBroadphase,3616,3616
_run_* (library),3592,3592
b2Island,3508,3508
dmDeviceAVAudio,3452,3452
dmSys,3452,3348
dmLog,3432,3136
btCompoundCollisionAlgorithm,3412,3412
_callback_* (library),3384,3384
_ctype_* (library),3264,3264
_dmMath_* (library),3256,3256
_ov_* (library),3172,3172
b2SeparationFunction,3128,3128
_debug_* (library),3088,3088
dmPlatform,3052,3044
dmResourceProviderZip,3036,3036
dmSSLSocket,3008,3008
b2EPCollider,2960,2960
b2WheelJoint,2940,2940
b2Fixture,2924,2924
btConvexPlaneCollisionAlgorithm,2784,2784
btSimulationIslandManager,2780,2780
_dmParticleDDF_* (library),2752,2640
_nd_* (library),2724,2724
btConvexConcaveCollisionAlgorithm,2648,2648
_res_* (library),2636,2636
b2PulleyJoint,2632,2632
b2WeldJoint,2612,2612
btGjkPairDetector,2556,2556
_floor1_* (library),2556,2556
_make_* (library),2492,2492
btQuantizedBvh,2444,2444
btBoxShape,2404,2404
_add_* (library),2388,2388
FontLoadFromMemoryTTF(),2384,2384
__packetout,2376,2376
_prepend_* (library),2316,2316
b2PolygonShape,2280,2280
stbtt_GetGlyphShape(),2204,2204
b2DistanceJoint,2192,2192
_jpeg_* (library),2171,2171
_LZ4_* (library),2164,2164
b2Contact,2132,1528
_s_* (library),2128,2128
_zip_* (library),2128,2128
dmArray<>,2060,2060
b2RopeJoint,2056,2056
_char2escape,2048,2048
_vwin1024,2048,2048
btConvexHullShape,2040,2040
_clib_* (library),2028,2028
btCollisionDispatcher,2016,2016
SphereTriangleDetector,2004,2004
_dmInputDDF_* (library),1996,1968
_buffer_* (library),1984,1984
_Register_* (library),1984,1872
btCapsuleShape,1972,1972
_decode_* (library),1968,1968
_gola_* (library),1940,1940
_err_* (library),1908,1908
btDefaultCollisionConfiguration,1864,1864
dmResourceProviderArchive,1852,1852
_release_* (library),1840,1840
ReverseHashContainer,1840,1840
dmLoadQueue,1824,1824
__MergedGlobals,1816,0
b2FrictionJoint,1816,1816
b2Distance(),1808,1808
_mapping_* (library),1804,1804
_dmModelDDF_* (library),1800,1800
b2BlockAllocator,1764,1668
btSubsimplexConvexCast,1740,1740
basisu,1701,1701
btConvexShape,1696,1696
b2MouseJoint,1680,1680
btGjkEpaSolver2,1668,1668
_global_* (library),1648,1648
b2Simplex,1640,1640
btCompoundLeafCallback,1608,1608
btContinuousConvexCollision,1596,1596
btConvexTriangleCallback,1576,1576
_dmHttpDDF_* (library),1572,1544
_jmp_* (library),1572,1572
_var_* (library),1564,1564
btPersistentManifold,1548,1548
_resample_* (library),1536,1536
_strfmt_* (library),1532,1532
_match,1516,1516
btTriangleShape,1492,1492
dmIntersection,1476,1476
_alloc_* (library),1472,1472
_cff_* (library),1444,1444
b2ChainShape,1428,1428
btAlignedObjectArray<>,1416,1416
btHashMap<>,1380,1380
_dmLiveUpdateDDF_* (library),1368,1368
_dmHIDAppleGamepadDefaultMappings,1352,1352
_auxiliar_* (library),1308,1308
_glfwOpenWindow,1296,1296
dmBlockAllocator,1292,1292
_dmSystemDDF_* (library),1276,1248
_fetch_* (library),1272,1272
btBvhTriangleMeshShape,1264,1264
btPolyhedralConvexShape,1252,1252
b2CollidePolygons(),1240,1240
btConvexInternalShape,1240,1240
dmResourceArchive,1232,1232
dmZlib,1212,1212
b2BroadPhase,1204,1204
b2TimeOfImpact(),1196,1196
dmVMath,1188,1188
_get_* (library),1188,1188
dmResourceProvider,1180,1172
b2ContactManager,1172,1172
_ll_* (library),1164,1164
_JobSystemUpdate,1156,1156
btTransformUtil,1148,1148
_oggpack_* (library),1132,1132
_ffh_* (library),1120,1120
btPolyhedralConvexAabbCachingShape,1116,1012
_dec64table,1088,1088
_str_* (library),1080,1080
btManifoldResult,1076,1076
btSphereSphereCollisionAlgorithm,1076,1076
_dmGamesysDDF_* (library),1064,1064
_OUTLINED_* (library),1064,1064
cullPoints2(),1056,1056
_hash_* (library),1056,1056
dmExtension,1052,1052
btCollisionObject,1032,1032
_INVSQ_* (library),1032,1032
_auxsort,1028,1028
_FLOOR_* (library),1024,1024
_crc_* (library),1024,1024
_vwin512,1024,1024
dmMutex,1008,1008
btSphereTriangleCollisionAlgorithm,1004,1004
_compute_* (library),992,992
_lib_* (library),984,984
btBoxBoxCollisionAlgorithm,972,972
Layout<>(),960,960
_idct_* (library),956,956
dmSysPosix,956,956
dmImage,952,952
_glfwDisable,944,944
dmResourceProviderFile,944,944
_oggbyte_* (library),928,928
_timeout_* (library),924,924
btCollisionShape,916,916
dmPath,896,896
_cpparser,892,892
TextLayoutLegacyCreate(),880,880
btGjkConvexCast,876,876
_csctx_* (library),876,876
_LogInternal,868,868
_floor0_* (library),868,868
_tcp_* (library),864,864
__glfwInput,832,0
DebugDrawcallback,828,828
_dmPropertiesDDF_* (library),824,824
btPerturbedContactResult,812,812
__initializeAvailabilityCheck,800,800
b2Joint,792,792
btSphereShape,792,792
_finderrfunc,784,784
_dmStructDDF_* (library),784,784
_g_* (library),760,8
_jit_* (library),752,752
_fpconv_* (library),752,752
CProfileManager,744,744
_index2adr,732,732
_priority,720,720
GetGlyphIndexTTF(),716,716
b2EdgeShape,716,716
_predict_* (library),712,712
_func_* (library),712,712
_udp_* (library),712,712
dmURI,704,704
SelectAndPopJob(),700,700
insertleaf(),700,700
_direct_* (library),700,700
_reader_* (library),696,696
_tremolo_* (library),692,692
btTriangleRaycastCallback,692,692
Vectormath,692,692
_assign_* (library),692,692
_dmHashFinal64,688,688
_copy_* (library),688,688
_dmLuaDDF_* (library),688,684
_strbuf_* (library),688,688
_dmHashFinal32,680,680
_hashkey,680,680
_tab_* (library),676,676
b2WorldManifold,676,676
_profile_* (library),672,584
dmCrypt,664,664
btGhostObject,664,664
_propagatemark,656,656
dmThread,656,656
b2CircleShape,656,656
dmFileDescriptor,656,656
_close_* (library),652,652
dmTransform,648,648
_newtab,644,644
b2CollidePolygonAndCircle(),636,636
_zbuild_* (library),628,628
_dmBufferDDF_* (library),628,628
dmConditionVariable,624,624
b2CollideEdgeAndCircle(),620,620
b2PositionSolverManifold,612,612
_dmHashBuffer32,608,608
_lua_* (library),608,608
btMatrix3x3,604,604
_dmHashUpdateBuffer64,596,596
intersectRectQuad2(),596,596
_fscope_* (library),592,592
_mmap_* (library),588,580
_dmHashUpdateBuffer32,580,580
b2StackAllocator,580,580
btUnionFind,568,568
btTriangleConvexcastCallback,560,560
btClosestNotMeConvexResultCallback,556,556
btBoxBoxDetector,548,548
PutDone(),544,544
_match_* (library),544,544
b2Mat33,544,544
_buf_* (library),540,540
_push_* (library),532,532
ResourceChunkCachePut(),528,528
-[BaseView touchById:],520,520
_COS_* (library),520,520
dmTrigLookup,520,520
b2FindMaxSeparation(),516,516
_bisect_* (library),512,512
_setjitmode,512,512
_token2binop,512,512
_vwin256,512,512
_block_* (library),512,512
-[BaseView initWithFrame:],496,496
_foldarith,496,496
_CONTEXT_* (library),496,488
b2GridAndPolygonContact,496,496
_de_* (library),492,484
b2GridAndCircleContact,492,492
_JobSystemCreate,488,488
_dict_* (library),484,484
_b2Vec2_* (library),472,472
_const_* (library),464,464
b2ChainAndPolygonContact,464,464
_dmSoundDDF_* (library),460,460
b2ChainAndCircleContact,460,460
CancelJobInternal(),448,448
_build_* (library),448,448
_grow_* (library),448,448
_resizestack,444,444
_luaopen_* (library),444,444
_dmHashBuffer64,432,432
_newproxy_* (library),432,432
ResourceChunkCacheEvictMemory(),428,428
_matchbracketclass,428,428
_collect_* (library),420,420
dmZip,420,420
-[BaseView fillTouch:forPhase:],416,416
_zdist_* (library),416,416
dmPPrint,412,412
-[EAGLView createFramebuffer],404,404
_call_* (library),404,404
_glfwEnable,404,404
dmHashTable64<>,400,400
_JobSystemSetParent,396,396
_mmcall,396,396
_JobSystemDestroy,392,392
___isPlatformVersionAtLeast,392,392
_glfwGetTouch,392,392
_dmMeshDDF_* (library),388,388
btNullPairCache,388,388
_func,384,384
_JobSystemPushJob,376,376
_cpluaopen,376,376
_rehashtab,376,376
_countarray,368,368
-[BaseView fillTouchStart:],364,364
ResourceChunkCacheEvictPathHash(),360,360
_classend,360,360
_matchbalance,360,360
_dmHashClone32,356,356
stbtt_GetGlyphBox(),356,356
_optset,352,352
ProcessOneJob(),348,348
__glfwParseGLVersion,348,348
_dmHashClone64,348,348
_stack_* (library),348,348
ResourceChunkCacheGet(),340,340
_glfwExtensionSupported,340,340
removeleaf(),336,336
-[BaseView touchUpdate:withTouch:],332,332
_searchpath,328,328
b2EdgeAndPolygonContact,328,328
b2PolygonContact,328,328
dmStrError(),324,324
b2EdgeAndCircleContact,324,324
b2PolygonAndCircleContact,324,324
-[AppDelegate application:didFinishLaunchingWithOptions:],320,320
_cur_* (library),320,320
_zdefault_* (library),320,320
_rescale_* (library),320,320
b2CircleContact,320,320
b2EdgeSeparation(),316,316
dmHashReverse64Alloc(),316,316
_ConfigFileGetInt,312,312
__glfwWin,312,0
_atomic,312,312
_glfwOpenWindowHint,312,312
_init_* (library),312,312
dmPoolAllocator,312,312
_ConfigFileGetFloat,308,308
stbi__get16be(),308,308
btConeTwistConstraint,300,300
jc,300,300
FontLoadFromMemory(),296,296
_ShutdownEngine,292,292
_bestasize,292,292
_callhook,292,292
_JobSystemCreateJob,288,288
_adjuststack,288,288
_dmHashRelease64,288,288
_glfwGetWindowParam,288,288
_mask,276,276
_max_* (library),276,276
b2Timer,276,276
dmUtf8,276,276
+[EAGLView createView:recreate:],272,272
_random_* (library),272,272
_tokennames,272,272
GBGetGlyph(),268,268
_dmHashBufferNoReverse64,268,268
btGjkEpaPenetrationDepthSolver,268,268
_bit_* (library),264,264
_bcreg_* (library),264,264
__glfwShowKeyboard,260,260
_dmHashReverseErase64,260,260
_four_* (library),256,256
_vwin128,256,256
b2DistanceProxy,256,256
_set_* (library),252,252
_dmHashReverse32,252,252
_dmHashReverse64,252,252
JobThread(),248,240
_zlength_* (library),248,248
-[ViewController getIntendedFrameOrigin:],240,240
_countint,240,240
dmStrTok(),240,240
-[AppDelegateProxy application:didFinishLaunchingWithOptions:],236,236
_counthash,236,236
_dmHashInit32,236,236
_dmHashInit64,236,236
-[AppDelegateProxy forwardInvocation:],232,232
dmGameSystemDDF,232,232
__glfwPlatformOpenWindowVulkan,228,228
_cdata_* (library),228,228
_pushnexttemplate,228,228
_str2num,228,228
_optget,224,224
_return_* (library),224,224
dmArrayUtil,224,224
-[EAGLView destroyFramebuffer],220,220
_ContextRegistrySetByHash,220,220
-[SoundApplicationDelegate handleInterruption:],216,216
_start_* (library),216,216
dmEngineCreate(),216,216
-[AppDelegateProxy application:openURL:sourceApplication:annotation:],212,212
-[SoundApplicationDelegate handleRouteChange:],212,212
_ConfigFileGetString,212,212
_ExtensionRegister,212,212
_book_* (library),212,212
_api_* (library),212,212
_unmakemask,212,212
btEmptyAlgorithm,212,212
TextToCodePoints(),208,208
_makemask,208,208
_modinit,208,208
b2ClipSegmentToLine(),208,208
-[AppDelegateProxy application:handleOpenURL:],204,204
_hookf,204,204
_singlematch,204,204
_sort_* (library),204,204
b2WorldRayCastWrapper,204,204
btAxisSweep3,204,204
_min_* (library),200,200
_setpath,200,200
b2ContactFilter,196,196
_cpcparser,192,192
_panic,192,192
_dmEngineDDF_* (library),192,192
-[BaseView touchesBegan:withEvent:],188,188
__glfwRefreshContextParams,188,188
_finalize,188,188
_YCbCr_* (library),188,188
-[EAGLView swapBuffers],184,184
CreateGlyphBankFont(),184,184
FontCollectionAddFont(),184,184
__glfwPlatformInit,184,184
_setfenv,184,184
stbtt__GetGlyfOffset(),184,184
-[AppDelegate reinit:],180,180
-[BaseView insertText:],180,180
ResourcePreloader,180,180
_DefoldError,180,180
__glfwPlatformOpenWindowOpenGL,180,180
_dmHashBufferNoReverse32,180,180
_getfield,180,180
_protected_* (library),180,180
_unwindstack,180,180
