symbol_group_name,vmsize,filesize
[__LINKEDIT],1916928,1916328
dmScript,615816,91432
dmGameSystem,319077,318829
_lj_* (library),180120,180120
"_TEXT,_* (library)",135808,135808
dmCrash,111436,5932
dmGui,104318,103350
_mbedtls_* (library),102988,102984
dmGameObject,99776,99744
basist,98528,83670
dmRender,83728,83672
dmGraphics,54553,53496
_GLOBAL_* (library),41632,41632
dmHashTable<>,41304,41304
dmPhysics,33412,33412
_mh_* (library),32768,32
dmParticle,32672,32672
_ZNSt3_* (library),32396,32396
stbi__process_marker(),31895,31895
_cp_* (library),29096,29096
std,28480,28480
dmResource,27308,27308
dmSound,20252,20060
_load_* (library),17720,17720
_lua_* (library),17028,17028
dmRig,16596,16596
btCollisionWorld,16572,16572
_vwin8192,16388,16388
dmLiveUpdate,16044,14948
[__DATA],14832,12
btDiscreteDynamicsWorld,14436,14436
_OBJC_* (library),14068,14068
_ssl_* (library),13864,13864
btSequentialImpulseConstraintSolver,13860,13860
dmEngine,13708,13700
miniz,12862,12862
_lex_* (library),12712,12712
dmDDF,12416,12352
dmInput,12188,11184
_dmGameSystemDDF_* (library),11129,10744
_parse_* (library),10984,10984
dmEasing,10820,10820
_vorbis_* (library),10264,10264
b2World,9924,9924
dmObjectPool<>,9452,9452
_crc_* (library),9298,9298
dmHttpCache,9086,9086
gjkepa2_impl,9060,9060
_luaL_* (library),8504,8504
_sincos_* (library),8200,8200
_vwin4096,8192,8192
dmHID,8188,8188
_serialize_* (library),8124,8124
_json_* (library),7972,7972
dmResourceMounts,7884,7884
_ciphersuite_* (library),7736,7736
_inflate,7456,7456
_dmRenderDDF_* (library),7175,6888
btAxisSweep3Internal<>,7040,7040
dmHttpClient,6936,6920
_expr_* (library),6788,6788
_rmtp_* (library),6608,784
_gc_* (library),6424,6424
btIDebugDraw,6352,6352
dmBuffer,6252,6252
dmSocket,6116,6116
dmConfigFile,6112,6112
dBoxBox2(),6092,6092
_deflate_* (library),6064,6064
"_DATA,_* (library)",5856,5856
b2DynamicTree,5856,5856
_ecp_* (library),5712,5664
_bcemit_* (library),5608,5608
_x509_* (library),5596,5596
_dmPhysicsDDF_* (library),5540,5440
_create_* (library),5528,5528
b2ContactSolver,5376,5376
_ov_* (library),5268,5268
_ogg_* (library),5124,5124
dmPlatform,4990,4982
_inflate_* (library),4928,4928
_strscan_* (library),4900,4900
_objc_* (library),4864,4864
_carith_* (library),4800,4800
btConvexConvexAlgorithm,4768,4768
_dmGraphics_* (library),4706,4640
dmHttpService,4688,4688
_dmGuiDDF_* (library),4671,4480
_fs_* (library),4660,4660
_bcread_* (library),4628,4628
dmConnectionPool,4620,4620
b2PrismaticJoint,4540,4540
_opt_* (library),4528,4528
_mdct_* (library),4516,4516
btRigidBody,4516,4516
_io_* (library),4448,4448
btVoronoiSimplexSolver,4288,4288
_meth_* (library),4272,4272
btMinkowskiPenetrationDepthSolver,4180,4180
btDbvt,4164,4164
_do_* (library),4144,4144
_ccall_* (library),4132,4132
_vwin2048,4096,4096
btHashedOverlappingPairCache,4084,4084
_ffi_* (library),4076,4076
_dmGameObjectDDF_* (library),4069,3736
b2Body,4052,4052
_bcwrite_* (library),4040,4040
dmHttpDDF,4016,4016
b2GearJoint,4012,4012
dmSoundCodec,3936,3904
dmSys,3904,3824
dmMessage,3888,3872
_process_* (library),3880,3880
_cconv_* (library),3864,3864
_dmRigDDF_* (library),3791,3728
_inet_* (library),3768,3768
b2GridShape,3748,3748
btDbvtBroadphase,3708,3708
b2SeparationFunction,3704,3704
b2RevoluteJoint,3656,3656
btCompoundCollisionAlgorithm,3648,3648
[__TEXT],3630,36294
dmSSLSocket,3604,3596
dmResourceProviderArchiveMutable,3604,3476
dmLog,3568,3568
_tmalloc_* (library),3532,3532
b2Island,3508,3508
_luaopen_* (library),3488,3488
_socket_* (library),3428,3428
btCompoundShape,3348,3348
_deflate,3340,3340
btConvexPlaneCollisionAlgorithm,3036,3036
_tr_* (library),3024,3024
btSimulationIslandManager,2972,2972
b2EPCollider,2960,2960
b2WheelJoint,2928,2928
_callback_* (library),2892,2892
b2Fixture,2880,2880
dmResourceArchive,2844,2844
btConvexConcaveCollisionAlgorithm,2752,2752
_ctype_* (library),2724,2724
dmArray<>,2724,2724
btGjkEpaSolver2,2704,2704
btGjkPairDetector,2696,2696
_res_* (library),2636,2636
_build_* (library),2632,2632
b2WeldJoint,2624,2624
_dmParticleDDF_* (library),2620,2520
dmDeviceOpenAL,2616,2616
_floor1_* (library),2556,2556
_make_* (library),2492,2492
b2PulleyJoint,2480,2480
_nd_* (library),2468,2468
dmResourceProviderZip,2464,2336
btBoxShape,2464,2464
btCapsuleShape,2440,2440
_debug_* (library),2424,2424
_mpi_* (library),2416,2416
btQuantizedBvh,2408,2408
__packetout,2376,2376
b2PolygonShape,2280,2280
_LZ4_* (library),2264,2264
_add_* (library),2264,2264
_dmMath_* (library),2257,2056
ReverseHashContainer,2196,2196
b2DistanceJoint,2192,2192
dmJobThread,2168,2168
btConvexHullShape,2168,2168
SphereTriangleDetector,2164,2164
basisu,2161,2161
b2Contact,2132,1528
btCollisionDispatcher,2072,2072
b2RopeJoint,2056,2056
_char2escape,2048,2048
_fixedtables.lenfix,2048,2048
_vwin1024,2048,2048
b2Distance(),2004,2004
_decode_* (library),2004,2004
_buffer_* (library),1996,1996
_OUTLINED_* (library),1952,1952
_prepend_* (library),1928,1928
btSubsimplexConvexCast,1916,1916
dmCrypt,1912,1912
_oid_* (library),1896,1896
btDefaultCollisionConfiguration,1884,1884
_dmModelDDF_* (library),1873,1752
_rsa_* (library),1872,1872
_dmInputDDF_* (library),1824,1808
btConvexTriangleCallback,1804,1804
_mapping_* (library),1804,1804
_pk_* (library),1796,1796
btContinuousConvexCollision,1784,1784
b2Simplex,1784,1784
b2BlockAllocator,1764,1116
