symbol_group_name,vmsize,filesize
[__LINKEDIT],3768320,3764768
MVK_spirv_cross,1515930,1515786
dmScript,620596,95972
basist,371480,356618
dmGameSystem,336705,329321
std,292835,292835
"_TEXT,_* (library)",269863,269863
_lj_* (library),225465,225465
_mbedtls_* (library),127624,127464
_variable_* (library),127354,127354
dmCrash,112516,7004
_except_* (library),110616,110616
(anonymous namespace),106036,106036
dmGameObject,94852,94828
dmGui,88074,87106
dmRender,86660,79396
dmGraphics,85683,84722
_GLOBAL_* (library),74568,74568
_LZ4_* (library),74076,74076
MVKPixelFormats,66490,66466
_pfb,65580,65580
__watermarkTextureContent,65536,65536
MVKInstance,60619,60619
spvtools,60399,60399
_ZNSt3_* (library),54288,54288
MVKDevice,53435,53435
_LZ4HC_* (library),42164,42164
stbi__process_marker(),41327,41327
MVKObjectPool<>,34565,34565
_recff_* (library),34013,34013
dmPhysics,33816,33700
dmParticle,32480,32312
MVKGraphicsPipeline,31566,31566
dmResource,29892,29892
opencl_entries,29808,29808
MVKSmallVectorImpl<>,28748,28748
MVKPhysicalDevice,27713,27649
MVKCommandTypePool<>,25631,25631
btConeTwistConstraint,22020,22020
mvk,21339,21219
MVKCommandPool,21081,21081
_objc_* (library),20736,20736
_zip_* (library),20548,20548
dmHashTable<>,19848,19848
_asm_* (library),19669,19669
_load_* (library),19628,19628
dmSound,19452,19316
_lua_* (library),19335,19335
_mh_* (library),19280,32
_fold_* (library),18870,18870
_cp_* (library),17708,17708
cereal,17054,17054
btCollisionWorld,16876,16868
dmEngine,16812,16804
_vwin8192,16388,16388
_parse_* (library),16180,16180
MVKDescriptorTypePool<>,16048,16048
btQuantizedBvh,15936,15936
dmLiveUpdate,15652,14556
_KHR_* (library),15340,0
btDiscreteDynamicsWorld,15016,15016
glsl_entries,14904,14904
__glfw,14744,0
dmRig,14700,14676
_field_* (library),14344,14344
MVKCommandEncoder,14268,14268
btSequentialImpulseConstraintSolver,14116,14116
_ssl_* (library),13888,13888
btAxisSweep3Internal<>,13772,13772
_DATA_* (library),13704,13704
MVKImage,13510,13510
dmInput,13496,12476
MVKCmdBufferImageCopy<>,13425,13425
dmDDF,13172,13108
_OBJC_* (library),13036,13036
MVKDescriptorPool,12790,12790
_rec_* (library),12720,12720
_EXT_* (library),11960,0
MVKRenderSubpass,11711,11711
_dmGameSystemDDF_* (library),11685,11264
_vorbis_* (library),10968,10968
dmEasing,10948,10948
MVKCmdBlitImage<>,10912,10912
MVKExtensionList,10803,10803
b2World,10700,10700
MVKDescriptorSetLayoutBinding,10450,10450
"_DATA,_* (library)",10312,10312
_luaL_* (library),10092,10092
_expr_* (library),9812,9812
gjkepa2_impl,9356,9356
dmHttpCache,9252,9252
btGeneric6DofConstraint,9156,9156
dmHID,9084,8716
b2DynamicTree,8944,8944
MVKQueueFullCommandBufferSubmission<>,8835,8835
MVKGraphicsResourcesCommandEncoderState,8790,8790
_dmRigDDF_* (library),8770,8624
dmHttpClient,8748,8732
dmResourceMounts,8324,8324
_sincos_* (library),8200,8200
_vwin4096,8192,8192
_shader_* (library),8096,8096
dmSocket,7980,7980
_x509_* (library),7936,7936
_json_* (library),7860,7844
_crec_* (library),7840,7840
_ciphersuite_* (library),7832,7832
MVKCommandResourceFactory,7832,7832
_dmRenderDDF_* (library),7828,7504
_inflate,7784,7784
_create_* (library),7580,7580
_clspvreflection_* (library),7544,7544
_ov_* (library),7456,7456
MVKCmdResolveImage<>,7438,7438
tinfl_decompress(),7166,7166
_deflate_* (library),7052,7052
MVKDescriptorSetLayout,6877,6877
_debuginfo_* (library),6808,6808
btDbvt,6676,6676
MVKCmdCopyImage<>,6672,6672
_ogg_* (library),6460,6460
MVKResourcesCommandEncoderState,6410,6410
btIDebugDraw,6348,6348
MVKSwapchain,6311,6311
dBoxBox2(),6300,6300
MVKCmdBeginRenderPass<>,6264,6264
debuginfo_entries,6256,6256
_lex_* (library),6068,6068
MVKDeviceMemory,6053,6053
MVKQueue,5858,5858
_dmPhysicsDDF_* (library),5844,5744
_dmGraphics_* (library),5794,5712
MVKPipelineCache,5728,5728
MVKCmdClearAttachments<>,5706,5706
_ecp_* (library),5704,5656
dmConfigFile,5688,5688
dmBuffer,5524,5516
MVKDescriptorSet,5511,5511
_ra_* (library),5476,5476
MVKCommandEncodingPool,5473,5473
b2ContactSolver,5376,5376
MVKShaderLibrary,5227,5227
btConvexConvexAlgorithm,5008,5008
MVKCmdPipelineBarrier<>,4967,4967
_dmInputDDF_* (library),4944,4928
_inflate_* (library),4872,4872
btVoronoiSimplexSolver,4872,4872
MVKImagePlane,4836,4836
_opt_* (library),4836,4836
dmResourceArchive,4776,4776
_dmGuiDDF_* (library),4727,4536
btCompoundShape,4688,4688
MVKAttachmentDescription,4663,4663
btGjkEpaSolver2,4596,4596
dmHttpService,4584,4584
btRigidBody,4584,4584
_mdct_* (library),4580,4580
dmObjectPool<>,4552,4552
dmSys,4548,4472
b2PrismaticJoint,4536,4536
dmSoundCodec,4504,4472
b2Body,4464,4464
MVKRenderingCommandEncoderState,4434,4434
_socket_* (library),4360,4360
btOptimizedBvh,4356,4356
_dmGameObjectDDF_* (library),4349,4016
_meth_* (library),4304,4304
dmConnectionPool,4284,4284
MVKCommandBuffer,4243,4243
dmSystemDDF,4169,4169
MVKCmdClearImage<>,4138,4138
btHashedOverlappingPairCache,4112,4112
btBvhTriangleMeshShape,4108,4108
_vwin2048,4096,4096
b2GearJoint,4088,4088
_pk_* (library),4084,4084
_do_* (library),4072,4072
btDbvtBroadphase,4056,4056
MVKCmdDrawIndirect,4048,4048
MVKPipelineLayout,4028,4028
dmMessage,3988,3948
btCompoundCollisionAlgorithm,3952,3952
_process_* (library),3948,3948
_gc_* (library),3916,3916
dmResourceProviderArchiveMutable,3892,3764
simple_json,3888,3888
MVKCmdDrawIndexedIndirect,3884,3884
_snap_* (library),3856,3856
_inet_* (library),3856,3856
btMinkowskiPenetrationDepthSolver,3848,2848
b2Island,3820,3820
mvkPopulateShaderConversionConfig(),3812,3812
_trace_* (library),3796,3796
_dmParticleDDF_* (library),3796,3696
b2GridShape,3768,3768
_serialize_* (library),3752,3752
dmPlatform,3692,3676
_deflate,3688,3688
b2RevoluteJoint,3668,3668
MVKPresentableSwapchainImage,3623,3623
dmSSLSocket,3620,3612
_parseMapping,3572,3572
dmLog,3532,3236
_oid_* (library),3432,3432
MVKRenderPass,3428,3428
spvTextEncodeOperand(),3424,3424
MVKImageViewPlane,3356,3356
_tr_* (library),3252,3252
btConvexShape,3252,3252
MVKCmdBindDescriptorSetsStatic<>,3197,3197
MVKQueryPool,3191,3191
btConvexPlaneCollisionAlgorithm,3160,3160
btSimulationIslandManager,3144,3144
MVKMTLFunctionNull,3136,0
_amd_* (library),3128,3128
b2SeparationFunction,3128,3128
_dmMath_* (library),3094,2872
b2EPCollider,3072,3072
_luaopen_* (library),3052,3052
MVKWatermark,3019,3019
spvExpandOperandSequenceOnce(),3000,3000
MVKBuffer,2983,2983
MVKComputePipeline,2949,2949
b2WheelJoint,2940,2940
b2Fixture,2924,2924
MVKCmdBindVertexBuffers<>,2916,2916
MVKImageMemoryBinding,2896,2896
MVKBufferView,2885,2885
MVKShaderModule,2866,2866
btConvexConcaveCollisionAlgorithm,2848,2848
MVKQueuePresentSurfaceSubmission,2839,2839
mvk_smallvector_allocator<>,2828,2828
_stbi_* (library),2812,2812
MVKImageView,2811,2811
_fs_* (library),2780,2780
MVKTimelineSemaphoreEmulated,2763,2763
MVKQueueCommandBufferSubmission,2750,2750
_strscan_* (library),2744,2744
topdown(),2712,2656
dmResourceProviderZip,2684,2556
btGjkPairDetector,2660,2660
MVKComputeResourcesCommandEncoderState,2658,2658
_res_* (library),2644,2644
b2PulleyJoint,2632,2632
b2Contact,2620,2016
_floor1_* (library),2616,2616
b2WeldJoint,2612,2612
_bcwrite_* (library),2600,2600
MVKShaderLibraryCache,2592,2592
MVKCmdCopyBuffer<>,2586,2586
MVKCmdDrawIndexed,2572,2572
_make_* (library),2560,2560
MVKCmdDraw,2525,2525
_rsa_* (library),2512,2512
MVKMTLBufferAllocationPool,2469,2469
btBoxShape,2468,2468
btCapsuleShape,2456,2456
_cploop_* (library),2436,2436
dmDeviceOpenAL,2436,2436
MVKTimestampQueryPool,2432,2432
btConvexHullShape,2424,2424
_mpi_* (library),2416,2416
MVKExtension,2384,2384
__packetout,2376,2376
MVKCmdBeginRendering<>,2372,2372
btTriangleMeshShape,2372,2372
__glfwCreateContextEGL,2360,2360
MVKSampler,2357,2357
_build_* (library),2332,2332
b2PolygonShape,2304,2304
SphereTriangleDetector,2288,2288
btSortedOverlappingPairCache,2272,2272
b2DistanceJoint,2192,2192
_io_* (library),2156,2156
_match,2148,2148
btCollisionDispatcher,2148,2148
dmCrypt,2108,2108
MVKDepthStencilCommandEncoderState,2089,2089
spvDbgInfoExtOperandCanBeForwardDeclaredFunction(),2075,2075
_decode_* (library),2072,2072
_char2escape,2048,2048
_fixedtables.lenfix,2048,2048
_vwin1024,2048,2048
_crc_* (library),2048,2048
b2RopeJoint,2048,2048
btAlignedObjectArray<>,2044,2044
MVKFramebuffer,2021,2021
btConvexTriangleCallback,2008,2008
btTypedConstraint,1988,1988
dmArray<>,1984,1984
dmJobThread,1948,1932
btSubsimplexConvexCast,1932,1932
b2BlockAllocator,1916,1268
dmResourceProviderArchive,1896,1768
_mapping_* (library),1892,1892
btDefaultCollisionConfiguration,1888,1888
_cconv_* (library),1888,1888
_dmModelDDF_* (library),1873,1752
_spvTextToBinaryWithOptions,1872,1872
MVKImageDescriptor,1869,1869
MVKMTLBufferAllocator,1856,1856
b2Distance(),1848,1848
_buffer_* (library),1844,1844
_bcemit_* (library),1844,1844
MVKSurface,1833,1833
dmLoadQueue,1828,1828
MVKOcclusionQueryPool,1824,1824
MVKCmdPushConstants<>,1821,1821
b2FrictionJoint,1816,1816
MVKRenderingAttachmentIterator,1813,1813
ReverseHashContainer,1808,1808
dmIntersection,1796,1796
MVKMetalCompiler,1795,1795
b2Simplex,1792,1792
btPersistentManifold,1768,1768
mvkCmdBeginRenderPass(),1760,1760
basisu,1746,1745
MVKCmdExecuteCommands<>,1741,1741
_Particle_* (library),1736,1736
MVKDXTnCodec,1735,1735
btGhostObject,1724,1724
__glfwPollMonitorsCocoa,1708,1708
_jpeg_* (library),1707,1707
CProfileManager,1700,1628
btContinuousConvexCollision,1696,1696
btCompoundLeafCallback,1684,1684
b2MouseJoint,1680,1680
MVKEventEmulated,1667,1667
_glfwGetGamepadState,1664,1664
_global_* (library),1664,1664
_emit_* (library),1660,1660
MVKCmdWaitEvents<>,1658,1658
_resample_* (library),1640,1640
btTriangleShape,1624,1624
_ecdsa_* (library),1612,1612
__glfwInitEGL,1596,1596
MVKCmdBindDescriptorSetsDynamic<>,1576,1576
__glfwCreateWindowCocoa,1544,1544
_cpcparser,1524,1524
MVKCmdPushDescriptorSet,1514,1514
MVKSemaphoreEmulated,1507,1507
_dmLiveUpdateDDF_* (library),1502,1488
__glfwInitCocoa,1496,1496
MVKDeferredOperation,1491,1491
b2ChainShape,1488,1488
_glfwSetInputMode,1484,1484
_block_* (library),1480,1480
_vkspreflection_* (library),1472,1472
__glfwRefreshContextAttribs,1468,1468
_auxiliar_* (library),1468,1468
_dmHttpDDF_* (library),1458,1376
MVKBufferDescriptor,1442,1442
_crc32_* (library),1440,1440
btHashMap<>,1436,1436
MVKCmdSetScissor<>,1391,1391
MVKTexelBufferDescriptor,1391,1391
_narrow_* (library),1388,1388
dmResourceProvider,1372,1372
_static_* (library),1368,1368
_get_* (library),1356,1356
__glfwDefaultMappings,1352,1352
dmBlockAllocator,1352,1352
btTransformUtil,1348,1348
dmURI,1348,1348
MVKFence,1345,1345
MVKPushConstantsCommandEncoderState,1338,1338
MVKBaseObject,1338,1338
btConvexInternalShape,1336,1336
btTranslationalLimitMotor,1324,1324
_aa_* (library),1316,1316
MVKInlineUniformBlockDescriptor,1314,1314
_fetch_* (library),1312,1312
_pem_* (library),1308,1308
_ccm_* (library),1304,1304
_AMD_* (library),1300,0
getGlobalMVKConfig(),1296,1296
b2BroadPhase,1296,1296
_matchCallback,1280,1280
btPolyhedralConvexShape,1276,1276
spvOperandCanBeForwardDeclaredFunction(),1258,1258
b2CollidePolygons(),1240,1240
dmVMath,1236,1236
_strbuf_* (library),1236,1236
MVKUnsupportedQueryPool,1233,1233
_oggpack_* (library),1232,1232
MVKQueueSubmission,1225,1225
MVKMTLFunction,1216,1216
b2ContactManager,1216,1216
MVKTimelineSemaphoreMTLEvent,1199,1199
b2TimeOfImpact(),1196,1196
_luaJIT_* (library),1196,1196
_send_* (library),1188,1188
mz_crc32(),1188,1188
_glfwWindowHint,1176,1176
dmHashFinal64(),1176,1176
dmExtension,1176,1176
-[GLFWApplicationDelegate applicationWillFinishLaunching:],1172,1172
btMatrix3x3,1172,1172
_gola_* (library),1172,1172
btPolyhedralConvexAabbCachingShape,1172,1068
_ffi_* (library),1172,1172
dmHashFinal32(),1168,1168
_timeout_* (library),1168,1168
btSphereSphereCollisionAlgorithm,1164,1164
_dmSystemDDF_* (library),1160,880
_processPerformanceStats,1152,0
MVKLayerManager,1150,1150
_spvBinaryToText,1148,1148
btPerturbedContactResult,1136,1136
btManifoldResult,1128,1128
btConvexInternalAabbCachingShape,1128,1024
MVKDescriptorUpdateTemplate,1122,1122
MVKWatermarkRandom,1117,1117
dmImage,1116,1116
MVKEventNative,1093,1093
_debug_* (library),1092,1092
_chacha20_* (library),1088,1088
_camellia_* (library),1088,1088
btCollisionShape,1084,1084
btSphereTriangleCollisionAlgorithm,1084,1084
__MergedGlobals,1080,0
MVKSemaphoreMTLEvent,1055,1055
btBoxBoxCollisionAlgorithm,1052,1052
MVKSemaphoreImpl,1051,1051
mvkVkResultName(),1048,1048
_idct_* (library),1044,1044
_K,1040,1040
__glfwCreateContextNSGL,1040,1040
btCollisionObject,1040,1040
_INVSQ_* (library),1032,1032
MVKBitArray,1028,1028
btPairCachingGhostObject,1028,1028
_FLOOR_* (library),1024,1024
_FT0,1024,0
_FT1,1024,0
_FT2,1024,0
_FT3,1024,0
_RT0,1024,0
_RT1,1024,0
_RT2,1024,0
_RT3,1024,0
_vkCmdBindDescriptorSets,1024,1024
_vwin512,1024,1024
_adler32_* (library),1012,1012
MVKCmdSetViewport<>,1001,1001
__glfwSetWindowMonitorCocoa,1000,1000
_compute_* (library),992,992
MVKGPUCounterQueryPool,977,977
MVKPipeline,974,974
_glfwUpdateGamepadMappings,972,972
_compress_* (library),968,968
kMVKMTLDepthStencilDescriptorDataDefault,960,0
_fpconv_* (library),948,948
dmMutex,948,948
dmResourceProviderFile,944,816
_fill_* (library),936,936
DebugDrawcallback,932,932
MVKShaderLibraryCompiler,931,931
__glfwInitJoysticksCocoa,928,928
_oggbyte_* (library),928,928
dmFileDescriptor,928,928
MVKQueueFamily,925,925
MVKCombinedImageSamplerDescriptor,924,924
_vkCmdCopyBufferToImage,916,916
_vkCmdCopyImageToBuffer,916,916
btGjkConvexCast,916,916
MVKCmdUpdateBuffer,913,913
_ctype_* (library),912,912
dmHashUpdateBuffer64(),912,912
MVKSamplerDescriptorMixin,912,912
btUnionFind,912,912
_aes_* (library),908,904
_dmGamesysDDF_* (library),898,752
dmPath,888,888
MVKOcclusionQueryCommandEncoderState,887,887
dmHashClone64(),884,884
_auxsort,880,880
mz_inflate(),880,880
spvTargetEnvList(),880,880
_dmHashBuffer32,876,876
dmThread,876,876
_tcp_* (library),872,872
_floor0_* (library),868,868
dmGameSystemDDF,864,864
dmHashRelease32(),856,856
dmHashUpdateBuffer32(),856,856
dmHashClone32(),852,852
btRotationalLimitMotor,852,852
dmZlib,848,848
dmTransform,844,844
mvkUpdateDescriptorSets(),840,840
_fwd_* (library),836,836
_unaccessed_* (library),832,832
_decompress_* (library),832,832
btSphereShape,824,824
_tls1_* (library),820,820
dmHashRelease64(),820,820
_propagatemark,808,808
_vkCmdCopyBufferToImage2,808,808
_vkCmdCopyImageToBuffer2,808,808
btRayAabb(),808,808
_supported_* (library),808,248
_dmHashReverseErase32,804,804
_dmHashReverseErase64,804,804
MVKMTLDeviceCapabilities,792,792
dmResourceProviderArchivePrivate,792,792
b2Joint,792,792
MVKFunctionSpecializer,789,789
_vkCmdBindVertexBuffers2,788,788
_dmPropertiesDDF_* (library),788,784
_LogInternal,784,784
_vkCmdPipelineBarrier,784,784
_ZN22MVKCmdClearAttachmentsILm4EE16populateVerticesEP17MVKCommandEncoderPDv4_* (library),784,784
_OUTLINED_* (library),784,784
_MVK_* (library),780,0
__glfwInputError,776,776
MVKComputePipelineCompiler,773,773
mvkAdjustFormatVectorToSize(),772,772
btTriangleRaycastCallback,772,772
MVKRenderPipelineCompiler,772,772
MVKSwapchainImage,772,772
_dmBufferDDF_* (library),770,768
dmHashInit32(),756,756
dmHashInit64(),756,756
_vkCmdBeginRendering,752,752
_vkCmdBindVertexBuffers,752,752
_vkCmdClearAttachments,752,752
MVKStagedDescriptorBindingUse,752,752
_zdist_* (library),748,748
btBridgedManifoldResult,744,744
MVKLayer,738,738
_udp_* (library),736,736
_glfwSetGamma,732,732
_release_* (library),732,732
_vkCmdPushConstants,732,732
cullPoints2(),732,732
__glfwInitVulkan,724,724
_bcread_* (library),724,724
dmResourceDDF,716,716
b2EdgeShape,716,716
_findValidMapping,712,712
_tremolo_* (library),712,712
dmHashReverse32Alloc(),704,704
dmHashReverse64Alloc(),704,704
_vk_* (library),704,704
_dmHashBuffer64,700,700
MVKPipelineStatisticsQueryPool,697,697
_ll_* (library),688,688
MVKGPUCaptureScope,687,687
insertleaf(),684,684
b2WorldManifold,676,676
Vectormath,676,676
_deflateInit2_* (library),672,672
_small_* (library),672,672
MVKCmdClearMultiAttachments<>,672,672
MVKCmdFillBuffer,671,671
MVKCmdPushDescriptorSetWithTemplate,662,662
CProfileNode,660,660
MVKCmdClearSingleAttachment<>,656,656
b2CircleShape,656,656
_dmHashReverse32,652,652
_dmHashReverse64,652,652
_removeCallback,652,652
_dmLuaDDF_* (library),652,640
MVKPeerSwapchainImage,648,648
MVKSemaphoreSingleQueue,638,638
b2CollidePolygonAndCircle(),636,636
_copy_* (library),632,632
_ZNKSt3_* (library),632,632
_vkCmdPipelineBarrier2,628,628
_zbuild_* (library),628,628
MVKVulkanAPIObject,625,625
_vkCmdWaitEvents,624,624
b2CollideEdgeAndCircle(),620,620
_des_* (library),620,620
MVKCmdClearDepthStencilImage<>,618,618
MVKSamplerYcbcrConversion,616,616
__glfwChooseFBConfig,612,612
b2PositionSolverManifold,612,612
spvTargetEnvNameMap,608,608
_tls_* (library),608,608
MVKPrivateDataSlot,605,605
_inflateSync,604,604
MVKCmdClearColorImage<>,604,604
MVKShaderResourceBinding,604,604
_b2Vec2_* (library),600,600
_vkCmdBlitImage,600,600
__glfwIsValidContextConfig,596,596
_str_* (library),596,596
b2StackAllocator,596,596
dmConditionVariable,596,596
btClosestNotMeConvexResultCallback,592,592
__glfwPollJoystickCocoa,588,588
_vkCmdResolveImage,588,588
__glfwGetGammaRampNull,584,584
_vkCmdCopyImage,584,584
b2GridAndPolygonContact,580,580
_glfwGetWindowAttrib,576,576
_vkCmdClearColorImage,572,572
_vkCmdClearDepthStencilImage,572,572
btTriangleConvexcastCallback,572,572
b2GridAndCircleContact,572,572
MVKSingleValueCommand<>,563,563
__glfwCreateContextOSMesa,560,560
_vkGetVersionStringsMVK,560,560
bottomup(),560,560
_g_* (library),555,0
_assign_* (library),552,552
_vkCmdCopyBuffer,552,552
__glfwGetGammaRampCocoa,548,548
_deflateSetDictionary,548,548
spvTextToLiteral(),548,548
btBoxBoxDetector,548,548
_entropy_* (library),548,548
zip_errlist,544,544
_glfw_* (library),544,544
b2Mat33,544,544
b2ChainAndPolygonContact,544,544
_longest_* (library),536,536
_spvBinaryParse,536,536
b2ChainAndCircleContact,536,536
_rmtp_* (library),536,0
_vkCmdSetScissor,532,532
_vkCmdWaitEvents2,532,532
_gcm_* (library),532,532
ResourceChunkCachePut(),528,528
__glfwParseUriList,528,528
_deflateCopy,528,528
_vkCmdSetScissorWithCount,528,528
_tab_* (library),524,524
_check_* (library),524,524
MVKMetalArgumentBuffer,524,524
_COS_* (library),520,520
_vkCmdSetViewport,520,520
dmTrigLookup,520,520
_vkCmdSetViewportWithCount,516,516
b2FindMaxSeparation(),516,516
_FSb,512,256
_bisect_* (library),512,512
_dist_* (library),512,512
_vwin256,512,512
__glfwSetGammaRampCocoa,508,508
_vkCmdBlitImage2,504,504
_vkCmdCopyBuffer2,504,504
_vkCmdResolveImage2,504,504
__glfwInputWindowFocus,500,500
_fscope_* (library),500,500
_vkCmdCopyImage2,500,500
__glfwSetVideoModeCocoa,496,496
_de_* (library),492,484
_vkCmdExecuteCommands,488,488
__glfwCreateWindowNull,484,484
kMVKMTLStencilDescriptorDataDefault,480,0
MVKSamplerDescriptor,479,479
MVKGPUAddressableBuffersCommandEncoderState,478,478
_glfwCreateWindow,476,476
_eckey_* (library),476,476
__glfwAllocJoystick,472,472
_glfwExtensionSupported,468,468
dmRigDDF,464,464
_chachapoly_* (library),460,460
__glfwCreateWindowSurfaceCocoa,456,456
_des3_* (library),456,456
_ccall_* (library),452,452
_vkCmdBindPipeline,452,452
MVKCmdDispatch,449,449
ResourceChunkCacheEvictMemory(),448,448
__glfwGetVulkanResultString,448,448
__glfwInputMonitor,444,444
_vkGetInstanceProcAddr,444,444
_grow_* (library),444,444
