symbol_group_name,vmsize,filesize
[__LINKEDIT],3276800,3272000
MVK_spirv_cross,1475800,1475656
dmScript,619720,95308
basist,359070,344208
dmGameSystem,339913,338713
std,269750,269750
"_TEXT,_* (library)",264312,264312
_lj_* (library),224857,224857
_variable_* (library),128058,128058
dmCrash,112852,6172
_except_* (library),106148,106148
_mbedtls_* (library),102272,102268
(anonymous namespace),101418,101418
dmGameObject,93380,93356
dmGui,87106,86138
dmGraphics,84407,83406
dmRender,81576,81472
MVKPixelFormats,65654,65630
_pfb,65544,65544
__watermarkTextureContent,65536,65536
MVKInstance,60379,60379
_GLOBAL_* (library),54524,54524
_ZNSt3_* (library),52704,52704
MVKDevice,52427,52427
stbi__process_marker(),35962,35962
MVKObjectPool<>,34565,34565
_recff_* (library),34013,34013
spvtools,33344,33344
dmPhysics,32684,32684
MVKGraphicsPipeline,30186,30186
opencl_entries,29808,29808
dmParticle,29360,29360
MVKSmallVectorImpl<>,28620,28620
dmResource,28196,28196
MVKPhysicalDevice,26073,26009
MVKCommandTypePool<>,25631,25631
_DATA_* (library),23816,23816
dmHashTable<>,22228,22228
_objc_* (library),21280,21280
MVKCommandPool,21081,21081
_asm_* (library),19669,19669
mvk,18974,18854
_load_* (library),18892,18892
dmSound,18888,18736
_fold_* (library),18870,18870
_cp_* (library),17708,17708
dmEngine,17480,17464
cereal,17054,17054
btCollisionWorld,16556,16556
_vwin8192,16388,16388
dmLiveUpdate,16376,15280
_parse_* (library),16180,16180
MVKDescriptorTypePool<>,16048,16048
_KHR_* (library),15340,0
_lua_* (library),15276,15276
glsl_entries,14904,14904
btDiscreteDynamicsWorld,14788,14788
__glfw,14744,0
dmInput,14212,13188
btSequentialImpulseConstraintSolver,13952,13952
dmRig,13876,13876
_ssl_* (library),13704,13704
[__DATA],13444,28
MVKCommandEncoder,13080,13080
_OBJC_* (library),13036,13036
_rec_* (library),12720,12720
MVKImage,12674,12674
MVKDescriptorPool,12526,12526
MVKCmdBufferImageCopy<>,12465,12465
_dmGameSystemDDF_* (library),12448,8592
dmDDF,12064,12000
_EXT_* (library),11960,0
MVKRenderSubpass,11247,11247
dmEasing,10824,10824
MVKExtensionList,10687,10687
_zip_* (library),10380,10380
_vorbis_* (library),10252,10252
"_DATA,_* (library)",10184,10184
_mh_* (library),10160,32
MVKDescriptorSetLayoutBinding,9894,9894
_expr_* (library),9812,9812
_dmRenderDDF_* (library),9612,7160
b2World,9564,9564
MVKCmdBlitImage<>,9540,9540
_luaL_* (library),9456,9456
_dmRigDDF_* (library),9444,6896
gjkepa2_impl,9356,9356
_stbtt_* (library),8936,8936
MVKQueueFullCommandBufferSubmission<>,8835,8835
MVKGraphicsResourcesCommandEncoderState,8790,8790
dmHttpCache,8789,8789
_field_* (library),8488,8488
_sincos_* (library),8200,8200
_vwin4096,8192,8192
_shader_* (library),8096,8096
dmResourceMounts,7868,7868
_json_* (library),7860,7860
_crec_* (library),7840,7840
_inflate,7784,7784
_ciphersuite_* (library),7768,7768
dmHID,7708,7452
dmHttpClient,7660,7644
_create_* (library),7580,7580
_clspvreflection_* (library),7544,7544
MVKCommandResourceFactory,7308,7308
MVKCmdResolveImage<>,7142,7142
_deflate_* (library),6892,6892
dmSoundCodec,6868,6828
_debuginfo_* (library),6808,6808
btAxisSweep3Internal<>,6716,6716
tinfl_decompress(),6434,6434
MVKDescriptorSetLayout,6425,6425
MVKResourcesCommandEncoderState,6410,6410
btIDebugDraw,6348,6348
dBoxBox2(),6300,6300
MVKCmdCopyImage<>,6272,6272
MVKCmdBeginRenderPass<>,6264,6264
debuginfo_entries,6256,6256
_dmPhysicsDDF_* (library),6256,4528
_dmGraphics_* (library),6159,4768
