symbol_group_name,vmsize,filesize
[__LINKEDIT],3260416,3260160
MVK_spirv_cross,1474975,1474831
dmScript,621748,97336
basist,361090,347259
dmGameSystem,355836,354564
std,267894,267894
"_TEXT,_* (library)",265950,265950
_lj_* (library),226653,226653
_variable_* (library),128058,128058
dmCrash,112824,8208
_except_* (library),106148,106148
(anonymous namespace),101426,101426
dmGameObject,94360,94336
dmGraphics,93993,93985
dmGui,93324,92388
dmRender,89440,89312
MVKPixelFormats,65654,65630
_pfb,65544,65544
__watermarkTextureContent,65536,65536
MVKInstance,60379,60379
_GLOBAL_* (library),57796,57796
MVKDevice,52427,52427
_ZNSt3_* (library),51624,51624
MVKObjectPool<>,34565,34565
_recff_* (library),33977,33977
spvtools,33344,33344
dmPhysics,33340,33340
MVKGraphicsPipeline,30186,30186
opencl_entries,29808,29808
dmParticle,29796,29796
MVKSmallVectorImpl<>,28620,28620
dmResource,26328,26328
MVKPhysicalDevice,26073,26009
MVKCommandTypePool<>,25631,25631
stbi__process_marker(),23960,23960
_objc_* (library),21536,21536
MVKCommandPool,21081,21081
_DATA_* (library),21008,21008
dmSound,20636,20484
_load_* (library),20168,20168
_asm_* (library),19661,19661
dmHashTable<>,19444,19444
mvk,18974,18854
_fold_* (library),18954,18954
dmEngine,17932,17916
_cp_* (library),17708,17708
dmRig,17416,17416
cereal,17054,17054
btCollisionWorld,16556,16556
_vwin8192,16388,16388
_parse_* (library),16180,16180
MVKDescriptorTypePool<>,16048,16048
_KHR_* (library),15340,0
_lua_* (library),15300,15300
glsl_entries,14904,14904
btDiscreteDynamicsWorld,14788,14788
__glfw,14744,0
dmLiveUpdate,14680,13584
_dm_* (library),14444,14444
btSequentialImpulseConstraintSolver,13952,13952
dmDDF,13128,13064
MVKCommandEncoder,13080,13080
_rec_* (library),12780,12780
_tdefl_* (library),12712,12712
MVKImage,12674,12674
MVKDescriptorPool,12526,12526
MVKCmdBufferImageCopy<>,12465,12465
dmInput,12364,11356
dmHttpCache,12006,12006
_EXT_* (library),11960,0
_dmGameSystemDDF_* (library),11892,8112
"_DATA,_* (library)",11392,11392
MVKRenderSubpass,11247,11247
dmEasing,10824,10824
MVKExtensionList,10687,10687
_OBJC_* (library),10332,10332
_vorbis_* (library),10252,10252
_field_* (library),10152,10152
_dmRigDDF_* (library),10036,7328
MVKDescriptorSetLayoutBinding,9894,9894
b2World,9564,9564
_dmRenderDDF_* (library),9556,7112
MVKCmdBlitImage<>,9540,9540
[__DATA],9512,28
_luaL_* (library),9468,9468
_expr_* (library),9424,9424
gjkepa2_impl,9356,9356
MVKQueueFullCommandBufferSubmission<>,8835,8835
MVKGraphicsResourcesCommandEncoderState,8790,8790
dmHID,8492,8492
_sincos_* (library),8200,8200
_vwin4096,8192,8192
_shader_* (library),8096,8096
dmHttpClient,8004,7988
_json_* (library),7936,7936
_create_* (library),7904,7904
[__TEXT],7825,12409
_crec_* (library),7772,7772
dmResourceMounts,7756,7756
_clspvreflection_* (library),7544,7544
MVKCommandResourceFactory,7308,7308
MVKCmdResolveImage<>,7142,7142
dmSoundCodec,6984,6952
_debuginfo_* (library),6808,6808
btAxisSweep3Internal<>,6716,6716
MVKDescriptorSetLayout,6425,6425
MVKResourcesCommandEncoderState,6410,6410
dBoxBox2(),6300,6300
btIDebugDraw,6292,6292
MVKCmdCopyImage<>,6272,6272
MVKCmdBeginRenderPass<>,6264,6264
debuginfo_entries,6256,6256
_dmPhysicsDDF_* (library),6256,4528
_dmGraphics_* (library),6207,4816
MVKSwapchain,6119,6119
_lex_* (library),6068,6068
dmSocket,5956,5956
MVKDeviceMemory,5797,5797
b2DynamicTree,5676,5676
MVKQueue,5674,5674
_mz_* (library),5588,5588
dmConfigFile,5472,5472
_ra_* (library),5472,5472
MVKCommandEncodingPool,5401,5401
b2ContactSolver,5376,5376
MVKPipelineCache,5348,5348
dmObjectPool<>,5332,5332
dmBuffer,5256,5256
MVKCmdClearAttachments<>,5142,5142
_dmGuiDDF_* (library),5092,3968
MVKDescriptorSet,5059,5059
_ogg_* (library),5008,5008
MVKCmdPipelineBarrier<>,4903,4903
btConvexConvexAlgorithm,4816,4816
dmConnectionPool,4804,4804
dmHttpService,4744,4744
_mh_* (library),4688,32
_dmGameObjectDDF_* (library),4640,3056
_mdct_* (library),4580,4580
MVKShaderLibrary,4571,4571
b2PrismaticJoint,4524,4524
btRigidBody,4508,4508
btVoronoiSimplexSolver,4440,4440
_opt_* (library),4428,4428
MVKImagePlane,4372,4372
_meth_* (library),4252,4252
MVKRenderingCommandEncoderState,4182,4182
_do_* (library),4144,4144
MVKCmdClearImage<>,4138,4138
MVKAttachmentDescription,4135,4135
btHashedOverlappingPairCache,4112,4112
GetGlyphTTF(),4096,4096
_vwin2048,4096,4096
dmHttpDDF,4073,4073
MVKCmdDrawIndirect,4048,4048
b2Body,4048,4048
btDbvt,3988,3988
b2GearJoint,3984,3984
MVKPipelineLayout,3944,3944
_gc_* (library),3940,3940
_process_* (library),3888,3888
_snap_* (library),3856,3856
btMinkowskiPenetrationDepthSolver,3848,3848
mvkPopulateShaderConversionConfig(),3812,3812
MVKCmdDrawIndexedIndirect,3800,3800
_serialize_* (library),3752,3752
MVKCommandBuffer,3727,3727
dmMessage,3720,3704
b2GridShape,3708,3708
_inet_* (library),3676,3676
dmPlatform,3660,3644
b2RevoluteJoint,3656,3656
btCompoundCollisionAlgorithm,3648,3648
_socket_* (library),3636,3636
_trace_* (library),3628,3628
dmResourceProviderArchiveMutable,3612,3484
_run_* (library),3592,3592
_parseMapping,3572,3572
btDbvtBroadphase,3548,3548
b2Island,3508,3508
dmSys,3440,3352
dmResourceProviderZip,3420,3292
MVKRenderPass,3396,3396
btCompoundShape,3360,3360
_dmMath_* (library),3348,2368
MVKPresentableSwapchainImage,3311,3311
