compileunits,vmsize,filesize
[__LINKEDIT],1113602,1106514
../src/gameobject/comp_anim.cpp,712682,712682
../src/script.cpp,563070,38590
../src/gui.cpp,252664,144104
"[__TEXT,__cstring]",220000,220000
../src/basis/transcoder/basisu_transcoder.cpp,185980,185980
../src/opengl/graphics_opengl.cpp,102429,102341
../src/gameobject/gameobject.cpp,92338,91850
../src/particle.cpp,72541,72445
../src/lz4/lz4.c,71234,71234
../src/gamesys/components/comp_gui.cpp,63239,62327
"[__TEXT,__eh_frame]",60528,60528
../src/dlib/image.cpp,57344,57344
../src/zip/zip.cpp,55958,55958
../src/gamesys/components/comp_model.cpp,52521,51049
../src/gui_script.cpp,50421,50421
../src/lz4/lz4hc.c,48889,48889
../src/gamesys/components/comp_tilegrid.cpp,47680,44104
proto/graphics/graphics_ddf.cpp,45579,16751
../src/gamesys/components/comp_sprite.cpp,42397,41653
../src/render/render_script.cpp,42139,41947
../src/gamesys/components/comp_mesh.cpp,35808,34600
../src/gamesys/resources/res_texture.cpp,35581,31213
../src/mbedtls/library/ssl_tls.c,34345,34345
../src/resource.cpp,33570,33506
../src/script_vmath.cpp,33370,33370
../src/render/render.cpp,31579,31227
../src/gamesys/resources/res_model.cpp,31113,31113
../src/rig.cpp,30574,30334
proto/rig/rig_ddf.cpp,29523,29323
../src/luasocket/inet.c,29376,29376
../src/gamesys/scripts/script_resource.cpp,28742,28742
../src/resource_preloader.cpp,28560,26520
../src/sound.cpp,28076,28036
../src/graphics.cpp,27898,27898
../src/dlib/hash.cpp,27865,27865
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btCollisionWorld.cpp,27102,27102
../src/gameobject/gameobject_script.cpp,26669,26669
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btConeTwistConstraint.cpp,26522,26522
../src/render/font_renderer.cpp,25779,25299
../src/gamesys/components/comp_collision_object.cpp,23360,23248
../src/physics/physics_3d.cpp,23251,23187
../src/physics/physics_2d.cpp,22026,21970
../src/engine.cpp,21695,21463
../src/input.cpp,21473,21465
../src/resource_mounts.cpp,21294,21294
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btAxisSweep3.cpp,20639,20639
"[__DATA_CONST,__const]",20560,20560
../package/bullet-2.77/src/BulletDynamics/Dynamics/btDiscreteDynamicsWorld.cpp,20173,20169
../src/gamesys/components/comp_label.cpp,19236,18732
../src/luacjson/lua_cjson.c,18885,18757
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btQuantizedBvh.cpp,18584,18580
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btSequentialImpulseConstraintSolver.cpp,18487,18483
../src/zlib/deflate.c,18028,18028
