compileunits,vmsize,filesize
[section .debug_loc],0,2672781
src/script_sys.cpp,533368,26563
src/common/main.cpp,4,419572
/buildbot/src/android/ndk-r25-release/toolchain/llvm-project/libcxx/../../../toolchain/llvm-project/libcxxabi/src/cxa_demangle.cpp,34819,411288
src/gui.cpp,95142,377693
[section .rodata],376572,376572
src/basis/transcoder/basisu_transcoder.cpp,104812,361296
src/opengl/graphics_opengl.cpp,115212,315072
src/gameobject/gameobject.cpp,60808,298526
[section .debug_frame],0,261308
src/particle.cpp,50000,241685
[section .text],224536,224536
src/gamesys/components/comp_gui.cpp,40628,208101
src/gamesys/components/comp_model.cpp,39660,195404
src/gamesys/components/comp_sprite.cpp,34144,182356
/buildbot/src/android/ndk-r25-release/toolchain/llvm-project/libcxx/src/algorithm.cpp,26952,178691
src/lz4/lz4hc.c,63365,177121
src/lz4/lz4.c,53362,167210
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btCollisionWorld.cpp,19860,160076
src/sound.cpp,86316,158433
src/script_vmath.cpp,32268,153674
src/render/render.cpp,21128,151552
src/rig.cpp,21852,142241
src/physics/physics_3d.cpp,18061,141626
src/gamesys/components/comp_mesh.cpp,24304,135413
src/gui_script.cpp,39700,131463
../package/bullet-2.77/src/BulletDynamics/Dynamics/btDiscreteDynamicsWorld.cpp,16900,128607
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btConeTwistConstraint.cpp,18896,127195
src/dlib/image.cpp,42898,124002
src/physics/box2d_defold/box2d_defold_physics.cpp,15180,112107
src/zip/zip.cpp,36066,111451
src/render/render_script.cpp,29896,109755
[section .symtab],0,106048
src/graphics.cpp,15940,105368
src/engine.cpp,22936,104935
src/crash.cpp,104809,11080
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btQuantizedBvh.cpp,18896,103926
src/resource.cpp,22876,100923
src/mbedtls/library/ssl_tls.c,27868,99482
src/gamesys/resources/res_model.cpp,20892,94419
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btSequentialImpulseConstraintSolver.cpp,15436,94376
src/dlib/hash.cpp,27402,90699
src/script.cpp,26131,89903
src/input.cpp,18385,89628
src/gamesys/components/comp_tilegrid.cpp,14828,88484
src/gamesys/components/comp_label.cpp,14356,85139
src/gamesys/scripts/script_resource.cpp,29428,84572
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btAxisSweep3.cpp,15540,81484
[section .strtab],0,78765
src/gameobject/gameobject_script.cpp,21068,77093
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btGeneric6DofConstraint.cpp,13756,76909
src/gamesys/components/comp_particlefx.cpp,13264,76334
