symbol_group_name,vmsize,filesize
dmScript,632171,142713
dmGameSystem,398566,544709
[section .rodata],337595,337595
dmGraphics,138077,192777
dmGui,115383,151274
dmCrash,110750,11042
dmGameObject,110592,155909
basist,107919,111865
_compress_* (library),104967,106278
dmRender,94492,133946
std,77302,96319
[section .rel.dyn],70760,70760
_pfb,65536,65561
[section .ARM.exidx],60936,60936
dmHashTable<>,50764,63407
_GLOBAL_* (library),47800,53897
(anonymous namespace),44188,102915
dmParticle,39873,50341
dmPhysics,37925,58055
dmResource,36328,51343
dmSound,25265,32608
_ssl_* (library),22756,31372
btConeTwistConstraint,22000,25064
_decompress_* (library),21628,22962
dmEngine,21302,26660
_zip_* (library),21164,26601
btQuantizedBvh,18928,22181
_load_* (library),18688,19796
dmRig,18544,23228
btCollisionWorld,18289,25117
_cf_* (library),17380,26649
dmDDF,16404,25758
vwin8192,16384,16409
btDiscreteDynamicsWorld,15764,21069
dmLiveUpdate,15297,20794
btSequentialImpulseConstraintSolver,15188,19119
btAxisSweep3Internal<>,14740,19275
_internal_* (library),14284,14721
_mpi_* (library),14088,16667
[section .ARM.extab],13736,13736
_rsa_* (library),12852,15016
_parse_* (library),12320,13928
dmInput,11927,13694
[section .plt],11920,11920
b2World,11672,13849
_ecp_* (library),11029,13516
dmEasing,11004,11212
dmObjectPool<>,10532,13433
btGeneric6DofConstraint,10468,13589
b2DynamicTree,10220,12192
dmSocket,10084,14283
dmHttpClient,10012,13352
gjkepa2_impl,10012,11557
[section .hash],9656,9656
dmResourceMounts,9456,12479
inflate,9228,9636
dmHttpCache,8997,10912
_x509_* (library),8904,10959
_strfmt_* (library),8336,9640
dmSoundCodec,8194,12196
vwin4096,8192,8217
dmSys,8174,11160
dmJobThread,8124,9889
_BC_* (library),7892,10850
__cxxabiv1,7494,17864
dmHID,7450,13620
_get_* (library),7362,9534
btIDebugDraw,7328,8416
tinfl_decompress(),7038,7806
[section .dynsym],6592,6592
dmBuffer,6404,8648
btDbvt,6360,8443
dmConfigFile,6164,7501
[section .gnu.hash],6116,6116
_info_* (library),6007,6905
[section .rel.plt],5944,5944
[section .text],5838,5838
[section .dynstr],5816,5816
btRigidBody,5672,8019
btConvexConvexAlgorithm,5548,7613
ciphersuite_definitions,5520,5560
init_gl,5444,5980
dmConnectionPool,5400,7198
b2ContactSolver,5400,6309
dmHttpService,5376,6920
_process_* (library),5280,5764
btVoronoiSimplexSolver,5256,6815
_create_* (library),5216,5475
dBoxBox2(),5164,5419
b2PrismaticJoint,5144,6983
btCompoundShape,5128,6889
dmMessage,5053,7450
_lib_* (library),4957,7228
dmResourceArchive,4816,7351
b2Body,4800,5997
GetGlyphTTF(),4796,5091
_do_* (library),4796,5009
_cipher_* (library),4732,5943
_Unwind_* (library),4712,6064
btMinkowskiPenetrationDepthSolver,4692,5545
_append_* (library),4684,5325
libunwind,4677,7123
btOptimizedBvh,4660,6452
_write_* (library),4592,4921
_asn1_* (library),4592,6406
dmLog,4464,5608
dmResourceProviderArchiveMutable,4432,5864
btDbvtBroadphase,4388,6478
_alloc_* (library),4382,4859
b2GearJoint,4300,5312
dmDeviceOpenSL,4180,5243
_ctype_* (library),4136,5090
sincos_lookup0,4104,4135
_braid_* (library),4096,4128
sincos_lookup1,4096,4127
vwin2048,4096,4121
b2RevoluteJoint,4072,5865
_decl_* (library),4058,4599
_book_* (library),4034,4412
deflate,4008,4128
btBvhTriangleMeshShape,3948,7289
b2EPCollider,3884,4320
b2GridShape,3848,5521
btConvexShape,3808,4657
_ff_* (library),3800,6524
b2Island,3768,4352
dmSSLSocket,3768,4822
_cxa_* (library),3764,5609
btHashedOverlappingPairCache,3720,7050
btCompoundCollisionAlgorithm,3652,5523
_pcm_* (library),3522,3704
_pk_* (library),3432,4658
b2SeparationFunction,3380,3774
dmResourceProviderZip,3332,4327
