symbol_group_name,vmsize,filesize
dmScript,631761,139567
[section .rodata],370698,370698
dmGameSystem,326397,485133
dmGraphics,239827,325469
_mbedtls_* (library),155802,194630
dmGui,112096,146078
dmCrash,110242,10066
dmGameObject,109392,151789
dmRender,104653,145954
basist,99664,99203
_compress_* (library),97083,98459
[section .rel.dyn],69896,69896
_pfb,65536,65561
std,60485,76519
[section .ARM.exidx],57560,57560
dmHashTable<>,49522,62357
(anonymous namespace),44924,103732
dmParticle,39217,48716
dmPhysics,37456,55436
dmResource,30108,40721
dmSound,24809,31668
dmEngine,20982,25456
_decompress_* (library),20800,21854
dmRig,19996,24440
_GLOBAL_* (library),19663,26519
_cf_* (library),17380,26649
_load_* (library),17236,17941
btCollisionWorld,17197,23754
vwin8192,16384,16409
btQuantizedBvh,15568,18050
_psa_* (library),15232,19811
btSequentialImpulseConstraintSolver,14840,17943
btDiscreteDynamicsWorld,14656,19682
dmDDF,14084,21709
_internal_* (library),14080,14363
[section .ARM.extab],13180,13180
[section .plt],11904,11904
dmInput,10903,11574
dmEasing,10856,10983
b2World,10688,12051
gjkepa2_impl,9688,11153
[section .hash],9656,9656
dmHttpClient,9152,11738
dmHttpCache,8768,10343
_lua_* (library),8686,13143
dmObjectPool<>,8408,11270
_mz_* (library),8380,9346
vwin4096,8192,8217
dmSoundCodec,7990,11788
_strfmt_* (library),7954,9046
_BC_* (library),7892,10850
_get_* (library),7642,9777
dmHID,7641,13219
dmSocket,7472,10551
__cxxabiv1,7398,17506
btIDebugDraw,7328,8416
_tinfl_* (library),7019,7435
_zip_* (library),6864,7481
btAxisSweep3Internal<>,6836,9147
b2DynamicTree,6776,7809
[section .dynsym],6576,6576
[section .text],6240,6240
dmBuffer,6240,8405
_parse_* (library),6184,6970
[section .gnu.hash],6124,6124
dmConfigFile,6088,7371
[section .rel.plt],5936,5936
dmSys,5886,7996
[section .dynstr],5856,5856
dmConnectionPool,5648,7251
dmHttpService,5508,7052
init_gl,5444,5980
b2ContactSolver,5400,6309
_process_* (library),5264,5545
_create_* (library),5216,5475
b2PrismaticJoint,5144,6983
dBoxBox2(),5140,5347
_luaL_* (library),5065,7374
btRigidBody,4972,7074
dmMessage,4964,6847
_lib_* (library),4957,7228
_tls13_* (library),4919,6286
btConvexConvexAlgorithm,4872,6369
GetGlyphTTF(),4796,5091
_do_* (library),4796,5009
b2Body,4728,5855
libunwind,4677,7123
btMinkowskiPenetrationDepthSolver,4616,5469
dmResourceMounts,4528,6199
btVoronoiSimplexSolver,4360,5465
b2GearJoint,4300,5312
_append_* (library),4252,4703
_alloc_* (library),4242,4574
dmDeviceOpenSL,4180,5243
_ctype_* (library),4136,5074
sincos_lookup0,4104,4135
sincos_lookup1,4096,4127
vwin2048,4096,4121
dmLiveUpdate,4096,5925
_T_* (library),4096,7224
b2RevoluteJoint,4072,5865
_decl_* (library),4058,4599
_Unwind_* (library),4036,4911
_book_* (library),4034,4412
dmLog,4000,4783
btDbvt,3860,5115
b2GridShape,3848,5521
btDbvtBroadphase,3844,5655
_ff_* (library),3800,6524
_cxa_* (library),3764,5609
b2EPCollider,3756,4101
btHashedOverlappingPairCache,3700,7030
b2Island,3592,4092
dmArray<>,3568,5652
btCompoundCollisionAlgorithm,3524,5288
_pcm_* (library),3522,3704
btCompoundShape,3460,4915
b2SeparationFunction,3380,3774
dmResourceProviderZip,3336,4331
_mod_* (library),3296,3431
b2WheelJoint,3292,4664
_meth_* (library),3236,3805
_info_* (library),3183,3634
_debug_* (library),3152,3910
btGjkPairDetector,3100,4296
btBvhTriangleMeshShape,3092,5655
b2Fixture,3072,4028
_glfwAndroidHandleInput,3064,3232
[section .got],3028,3028
_key_* (library),3017,3573
_mul_* (library),3012,3089
_glfwJoy,3008,25
_meta_* (library),3008,3855
_run_* (library),2980,3217
[section .got.plt],2980,2980
_sync_* (library),2969,3402
b2WeldJoint,2964,3839
_cconv_* (library),2928,3379
btConvexPlaneCollisionAlgorithm,2924,4491
_dsp_* (library),2892,3376
_flush_* (library),2884,3040
b2PulleyJoint,2876,4118
parse_chunk,2868,2960
btSimulationIslandManager,2800,3828
dmPlatform,2789,12105
_packetout,2760,2803
_tdefl_* (library),2755,3170
btConvexConcaveCollisionAlgorithm,2712,5048
btOptimizedBvh,2696,4057
_carith_* (library),2684,3247
b2PolygonShape,2660,3561
dmSSLSocket,2624,3216
stbtt_GetGlyphShape(),2576,2716
_tab_* (library),2576,3343
FontLoadFromMemoryTTF(),2572,2654
_crt_* (library),2532,2704
_mpi_* (library),2532,3030
btBoxShape,2504,4113
_mac_* (library),2496,2887
_set_* (library),2420,3598
_page_* (library),2415,2898
[section .gnu.version],2412,2412
b2DistanceJoint,2408,3339
lex_scan,2334,2471
_vm_* (library),2322,4045
_make_* (library),2288,2466
_expr_* (library),2270,2594
b2RopeJoint,2252,3276
ReverseHashContainer,2232,2543
SphereTriangleDetector,2204,2886
_luaopen_* (library),2193,2970
expr_binop,2162,2333
basisu,2161,2739
glfwAndroidDiscoverJoysticks,2148,2225
dmResourceProviderArchive,2124,3214
b2Contact,2065,2338
b2FrictionJoint,2056,3295
btCollisionDispatcher,2056,3830
vwin1024,2048,2073
btConvexShape,1988,2656
glfwAndroidUpdateJoystick,1960,2066
b2Distance(),1924,2138
btSubsimplexConvexCast,1924,2429
btSortedOverlappingPairCache,1920,4939
cp_next,1916,2100
_err_* (library),1898,3263
_gl_* (library),1892,2270
_ffh_* (library),1886,3294
_vorbis_* (library),1880,2040
dmLoadQueue,1880,2575
btDefaultCollisionConfiguration,1876,2849
btCapsuleShape,1876,2945
_jpeg_* (library),1867,2247
b2Simplex,1864,2298
_next_* (library),1856,1991
btContinuousConvexCollision,1828,2392
btConvexTriangleCallback,1820,2317
btConvexHullShape,1820,3387
JNIAndroidSetCommandLine,1816,1889
res_inverse,1816,1860
btGjkEpaSolver2,1816,2107
_optimize_* (library),1792,1883
b2MouseJoint,1788,3213
glfwAndroidHandleInput,1744,1847
btPersistentManifold,1740,2372
_raw_* (library),1729,1924
[section .bss],1727,0
_double_* (library),1720,1818
JobSystemUpdate,1716,1820
_app_* (library),1696,2161
btCompoundLeafCallback,1692,2016
dmIntersection,1680,2162
_neon_* (library),1668,1753
b2ChainShape,1656,2854
b2BlockAllocator,1654,1568
_compressHC_* (library),1631,2014
dmHashFinal64,1626,1688
btAlignedObjectArray<>,1612,2263
_cipher_* (library),1588,1733
_stream_* (library),1566,2129
[section .data.rel.ro],1540,1540
_x509_* (library),1540,1637
_ov_* (library),1532,1616
_global_* (library),1532,1852
_lsp_* (library),1528,1596
_ct_* (library),1520,1791
dmVMath,1504,1710
dmHashFinal32,1478,1540
glfwOpenWindow,1448,1511
b2TimeOfImpact(),1444,1635
_cff_* (library),1444,1699
btTriangleShape,1428,2819
_fetch_* (library),1400,1505
_cdata_* (library),1394,1765
_resample_* (library),1384,1661
_width_* (library),1376,1513
final_gl,1360,1481
_use_* (library),1356,1420
fs_finish,1344,1402
_csctx_* (library),1344,1655
_glfwAndroidHandleCommand,1332,1438
_NodeDesc_* (library),1317,3524
b2ContactManager,1316,1727
Layout<>(),1308,1435
_aeabi_* (library),1308,2378
_ShaderDesc_* (library),1298,2853
_com_* (library),1295,2238
_ThumbV7PILongThunk_* (library),1284,10722
btConvexInternalShape,1280,2496
_ccallback_* (library),1276,1537
dmResourceProvider,1276,2798
_file_* (library),1274,1644
b2CollidePolygons(),1272,1426
dmResourceArchive,1272,1860
_str_* (library),1272,1638
dmBlockAllocator,1268,1608
dmHashUpdateBuffer64,1249,1318
LogInternal,1244,1336
btManifoldResult,1224,1743
dmZlib,1224,1409
_strscan_* (library),1216,1393
btTriangleMeshShape,1204,1963
serialize_put,1196,1258
btHashMap<>,1188,1378
btTransformUtil,1188,1438
strscan_dec,1168,1228
_idct_* (library),1164,1223
_time_* (library),1162,1348
global_select,1160,1222
b2BroadPhase,1160,1800
_SceneDesc_* (library),1159,3471
_entry_* (library),1148,1603
_buf_* (library),1138,1898
btCollisionObject,1120,2044
dmHashRelease32,1100,1164
dmHashRelease64,1100,1164
dmHashClone32,1098,1160
dmHashClone64,1098,1160
_calc_* (library),1088,1510
btPolyhedralConvexAabbCachingShape,1072,1699
_fromdB_* (library),1060,1096
bcwrite_proto,1058,1104
btSphereSphereCollisionAlgorithm,1056,2459
mapping_inverse,1052,1100
_MaterialDesc_* (library),1052,2280
TextLayoutLegacyCreate(),1048,1178
_write_* (library),1040,1244
_dispatch_* (library),1040,1321
_LOOKUP_* (library),1032,1126
dmSysPosix,1032,1956
_ccall_* (library),1028,1127
char2escape,1024,1052
crc_lookup,1024,1051
vwin512,1024,1048
FT0,1024,20
FT1,1024,20
FT2,1024,20
FT3,1024,20
RT0,1024,20
RT1,1024,20
RT2,1024,20
RT3,1024,20
dmMutex,1024,1494
dmExtension,1020,1809
btPolyhedralConvexShape,1008,1575
_add_* (library),1000,1106
_bcread_* (library),994,1026
_normalize_* (library),992,1147
dmHashUpdateBuffer32,985,1054
_Register_* (library),977,4200
btCollisionShape,976,1641
_buffer_* (library),971,1171
btConvexInternalAabbCachingShape,968,1489
dmHashBuffer32,963,1026
dmResourceProviderFile,960,1652
dmHashReverseErase64,953,1022
cpcparser,952,1010
serialize_get,948,994
btSphereTriangleCollisionAlgorithm,948,2361
dmPath,940,1166
dmHashInit32,937,998
dmHashInit64,933,994
_verify_* (library),928,1159
_GlyphBank_* (library),926,2651
btBoxBoxCollisionAlgorithm,924,2239
_rsassa_* (library),920,1046
dmHashReverseErase32,917,986
btPerturbedContactResult,912,1121
btGjkConvexCast,908,1346
_Emitter_* (library),907,2196
K,896,930
expr_table,896,923
floor1_inverse1,892,956
b2WorldManifold,880,996
b2EdgeShape,880,1586
dmHashReverse64Alloc(),870,960
dmHashBuffer64,859,922
dmImage,848,1175
_unw_* (library),844,1556
_initialize_* (library),840,911
dmHashReverse32Alloc(),838,928
dmTransform,832,1036
_compressHC2_* (library),832,1156
_comment_* (library),829,1046
gc_onestep,828,903
insertleaf(),828,900
glfwDisable,824,916
_vmeta_* (library),812,1948
GetGlyphIndexTTF(),808,917
b2CollidePolygonAndCircle(),800,944
DebugDrawcallback,800,1391
_compute_* (library),800,997
CProfileManager,796,1296
_zbuild_* (library),792,887
_bisect_* (library),792,849
dmCrypt,788,1006
dmHashReverse64,784,848
_ecp_* (library),772,971
secp384r1_T,768,796
b2Joint,764,1313
Vectormath,756,915
dmHashReverse32,752,816
_gc_* (library),752,1219
ANativeActivity_onCreate,749,822
btPairCachingGhostObject,744,1255
_glfwInput,740,27
b2CircleShape,740,1396
b2CollideEdgeAndCircle(),732,870
[section .data],729,729
_Material_* (library),724,1306
__udivmoddi4,720,765
btTriangleRaycastCallback,720,1043
b2PositionSolverManifold,716,856
intersectRectQuad2(),712,774
dmURI,712,856
_sign_* (library),712,866
_clib_* (library),706,939
dmAndroid,704,1300
jc,700,863
_aead_* (library),700,864
_FontMap_* (library),692,2115
cullPoints2(),688,759
JobSystemSetParent,688,755
_func_* (library),688,1022
dmFileDescriptor,680,1275
btSphereShape,680,1502
_luaJIT_* (library),665,996
_ssl_* (library),664,1080
ResourceChunkCachePut(),660,778
_aes_* (library),660,886
match,656,710
make_current,652,745
global_data,648,44
res_unpack,643,686
_cjson_* (library),640,770
_prf_* (library),632,790
glfwAndroidFlushEvents,628,731
JobSystemCreate,628,692
btGhostObject,628,1183
b2Mat33,628,947
PutDone(),620,718
btMatrix3x3,620,861
_bc_* (library),616,669
dmOpaqueHandleContainer<>,606,1119
btClosestNotMeConvexResultCallback,604,978
b2StackAllocator,600,975
auxsort,596,636
_unroll_* (library),584,632
dmConditionVariable,576,1093
_glfwAndroidPlatformGetWindowRefreshRate,572,661
glfwAndroidUpdateDpad,572,642
dmThread,572,986
_emutls_* (library),569,793
btTriangleConvexcastCallback,568,926
mdct_backward,566,628
_substruct_* (library),566,671
JobSystemPushJob,564,629
_alg_* (library),564,623
_lex_* (library),562,869
_glfwPlatformInit,548,614
touchById,548,606
ResourceChunkCacheEvictMemory(),544,648
global_connect,544,607
_prng_* (library),544,701
_FontDesc_* (library),542,1642
b2FindMaxSeparation(),536,650
_unused_* (library),536,592
btBoxBoxDetector,532,938
SelectAndPopJob(),532,631
_TextureImage_* (library),532,1041
_check_* (library),532,726
engine_main(),520,588
poly1305_process,516,565
dmTrigLookup,516,609
vwin256,512,536
_TextureSet_* (library),505,818
floor0_inverse1,504,552
_Matrix4_* (library),504,1319
opt_setmembership,500,566
propagatemark,498,544
_glfwPlatformTerminate,496,567
JobSystemDestroy,496,561
_VertexAttribute_* (library),494,1482
_profile_* (library),492,671
gcm_mask,488,529
btUnionFind,488,789
__udivmodsi4,480,525
glfwCreateJoystickDeviceGuid,472,549
oggbyte_set4,472,517
_ip6_* (library),468,538
_grow_* (library),460,535
tremolo_mergesort,460,510
b2GridAndPolygonContact,460,909
b2GridAndCircleContact,460,904
floor1_inverse2,456,520
glfwGetTouch,456,517
cp_declarator,456,502
_serialize_* (library),450,769
_Mesh_* (library),448,537
glfwOpenWindowHint,436,535
_sig_* (library),436,534
fpconv_strtod,432,494
b2ChainAndPolygonContact,432,886
b2ChainAndCircleContact,432,881
_dict_* (library),428,519
_CollisionObjectDesc_* (library),426,1288
_TileSet_* (library),423,1226
removeleaf(),420,489
meth_receivefrom,420,485
lj_bcread,420,478
_x520_* (library),420,455
glfwEnable,416,507
_handshake_* (library),416,483
expr_primary,414,459
mgf_mask,412,469
oggbyte_read4,412,458
_name_* (library),412,495
_build_* (library),408,499
gcm_mult,404,461
_state_* (library),404,758
CancelJobInternal(),400,523
_glfwAndroidGetSafeAreaInsets,400,478
parse_body,400,459
_traverse_* (library),400,550
operator new(),398,640
ResourceChunkCacheEvictPathHash(),396,502
ConfigFileGetFloat,396,463
glfwGetWindowParam,392,491
ll_loadfunc,392,452
dmHashBufferNoReverse64,388,476
inet_pushresolved,388,454
dmPPrint,388,649
lex_number,384,443
ciphersuite_definitions,384,424
secp256r1_T,384,412
[LOAD #1 [R]],381,381
ProcessOneJob(),380,467
ConfigFileGetInt,380,445
_auth_* (library),376,488
_LabelDesc_* (library),375,917
_glfwAndroidPlatformSwapBuffers,372,452
JobSystemCreateJob,372,439
_SpriteDesc_* (library),365,943
_cur_* (library),364,429
socket_recvfrom,360,424
ov_bitrate,359,402
_glfwParseGLVersion,356,424
collect_fd,356,415
unwind_phase2(),352,475
glfwExtensionSupported,352,423
socket_sendto,352,414
meth_sendto,352,412
_ContactPointResponse_* (library),352,481
LZ4_loadDictHC,347,394
_RenderTargetDesc_* (library),346,952
GBGetGlyph(),344,446
btConeTwistConstraint,344,441
socket_connect,344,407
bcemit_store,342,387
_glfwShowKeyboard,340,406
_ctx_* (library),340,819
_find_* (library),338,367
_HttpRequest_* (library),338,734
[section .init_array],336,336
b2EdgeSeparation(),332,442
auxiliar_tostring,332,398
meth_receive,328,437
_de_* (library),328,453
stbi__get16be(),328,395
b2PolygonAndCircleContact,328,771
b2EdgeAndPolygonContact,328,761
b2EdgeAndCircleContact,328,756
b2PolygonContact,328,726
b2CircleContact,328,721
stbtt_GetGlyphBox(),324,409
inet_trybind,324,385
_g_* (library),324,425
_sw_* (library),324,367
_packet_* (library),323,430
_free_* (library),322,499
_ctr_* (library),320,401
_drbg_* (library),320,393
dmStrError(),320,387
meth_setpeername,320,385
socket_send,320,380
_zdefault_* (library),320,408
_SpriteGeometry_* (library),319,636
lex_longstring,318,365
_gxx_* (library),317,386
SetContext(),316,406
_glfwTerminateJoysticks,316,388
btNullPairCache,316,1974
meth_accept,312,372
socket_recv,312,372
_vmevent_* (library),312,443
_clear_* (library),310,506
Particle_IsSleeping,308,376
tcp_create,308,367
ciphersuite_preference,308,347
_fff_* (library),308,638
ResourceChunkCacheGet(),304,406
entropy_update,304,367
dmUtf8,304,522
_decode_* (library),300,392
_gather_* (library),300,372
_CollisionShape_* (library),298,609
_RenderPrototypeDesc_* (library),298,1132
socket_gaistrerror,296,395
FontLoadFromMemory(),292,370
err_unwind,292,367
_ccm_* (library),292,358
b2DistanceProxy,288,405
TextToCodePoints(),288,372
timeout_getretry,288,353
strscan_double,286,317
_Model_* (library),285,633
_start_* (library),284,355
parse_assignment,284,349
_glfwPreMain,284,345
_HttpResponse_* (library),284,502
dmPoolAllocator,284,507
_PropertyDeclarations_* (library),282,496
_Modifier_* (library),282,640
socket_accept,280,342
_TextureSetAnimation_* (library),278,775
JobThread(),276,376
_JNIEnv,276,847
b2WorldRayCastWrapper,272,384
dmHashEnableReverseHash,272,344
ConfigFileGetString,272,340
[section .dynamic],272,272
_ModelDesc_* (library),272,851
dmZip,272,1045
dmStrTok(),268,336
_calculate_* (library),268,335
inet_tryconnect,264,312
strscan_hex,264,308
rsa_unblind,260,304
gola_fixup,260,303
_StreamDesc_* (library),258,421
_obj_* (library),258,411
_char_* (library),257,286
meth_connect,256,317
_ulp_* (library),256,285
rescale_n,256,282
vwin128,256,280
FSb,256,20
RSb,256,20
_zdist_* (library),256,333
parse_args,254,297
_Animation_* (library),254,681
btGjkEpaPenetrationDepthSolver,252,570
meth_send,252,358
strbuf_resize,252,314
nd_mul2k,252,277
_CameraDesc_* (library),252,640
_dynamic_* (library),251,314
_glfwAndroidSetFullscreenParameters,248,332
_opaque_* (library),248,319
RecvTimeout(),248,303
_crypt_* (library),248,512
_zlength_* (library),248,329
_phase2_* (library),244,426
onSaveInstanceState,244,312
bcread_fill,244,288
hash_mprime,244,288
_cont_* (library),244,518
_EmbeddedInstanceDesc_* (library),243,663
_InstanceDesc_* (library),243,620
_PlaySound_* (library),243,780
_SoundDesc_* (library),243,731
_push_* (library),242,319
FontCollectionAddFont(),240,337
b2ClipSegmentToLine(),240,326
_glfwAndroidSetInputMethod,240,315
computeIconifiedState,240,310
ExtensionRegister,240,306
onDestroy,240,298
make_assoc,240,283
operator delete(),239,548
operator delete[](),238,531
_Texture_* (library),237,694
ov_read,236,276
_malloc_* (library),236,353
b2Timer,236,480
auxiliar_checkgroup,232,300
_glfwResetKeyboard,232,299
ov_comment,231,274
b2CollideCircles(),228,332
ov_info,228,268
Particle_GetInstanceStats,226,307
_md_* (library),224,267
_SetCamera_* (library),223,539
_terminate_* (library),220,303
_socket_* (library),220,288
auxiliar_newclass,220,286
searchpath,220,279
udp_create,220,279
SupportVertexCallback,220,417
_struct_* (library),220,267
_call_* (library),218,268
strscan_bin,218,246
_CollectionInstanceDesc_* (library),217,579
_CollectionDesc_* (library),217,552
CreateGlyphBankFont(),216,317
glfwAndroidPollEvents,216,286
_index_* (library),216,279
_lookup_* (library),216,276
ResourcePreloader,216,275
expr_toreg,216,259
_ResourceEntry_* (library),215,459
_Bone_* (library),215,397
_TextureTransform_* (library),214,700
_TileCell_* (library),214,657
ResourceChunkCacheDestroy(),212,311
dmEngineCreate(),212,295
_ComponentDesc_* (library),212,462
_glfwPlatformGetJoystickButtons,208,288
JNIAttachCurrentThreadIfNeeded,208,287
dmHashBufferNoReverse32,208,264
debug_framepc,208,254
_SetGridShapeHull_* (library),208,329
_ContactPoint_* (library),208,321
operator new[](),206,416
_Sampler_* (library),206,571
b2TestOverlap(),204,303
socket_strerror,204,300
_glfwRefreshContextParams,204,278
onContentRectChanged,204,273
meth_bind,204,262
_Iridescence_* (library),204,587
dLineClosestApproach(),200,299
socket_ioerror,200,295
_glfwPlatformGetJoystickPos,200,276
_YCbCr_* (library),200,273
glfwAccelerometerEnable,200,272
meth_setsockname,200,265
debug_localname,200,264
_group_* (library),200,263
process_cmd,200,260
_MeshDesc_* (library),199,654
process_input,196,258
tcp_open,196,253
udp_open,196,253
_rsa_* (library),196,251
glfwCrc16,196,238
_Cubemap_* (library),196,610
_Reboot_* (library),196,607
LZ4_compressHC,195,242
Particle_SetPosition,193,262
func,192,309
DefoldError,192,252
LZ4_compressHC2,192,240
tcp_methods,192,220
_glfwWin,192,25
_IK_* (library),191,373
_EmbeddedComponentDesc_* (library),190,538
_Value_* (library),190,388
_glfwAndroidPlatformAfterFlushEvents,188,273
dmArrayUtil,188,261
rmtp_DispatchCalls(),188,338
b2ContactFilter,188,425
rmtp_DrawCalls(),188,326
__float128,187,325
__int128,187,325
bool,187,325
char,187,325
double,187,325
float,187,325
int,187,325
long,187,325
long double,187,325
long long,187,325
short,187,325
signed char,187,325
unsigned __int128,187,325
unsigned char,187,325
unsigned int,187,325
unsigned long,187,325
