symbol_group_name,vmsize,filesize
dmScript,621880,128856
dmGameSystem,353361,473122
[section .rodata],308510,308510
dmGui,112419,146979
dmGraphics,110869,157261
dmGameObject,109960,153580
dmCrash,109666,10880
basist,102871,106710
_compress_* (library),97207,98518
dmRender,91208,129622
std,76934,95336
_GLOBAL_* (library),73036,82675
[section .rel.dyn],69304,69304
[section .ARM.exidx],56824,56824
dmHashTable<>,46120,56563
(anonymous namespace),44188,103104
miniz,41980,49850
dmParticle,39221,49404
dmPhysics,37689,57569
dmResource,33156,47047
_ssl_* (library),22820,31478
btConeTwistConstraint,22000,25064
dmSound,18948,24253
btQuantizedBvh,18928,22181
dmRig,18328,22389
btCollisionWorld,18289,25117
_cf_* (library),17158,26475
dmEngine,16596,20039
vwin8192,16384,16409
btDiscreteDynamicsWorld,15764,21069
dmInput,15437,17154
btSequentialImpulseConstraintSolver,15188,19119
dmLiveUpdate,15065,20058
dmDDF,14868,23345
_load_* (library),14768,15780
btAxisSweep3Internal<>,14740,19275
_internal_* (library),14276,14713
_mpi_* (library),14092,16671
_decompress_* (library),13152,14206
_rsa_* (library),12852,15016
[section .ARM.extab],12504,12504
_parse_* (library),12312,13920
[section .plt],11840,11840
b2World,11672,13849
_ecp_* (library),11021,13508
dmEasing,11012,11220
btGeneric6DofConstraint,10468,13589
b2DynamicTree,10220,12192
dmSocket,10140,14339
gjkepa2_impl,10012,11557
[section .hash],9624,9624
dmResourceMounts,9568,12461
dmHID,9092,15223
_x509_* (library),8892,10947
dmHttpCache,8633,10520
dmHttpClient,8536,11230
crc_table,8192,8218
vwin4096,8192,8217
dmObjectPool<>,7920,10231
_BC_* (library),7892,10850
inflate,7804,8180
dmSys,7798,10703
_strfmt_* (library),7778,9050
__cxxabiv1,7494,17864
btIDebugDraw,7356,8444
_get_* (library),6866,8954
[section .dynsym],6528,6528
dmBuffer,6380,8608
btDbvt,6360,8443
[section .gnu.hash],6116,6116
_info_* (library),5983,6881
dmConfigFile,5940,7175
[section .rel.plt],5904,5904
[section .dynstr],5764,5764
btRigidBody,5672,8019
[section .text],5564,5564
btConvexConvexAlgorithm,5548,7613
ciphersuite_definitions,5520,5560
init_gl,5432,6032
b2ContactSolver,5400,6309
_process_* (library),5336,5820
btVoronoiSimplexSolver,5256,6815
dBoxBox2(),5164,5419
b2PrismaticJoint,5144,6983
btCompoundShape,5128,6889
dmConnectionPool,5000,6665
dmHttpService,4912,6444
_lib_* (library),4889,7109
dmMessage,4885,7195
b2Body,4800,5997
_Unwind_* (library),4712,6064
btMinkowskiPenetrationDepthSolver,4692,5545
_append_* (library),4688,5329
libunwind,4677,7123
_do_* (library),4660,4841
btOptimizedBvh,4660,6452
_cipher_* (library),4624,5835
_asn1_* (library),4592,6406
_write_* (library),4584,4913
dmResourceArchive,4580,6975
dmLog,4468,5612
btDbvtBroadphase,4388,6478
_alloc_* (library),4382,4859
dmResourceProviderArchiveMutable,4356,5687
b2GearJoint,4300,5312
sincos_lookup0,4104,4135
sincos_lookup1,4096,4127
vwin2048,4096,4121
b2RevoluteJoint,4072,5865
dmDeviceOpenSL,4060,5091
_decl_* (library),4058,4599
dmSoundCodec,4044,7097
_ctype_* (library),4036,4925
_book_* (library),4034,4412
btBvhTriangleMeshShape,3948,7289
b2EPCollider,3884,4320
b2GridShape,3848,5521
btConvexShape,3808,4657
_ff_* (library),3776,6500
b2Island,3768,4352
_cxa_* (library),3764,5609
btHashedOverlappingPairCache,3720,7050
dmSSLSocket,3716,4770
dmPlatform,3684,12873
btCompoundCollisionAlgorithm,3652,5523
deflate,3524,3580
_pcm_* (library),3522,3704
_pk_* (library),3432,4658
b2SeparationFunction,3380,3774
b2WheelJoint,3292,4664
_meth_* (library),3276,3877
btGjkEpaSolver2,3248,3895
_tr_* (library),3244,3561
btGjkPairDetector,3200,4396
b2Fixture,3072,4028
_glfwAndroidHandleInput,3064,3232
_aes_* (library),3008,3830
_meta_* (library),3008,3855
_sync_* (library),2969,3402
[section .got.plt],2964,2964
b2WeldJoint,2964,3839
topdown(),2956,3209
btConvexPlaneCollisionAlgorithm,2956,4555
_sha512_* (library),2896,3547
_dsp_* (library),2892,3376
dmJobThread,2884,3541
dmArray<>,2876,4321
b2PulleyJoint,2876,4118
dmResourceProviderZip,2868,3619
_carith_* (library),2844,3603
parse_chunk,2840,2932
_camellia_* (library),2820,3442
btSimulationIslandManager,2808,3916
_packetout,2760,2803
