filename,compressed,uncompressed
libexec/bundletool-all.jar,30633323,32505571
lib/android.jar,10833398,14664759
libexec/x86_64-macos/tint,3437044,14286792
libexec/arm64-macos/tint,3098127,13170497
libexec/x86_64-linux/tint,3807869,12036104
libexec/x86_64-linux/glslang,3030104,11949752
libexec/arm64-linux/tint,3117165,8958880
libexec/x86_64-macos/dmengine,3845351,8825392
libexec/x86_64-win32/dmengine.exe,3269012,8692736
libexec/x86_64-macos/dmengine_release,3392661,8193216
libexec/arm64-macos/dmengine,3486811,7893888
libexec/x86_64-win32/dmengine_release.exe,2784618,7846400
libexec/x86_64-linux/aapt2,2777346,7620984
libexec/arm64-macos/dmengine_release,3040863,7265192
lib/x86_64-linux/libtexc_shared.so,3015276,7246304
lib/arm64-linux/libtexc_shared.so,2996054,7189312
libexec/arm64-linux/glslang,2876419,6988416
lib/x86_64-win32/shaderc_shared.dll,1633417,6893568
libexec/x86_64-macos/aapt2,2722463,6881808
libexec/x86_64-win32/tint.exe,2674266,6782464
libexec/arm64-macos/aapt2,2512489,6576384
lib/x86_64-linux/libc++.so,1498484,6457600
libexec/x86_64-macos/glslang,2251465,6438168
libexec/x86_64-win32/aapt2.exe,2507372,5976728
libexec/arm64-macos/glslang,1931282,5728808
libexec/x86_64-linux/dmengine,2735563,5606824
libexec/x86_64-linux/dmengine_release,2283304,4973624
libexec/arm64-linux/dmengine,2485052,4957240
lib/x86_64-linux/libshaderc_shared.so,1675322,4834368
libexec/x86_64-linux/spirv-opt,1772439,4698856
libexec/arm64-android/libdmengine.so,2355405,4657712
libexec/x86_64-win32/lipo.exe,2597104,4655104
libexec/x86_64-linux/lipo,2544968,4519843
libexec/x86_64-macos/lipo,2497607,4491120
libexec/arm64-linux/lipo,2380199,4471779
lib/arm64-linux/libshaderc_shared.so,1560300,4441352
libexec/arm64-macos/lipo,2379510,4385842
libexec/arm64-linux/dmengine_release,2033355,4320944
libexec/arm64-linux/spirv-opt,1743163,4301432
libexec/x86_64-win32/glslang.exe,1605427,4261888
libexec/x86_64-macos/spirv-opt,1404216,4087360
libexec/arm64-android/libdmengine_release.so,1901803,4021048
libexec/x86_64-ios/dmengine,2064318,3986376
lib/x86_64-win32/texc_shared.dll,1327083,3763712
lib/x86_64-macos/libshaderc_shared.dylib,1124526,3575544
libexec/arm64-ios/dmengine,1865822,3557072
libexec/arm64-macos/spirv-opt,1187349,3537752
libexec/x86_64-macos/strip_android,1356258,3507824
libexec/arm64-macos/strip_android,1295688,3432256
libexec/x86_64-ios/dmengine_release,1613453,3357824
lib/arm64-macos/libshaderc_shared.dylib,1015568,3172472
libexec/wasm_pthread-web/dmengine.wasm,1486820,3163958
builtins/assets/images/logo/logo_blue_1024.bmp,184045,3147874
libexec/wasm-web/dmengine.wasm,1484440,3147347
libexec/x86_64-win32/spirv-opt.exe,1143360,3082752
libexec/arm64-ios/dmengine_release,1422940,2932736
libexec/wasm_pthread-web/dmengine_release.wasm,1076038,2598479
libexec/wasm-web/dmengine_release.wasm,1072800,2584121
lib/x86_64-macos/libtexc_shared.dylib,1011260,2446640
libexec/x86_64-linux/apkc,847223,2253840
lib/arm64-macos/libtexc_shared.dylib,917413,2097800
lib/arm64-linux/libmodelc_shared.so,667719,1741608
lib/x86_64-linux/libmodelc_shared.so,658991,1698096
lib/x86_64-win32/modelc_shared.dll,394476,1267712
libexec/x86_64-win32/strip_android_aarch64.exe,487384,1060864
libexec/x86_64-linux/strip_android_aarch64,464606,1043600
libexec/x86_64-win32/luajit-64.exe,477430,952320
libexec/x86_64-linux/strip_android,412600,917040
lib/builtins.zip,830440,848883
libexec/x86_64-win32/strip_android.exe,386920,783872
com/sun/jna/aix-ppc64/libjnidispatch.a,163555,657031
libexec/x86_64-linux/luajit-64,308941,633976
com/sun/jna/aix-ppc/libjnidispatch.a,159740,613528
libexec/arm64-macos/luajit-64,279145,609016
libexec/x86_64-macos/luajit-64,286878,575936
libexec/arm64-linux/luajit-64,285449,556000
lib/report_template.html,154755,547951
net/jpountz/util/win32/amd64/liblz4-java.so,175313,520219
lib/x86_64-macos/libmodelc_shared.dylib,156094,499536
builtins/input/default.gamepads,8444,498409
lib/arm64-macos/libmodelc_shared.dylib,137858,465016
com/sun/jna/linux-loongarch64/libjnidispatch.so,50246,374632
lib/time_report_template.html,92651,297825
libexec/x86_64-linux/zipalign,103508,292140
libexec/wasm-web/dmengine.js,65132,284093
builtins/assets/images/logo/logo_blue_1024.png,246149,276899
libexec/wasm-web/dmengine_release.js,63830,273993
libexec/wasm_pthread-web/dmengine.js,62873,272857
libexec/wasm_pthread-web/dmengine_release.js,61584,262693
libexec/arm64-macos/zipalign,101918,261296
libexec/x86_64-macos/strip,93554,257296
com/sun/jna/win32-aarch64/jnidispatch.dll,95197,256512
com/sun/jna/win32-x86-64/jnidispatch.dll,106683,254464
com/sun/jna/sunos-sparc/libjnidispatch.so,69167,230996
com/sun/jna/platform/win32/WinError.class,69081,214574
builtins/ca-certificates/cacert.pem,122479,214279
com/sun/jna/win32-x86/jnidispatch.dll,98682,211456
libexec/x86_64-win32/zipalign.exe,98411,209408
net/jpountz/util/linux/aarch64/liblz4-java.so,93938,209176
net/jpountz/util/linux/ppc64le/liblz4-java.so,65770,209096
net/jpountz/util/darwin/x86_64/liblz4-java.dylib,87820,205112
libexec/arm64-macos/codesign_allocate,58486,204032
libexec/x86_64-macos/codesign_allocate,60717,187600
mozilla/public-suffix-list.txt,59250,180498
net/jpountz/util/darwin/aarch64/liblz4-java.dylib,73578,173886
com/amazonaws/services/s3/AmazonS3Client.class,53061,172793
com/sun/jna/sunos-x86-64/libjnidispatch.so,68492,169896
com/sun/jna/sunos-sparcv9/libjnidispatch.so,59517,166976
com/sun/jna/linux-aarch64/libjnidispatch.so,44548,162288
com/sun/jna/darwin-aarch64/libjnidispatch.jnilib,28581,159816
net/jpountz/util/linux/amd64/liblz4-java.so,70811,154886
com/sun/jna/sunos-x86/libjnidispatch.so,63991,153056
com/sun/jna/linux-ppc64le/libjnidispatch.so,47454,145072
com/sun/jna/linux-mips64el/libjnidispatch.so,48433,144056
com/sun/jna/linux-armel/libjnidispatch.so,49993,139472
com/sun/jna/linux-s390x/libjnidispatch.so,48623,136976
com/sun/jna/linux-x86-64/libjnidispatch.so,51999,134447
com/sun/jna/linux-arm/libjnidispatch.so,49530,130788
com/sun/jna/linux-ppc/libjnidispatch.so,47101,127724
com/sun/jna/linux-x86/libjnidispatch.so,45356,123384
com/sun/jna/openbsd-x86-64/libjnidispatch.so,48496,122942
com/sun/jna/freebsd-x86-64/libjnidispatch.so,48858,121307
builtins/assets/images/logo/logo_blue_512.png,116328,117668
libexec/x86_64-win32/liboggz.dll,56556,114688
libexec/x86_64-macos/liboggz.dylib,26759,113696
com/dynamo/bob/pipeline/antlr/glsl/GLSLParser.class,44128,113205
com/sun/jna/freebsd-x86/libjnidispatch.so,45582,109718
com/sun/jna/openbsd-x86/libjnidispatch.so,41337,108073
com/sun/jna/darwin-x86-64/libjnidispatch.jnilib,35731,107392
libexec/x86_64-macos/zipalign,43259,99648
net/jpountz/util/linux/s390x/liblz4-java.so,39717,97464
libexec/arm64-macos/liboggz.dylib,20595,96992
com/sun/jna/linux-riscv64/libjnidispatch.so,43666,95984
com/google/protobuf/MessageSchema.class,41144,94683
libexec/x86_64-win32/oggz-validate.exe,43791,86016
com/dynamo/bob/Project.class,37652,83712
com/fasterxml/jackson/databind/ObjectMapper.class,20913,81740
libexec/x86_64-linux/liboggz.so,28902,80120
libexec/x86_64-macos/libogg.dylib,19179,76480
builtins/scripts/mobdebug.lua,19766,75143
com/fasterxml/jackson/databind/deser/BasicDeserializerFactory.class,21348,73932
libexec/x86_64-macos/oggz-validate,10125,73576
com/dynamo/bob/pipeline/antlr/glsl/GLSLLexer.class,36919,72930
libexec/arm64-macos/oggz-validate,8705,72544
