filename,compressed,uncompressed
JDK,62270365,62270365
libexec/bundletool-all.jar,30633323,32505571
com/sun/*.*,8555766,21136696
clojure/*.*,6991552,15503357
lib/android.jar,10833398,14664759
com/ibm/*.*,6146730,13876950
libexec/arm64-macos/tint,3098127,13170497
com/dynamo/*.*,4228999,11856542
_unpack/arm64-macos/bin/dmengine,4108090,11565336
editor/gui,5335727,11273477
libexec/x86_64-macos/dmengine,3846984,8829568
libexec/x86_64-win32/dmengine.exe,3272265,8699392
libexec/x86_64-macos/dmengine_release,3393860,8197352
libexec/arm64-macos/dmengine,3488454,7893904
libexec/x86_64-win32/dmengine_release.exe,2787519,7853568
javafx/*.*,3438482,7629541
libexec/arm64-macos/dmengine_release,3041472,7265208
lib/x86_64-linux/libtexc_shared.so,3015276,7246304
lib/arm64-linux/libtexc_shared.so,2996054,7189312
lib/x86_64-win32/shaderc_shared.dll,1633416,6893568
libexec/arm64-macos/aapt2,2512489,6576384
lib/x86_64-linux/libc++.so,1498484,6457600
libexec/arm64-macos/glslang,1931282,5728808
libexec/x86_64-linux/dmengine,2739161,5613352
com/jogamp/*.*,2060879,5301844
jogamp/*.*,1994042,5001762
libexec/x86_64-linux/dmengine_release,2285033,4980152
libexec/arm64-linux/dmengine,2486059,4957384
lib/x86_64-linux/libshaderc_shared.so,1675322,4834368
libexec/arm64-android/libdmengine.so,2356801,4662128
com/google/protobuf/*.*,1515935,4466162
lib/arm64-linux/libshaderc_shared.so,1560300,4441352
libexec/arm64-macos/lipo,2379510,4385842
org/apache/commons/*.*,1826544,4341676
libexec/arm64-linux/dmengine_release,2034763,4324960
org/eclipse/jgit/*.*,1849713,4164787
libexec/arm64-android/libdmengine_release.so,1903671,4025464
libexec/x86_64-ios/dmengine,2065309,3986376
com/fasterxml/jackson/*.*,1401584,3932759
lib/x86_64-win32/texc_shared.dll,1327084,3763712
lib/x86_64-macos/libshaderc_shared.dylib,1124516,3575544
libexec/arm64-ios/dmengine,1866276,3557064
libexec/arm64-macos/spirv-opt,1187349,3537752
libexec/arm64-macos/strip_android,1295688,3432256
libexec/x86_64-ios/dmengine_release,1613877,3357824
cljfx/*.*,1568294,3267061
com/amazonaws/*.*,1271062,3207351
lib/arm64-macos/libshaderc_shared.dylib,1015564,3172472
libexec/wasm_pthread-web/dmengine.wasm,1487893,3165128
libexec/wasm-web/dmengine.wasm,1484821,3148435
builtins/assets/images/logo/logo_blue_1024.bmp,184045,3147874
libexec/arm64-ios/dmengine_release,1423211,2932736
editor/code/view,1400817,2856855
libexec/wasm_pthread-web/dmengine_release.wasm,1076389,2599649
libexec/wasm-web/dmengine_release.wasm,1073440,2585209
org/eclipse/jetty/*.*,1135632,2573055
editor/particlefx,1176481,2503651
editor/app_view,1226539,2466397
lib/x86_64-macos/libtexc_shared.dylib,1011236,2446640
org/apache/http/*.*,1040887,2407275
org/codehaus/jackson/*.*,857085,2288635
cognitect/*.*,653207,2243020
editor/scene,1024287,2099902
lib/arm64-macos/libtexc_shared.dylib,917413,2097800
_unpack/arm64-macos/lib/libjogl_desktop.dylib,310722,1900424
editor/collection,856488,1823243
lib/arm64-linux/libmodelc_shared.so,667719,1741608
lib/x86_64-linux/libmodelc_shared.so,658991,1698096
libgstreamer-lite.dylib,688785,1697888
com/github/benmanes/caffeine/*.*,608969,1671617
editor/collision_object,767439,1653355
editor/atlas,764008,1592609
editor/tile_source,704716,1497810
ch/qos/*.*,650229,1442658
editor/font,651524,1382670
