filename,compressed,uncompressed
libjfxwebkit.dylib,31922361,86645072
JDK,61147218,61147218
libexec/bundletool-all.jar,27327761,28992316
com/ibm/*.*,11528031,27028277
com/sun/*.*,9002688,22148437
clojure/*.*,6990707,15505151
lib/android.jar,9533370,13241253
libexec/arm64-macos/tint,3098127,13170497
com/dynamo/*.*,4615827,13105508
editor/gui,5540075,11762986
libexec/x86_64-win32/dmengine.exe,3061203,8312832
javafx/*.*,3546820,7848808
libexec/x86_64-win32/dmengine_release.exe,2626717,7565312
lib/x86_64-linux/libtexc_shared.so,2496008,7532080
lib/x86_64-linux/libc++.so,1498484,6457600
_unpack/arm64-macos/bin/dmengine,2501449,6420264
libexec/arm64-macos/glslang,1931282,5728808
jogamp/*.*,1929728,4810278
libexec/x86_64-linux/dmengine,2396039,4801272
com/jogamp/*.*,1731591,4512782
com/google/protobuf/*.*,1515935,4466162
libexec/x86_64-macos/dmengine,2263088,4449952
libexec/arm64-android/libdmengine.so,2180816,4383496
org/apache/commons/*.*,1825929,4341235
libexec/x86_64-linux/dmengine_release,1984692,4236360
org/eclipse/jgit/*.*,1849713,4164787
libexec/arm64-macos/dmengine,2064996,4071440
com/fasterxml/jackson/*.*,1401584,3932759
libexec/x86_64-macos/dmengine_release,1853531,3887520
libexec/arm64-android/libdmengine_release.so,1769022,3819952
libexec/arm64-macos/lipo,2078636,3817074
org/antlr/*.*,1553198,3761420
libexec/x86_64-ios/dmengine,1900519,3752472
libexec/arm64-macos/spirv-opt,1187349,3537752
libexec/arm64-macos/dmengine_release,1656454,3508760
lib/x86_64-win32/shaderc_shared.dll,978942,3470336
libexec/arm64-ios/dmengine,1736752,3461752
libexec/arm64-macos/strip_android,1295688,3432256
lib/x86_64-linux/libshaderc_shared.so,1094290,3227152
com/amazonaws/*.*,1271062,3207351
libexec/x86_64-ios/dmengine_release,1489317,3189616
builtins/assets/images/logo/logo_blue_1024.bmp,184045,3147874
lib/x86_64-win32/texc_shared.dll,1161806,3111424
cljfx/*.*,1405770,2940689
libexec/wasm-web/dmengine.wasm,1334165,2893538
libexec/arm64-ios/dmengine_release,1329890,2886600
org/eclipse/jetty/*.*,1135632,2573055
editor/code/view,1258464,2563988
libexec/wasm-web/dmengine_release.wasm,966587,2408422
org/apache/http/*.*,1040887,2407275
editor/particlefx,1117909,2381422
lib/x86_64-macos/libshaderc_shared.dylib,752546,2356344
editor/app_view,1160364,2327200
org/codehaus/jackson/*.*,857085,2288635
lib/x86_64-macos/libtexc_shared.dylib,916914,2262992
cognitect/*.*,653191,2242891
lib/arm64-macos/libshaderc_shared.dylib,692380,2183288
lib/arm64-macos/libtexc_shared.dylib,847862,2122744
lib/x86_64-linux/libmodelc_shared.so,612848,2014592
editor/scene,926330,1905201
editor/collection,836833,1780200
libgstreamer-lite.dylib,710233,1738896
_unpack/arm64-macos/lib/libjogl_desktop.dylib,241906,1722744
com/github/benmanes/caffeine/*.*,608969,1671617
editor/collision_object,682955,1472406
ch/qos/*.*,650229,1442658
