filename,compressed,uncompressed
JDK,69305553,69305553
libexec/bundletool-all.jar,30633323,32505571
com/ibm/*.*,11528031,27028277
_unpack/x86_64-linux/bin/dmengine,9513873,24237248
com/sun/*.*,8437248,20868476
clojure/*.*,6991366,15503196
lib/android.jar,10299057,13989417
com/dynamo/*.*,4686189,13276856
libexec/x86_64-linux/tint,3807869,12036104
libexec/x86_64-linux/glslang,3030104,11949752
editor/gui,5086724,10774986
libexec/x86_64-macos/dmengine,3809729,8789200
libexec/x86_64-win32/dmengine.exe,3238520,8600576
libexec/x86_64-macos/dmengine_release,3361075,8169280
libexec/arm64-macos/dmengine,3436412,7862240
libexec/x86_64-win32/dmengine_release.exe,2762210,7768576
javafx/*.*,3449222,7639483
lib/x86_64-linux/libtexc_shared.so,3031248,7589944
libexec/arm64-macos/dmengine_release,2997428,7233576
lib/arm64-linux/libtexc_shared.so,2968426,7190064
lib/x86_64-linux/libc++.so,1498484,6457600
libexec/x86_64-linux/aapt2,2304746,6456248
libexec/x86_64-linux/dmengine,2701620,5570904
libexec/x86_64-linux/dmengine_release,2257035,4947928
libexec/arm64-linux/dmengine,2442298,4916816
jogamp/*.*,1929728,4810278
libexec/x86_64-linux/spirv-opt,1772439,4698856
libexec/arm64-android/libdmengine.so,2324011,4613000
libexec/x86_64-linux/lipo,2544968,4519843
com/jogamp/*.*,1731591,4512782
com/google/protobuf/*.*,1515935,4466162
org/apache/commons/*.*,1825929,4341235
libexec/arm64-linux/dmengine_release,1999436,4293544
org/eclipse/jgit/*.*,1849713,4164787
libexec/arm64-android/libdmengine_release.so,1876979,3980328
com/fasterxml/jackson/*.*,1401584,3932759
libexec/x86_64-ios/dmengine,2030104,3929712
org/antlr/*.*,1553198,3761420
libexec/arm64-ios/dmengine,1832773,3492328
lib/x86_64-win32/shaderc_shared.dll,982436,3482112
lib/x86_64-win32/texc_shared.dll,1298189,3426304
libexec/x86_64-ios/dmengine_release,1583608,3313456
com/amazonaws/*.*,1271062,3207351
lib/x86_64-linux/libshaderc_shared.so,1134074,3199032
builtins/assets/images/logo/logo_blue_1024.bmp,184045,3147874
lib/x86_64-macos/libtexc_shared.dylib,1221451,3135656
libexec/wasm_pthread-web/dmengine.wasm,1454265,3096659
cljfx/*.*,1480163,3086462
libexec/wasm-web/dmengine.wasm,1451961,3077655
lib/arm64-linux/libshaderc_shared.so,1071881,3008360
libexec/arm64-ios/dmengine_release,1396444,2884376
editor/code/view,1382104,2816246
lib/arm64-macos/libtexc_shared.dylib,1148390,2614248
org/eclipse/jetty/*.*,1135632,2573055
libexec/wasm_pthread-web/dmengine_release.wasm,1051753,2542530
libexec/wasm-web/dmengine_release.wasm,1048058,2525713
org/apache/http/*.*,1040887,2407275
editor/particlefx,1126726,2399469
editor/app_view,1191922,2385979
_unpack/x86_64-linux/bin/lsp/lua/bin/lua-language-server,906810,2346392
org/codehaus/jackson/*.*,857085,2288635
libexec/x86_64-linux/apkc,847223,2253840
libgstreamer-lite.so,878231,2253128
cognitect/*.*,653115,2243019
lib/x86_64-macos/libshaderc_shared.dylib,694640,2070128
editor/scene,1005819,2061095
editor/collection,868892,1847196
lib/arm64-macos/libshaderc_shared.dylib,618592,1814296
lib/arm64-linux/libmodelc_shared.so,645698,1734792
lib/x86_64-linux/libmodelc_shared.so,639449,1691184
com/github/benmanes/caffeine/*.*,608969,1671617
editor/collision_object,742951,1599834
editor/atlas,764913,1597296
Defold/Defold,1581728,1581728
editor/tile_source,678828,1448141
ch/qos/*.*,650229,1442658
editor/tile_map,667553,1389766
javassist/*.*,639452,1371253
_unpack/x86_64-linux/bin/lsp/lua/meta/spell/dictionary.txt,628004,1332879
schema/*.*,577653,1266387
lib/x86_64-win32/modelc_shared.dll,394281,1266176
editor/game_object,566556,1202766
editor/gui__init,133869,1140092
org/joda/*.*,493820,1046821
libexec/x86_64-linux/strip_android_aarch64,464606,1043600
com/defold/*.*,365391,1040060
editor/font,484216,1029095
editor/ui,512151,948345
_unpack/x86_64-linux/lib/libparticle_shared.so,382312,918472
libexec/x86_64-linux/strip_android,412600,917040
editor/curve_view,430495,905523
org/openmali/*.*,371153,900682
editor/app_manifest,413069,868195
lib/builtins.zip,830275,848631
_unpack/x86_64-linux/lib/libjogl_desktop.so,118884,781024
editor/model,368807,777594
editor/code/data,386681,754184
META-INF/*.*,200862,749709
editor/sprite,342964,731697
org/jsoup/*.*,330403,705826
editor/defold_project,332883,683075
reitit/*.*,315977,676860
libexec/x86_64-linux/luajit-64,309030,633840
editor/game_object_non_editable,288451,630976
org/luaj/*.*,290099,622154
editor/code/script,292518,616982
org/jdom2/*.*,260354,613379
editor/debug_view,299302,611514
editor/properties_view,305818,609507
welcome/*.*,560219,599552
editor/cubemap,271300,576330
editor/scene_visibility,276533,572011
editor/camera,275956,571517
editor/scene_tools,281673,569843
org/yaml/snakeyaml/*.*,248795,565020
editor/lsp,291411,564110
editor/mesh,269699,560990
editor/cljfx_form_view,271652,553626
editor/workspace,267912,553293
lib/report_template.html,154755,547951
org/msgpack/*.*,237819,547298
libjfxmedia.so,192341,546576
editor/material,255670,539859
editor/label,251913,536001
editor/asset_browser,266057,530805
net/jpountz/util/win32/amd64/liblz4-java.so,175313,520219
editor/settings,245158,517540
org/stringtemplate/*.*,226179,507488
editor/sound,237401,504826
lib/x86_64-macos/libmodelc_shared.dylib,160112,501240
com/jcraft/*.*,253422,498410
org/snakeyaml/engine/*.*,207355,494337
builtins/input/default.gamepads,8305,493297
editor/code/transpilers,230692,488845
lib/arm64-macos/libmodelc_shared.dylib,138995,475272
org/commonmark/*.*,209969,468111
editor/outline_view,225215,455998
libglassgtk3.so,164302,453160
editor/collection_non_editable,196233,432320
editor/markdown,186955,420524
editor/console,199749,407016
editor/resource_node,189151,400767
editor/properties,203737,399263
_unpack/x86_64-linux/lib/libjogl_mobile.so,65767,387712
editor/model_scene,162044,365138
internal/graph/*.*,173411,364965
editor/render_pb,172156,359317
editor/editor_extensions/ui_components,176073,359139
editor/fxui,158037,357684
editor/lsp/server,183273,354508
editor/geom,178675,354477
editor/types,175802,343721
DejaVuSansMono.ttf,201912,340712
