filename,compressed,uncompressed
JDK,72410410,72410410
libexec/bundletool-all.jar,30633323,32505571
_unpack/x86_64-linux/bin/dmengine,9903987,24612160
com/sun/*.*,8526502,21076482
clojure/*.*,6991211,15503317
lib/android.jar,10299057,13989417
com/ibm/*.*,6146730,13876950
com/dynamo/*.*,4741883,13429606
libexec/x86_64-linux/tint,3807869,12036104
libexec/x86_64-linux/glslang,3030104,11949752
editor/gui,5325252,11252370
libexec/x86_64-win32/dmengine.exe,3278980,8713216
libexec/x86_64-macos/dmengine,3525528,8152960
libexec/x86_64-win32/dmengine_release.exe,2792976,7866368
javafx/*.*,3437795,7628202
libexec/x86_64-macos/dmengine_release,3073961,7516800
libexec/arm64-macos/dmengine,3201353,7321536
lib/x86_64-linux/libtexc_shared.so,3011740,7240240
lib/arm64-linux/libtexc_shared.so,2993112,7184048
lib/x86_64-win32/shaderc_shared.dll,1632702,6892032
libexec/arm64-macos/dmengine_release,2754207,6692920
lib/x86_64-linux/libc++.so,1498484,6457600
libexec/x86_64-linux/aapt2,2304746,6456248
libexec/x86_64-linux/dmengine,2743137,5636736
com/jogamp/*.*,2060879,5301844
jogamp/*.*,1994042,5001762
libexec/x86_64-linux/dmengine_release,2288806,4986000
libexec/arm64-linux/dmengine,2490928,4963840
lib/x86_64-linux/libshaderc_shared.so,1673206,4830728
libexec/x86_64-linux/spirv-opt,1772439,4698856
libexec/arm64-android/libdmengine.so,2357040,4664728
libexec/x86_64-linux/lipo,2544968,4519843
com/google/protobuf/*.*,1515935,4466162
lib/arm64-linux/libshaderc_shared.so,1558150,4437416
org/apache/commons/*.*,1825929,4341235
libexec/arm64-linux/dmengine_release,2039717,4324840
org/eclipse/jgit/*.*,1849713,4164787
libexec/arm64-android/libdmengine_release.so,1902777,4010520
libexec/x86_64-ios/dmengine,2062810,3990176
com/fasterxml/jackson/*.*,1401584,3932759
lib/x86_64-win32/texc_shared.dll,1326451,3761664
lib/x86_64-macos/libshaderc_shared.dylib,1128322,3582776
libexec/arm64-ios/dmengine,1867300,3573240
libexec/x86_64-ios/dmengine_release,1611510,3361640
com/amazonaws/*.*,1271062,3207351
cljfx/*.*,1520561,3173593
lib/arm64-macos/libshaderc_shared.dylib,1015956,3167944
libexec/wasm_pthread-web/dmengine.wasm,1482327,3166038
builtins/assets/images/logo/logo_blue_1024.bmp,184045,3147874
libexec/wasm-web/dmengine.wasm,1479176,3136852
libexec/arm64-ios/dmengine_release,1418408,2932528
editor/code/view,1382557,2818512
libexec/wasm_pthread-web/dmengine_release.wasm,1071237,2587052
org/eclipse/jetty/*.*,1135632,2573055
libexec/wasm-web/dmengine_release.wasm,1066931,2569742
editor/particlefx,1175638,2501673
lib/x86_64-macos/libtexc_shared.dylib,1019190,2466000
editor/app_view,1222546,2454901
org/apache/http/*.*,1040887,2407275
_unpack/x86_64-linux/bin/lsp/lua/bin/lua-language-server,906810,2346392
org/codehaus/jackson/*.*,857085,2288635
libexec/x86_64-linux/apkc,847223,2253840
cognitect/*.*,653247,2243026
