filename,compressed,uncompressed
JDK,72410410,72410410
libexec/bundletool-all.jar,30633323,32505571
_unpack/x86_64-linux/bin/dmengine,9948714,24711952
com/sun/*.*,8526502,21076482
clojure/*.*,6991944,15504861
lib/android.jar,10833398,14664759
com/ibm/*.*,6146730,13876950
libexec/x86_64-linux/tint,3807869,12036104
libexec/x86_64-linux/glslang,3030104,11949752
com/dynamo/*.*,4221761,11833693
editor/gui,5344288,11290381
libexec/x86_64-macos/dmengine,3852204,8849832
libexec/x86_64-win32/dmengine.exe,3282889,8724992
libexec/x86_64-macos/dmengine_release,3397730,8205336
libexec/arm64-macos/dmengine,3494554,7910192
libexec/x86_64-win32/dmengine_release.exe,2792658,7868928
javafx/*.*,3438482,7629541
libexec/x86_64-linux/aapt2,2777346,7620984
libexec/arm64-macos/dmengine_release,3044937,7281496
lib/x86_64-linux/libtexc_shared.so,3014901,7245336
lib/arm64-linux/libtexc_shared.so,2993257,7182624
lib/x86_64-win32/shaderc_shared.dll,1635220,6902272
lib/x86_64-linux/libc++.so,1498484,6457600
libexec/x86_64-linux/dmengine,2749811,5629288
com/jogamp/*.*,2060879,5301844
jogamp/*.*,1994042,5001762
libexec/x86_64-linux/dmengine_release,2289011,4989784
libexec/arm64-linux/dmengine,2491119,4973600
lib/x86_64-linux/libshaderc_shared.so,1682053,4851736
libexec/x86_64-linux/spirv-opt,1772439,4698856
libexec/arm64-android/libdmengine.so,2364736,4681184
libexec/x86_64-linux/lipo,2544968,4519843
com/google/protobuf/*.*,1515935,4466162
lib/arm64-linux/libshaderc_shared.so,1566066,4459032
org/apache/commons/*.*,1826544,4341676
libexec/arm64-linux/dmengine_release,2038007,4331360
org/eclipse/jgit/*.*,1849713,4164787
libexec/arm64-android/libdmengine_release.so,1908323,4034400
libexec/x86_64-ios/dmengine,2072526,4014856
com/fasterxml/jackson/*.*,1401584,3932759
lib/x86_64-win32/texc_shared.dll,1327394,3763712
lib/x86_64-macos/libshaderc_shared.dylib,1125435,3580048
libexec/arm64-ios/dmengine,1871457,3573224
libexec/x86_64-ios/dmengine_release,1616500,3365824
cljfx/*.*,1568305,3266985
com/amazonaws/*.*,1271062,3207351
libexec/wasm_pthread-web/dmengine.wasm,1497523,3192943
lib/arm64-macos/libshaderc_shared.dylib,1016468,3172760
libexec/wasm-web/dmengine.wasm,1487999,3161456
builtins/assets/images/logo/logo_blue_1024.bmp,184045,3147874
libexec/arm64-ios/dmengine_release,1426010,2932512
editor/code/view,1401446,2858053
libexec/wasm_pthread-web/dmengine_release.wasm,1078329,2606404
libexec/wasm-web/dmengine_release.wasm,1076088,2591923
org/eclipse/jetty/*.*,1135632,2573055
editor/particlefx,1176784,2504504
editor/app_view,1227590,2467902
lib/x86_64-macos/libtexc_shared.dylib,1011048,2444752
org/apache/http/*.*,1040887,2407275
_unpack/x86_64-linux/bin/lsp/lua/bin/lua-language-server,906810,2346392
org/codehaus/jackson/*.*,857085,2288635
libexec/x86_64-linux/apkc,847223,2253840
cognitect/*.*,653102,2242900
