symbol_group_name,vmsize,filesize
dmGameSystem,763322,926931
dmScript,670653,171704
dmGraphics,311414,367815
_mbedtls_* (library),229695,257674
dmGameObject,153674,189437
dmGui,149022,175137
dmRender,140604,175909
(anonymous namespace),138695,194168
basist,137066,133274
dmCrash,119265,15297
std,109469,116187
_compress_* (library),107860,108935
dmHashTable<>,83725,94635
[section .text],70424,70424
_pfb,65536,65569
dmPhysics,58071,74837
dmParticle,58010,65782
_decompress_* (library),50473,51239
dmResource,39954,48923
_cf_* (library),35509,42754
dmSound,34414,39921
dmRig,31207,35027
btCollisionWorld,30610,38976
btConvexHullInternal,30460,31937
btConeTwistConstraint,30127,31829
btSequentialImpulseConstraintSolver,29805,33563
dmEngine,29338,32555
_GLOBAL_* (library),25321,30560
btDiscreteDynamicsWorld,25213,29104
dmInput,24737,25447
_load_* (library),23454,23631
libunwind,23347,25261
dmDDF,22329,28688
_psa_* (library),20361,23785
btGeneric6DofSpring2Constraint,19878,23089
btQuantizedBvh,19223,21193
btHingeConstraint,18969,20564
dmObjectPool<>,17382,19590
_lua_* (library),16716,20335
vwin8192,16384,16417
__cxxabiv1,16071,23960
btIDebugDraw,15765,17218
dmHID,15294,20375
btGImpactCollisionAlgorithm,15245,18066
btGeneric6DofConstraint,14081,16475
btSliderConstraint,13344,14682
btRigidBody,12896,14907
gjkepa2_impl,12593,13871
b2World,12494,13481
_strfmt_* (library),12438,13217
dmSoundCodec,12426,15644
_lib_* (library),12383,14680
dmHttpClient,11401,13483
_internal_* (library),11202,11421
[section .plt],11040,11040
dmHttpService,10958,12799
dmEasing,10874,10985
dmHttpCache,10570,12014
btGjkPairDetector,10299,11239
btConvexConvexAlgorithm,9966,12166
btDbvt,9831,11360
_luaL_* (library),9822,11667
mdct_backward,9785,9823
[section .dynsym],9720,9720
b2DynamicTree,9720,10911
dmSocket,9673,12101
_create_* (library),9640,9715
btPolyhedralContactClipping,9359,10076
btAxisSweep3Internal<>,9342,11344
[section .hash],9232,9232
_tinfl_* (library),8837,9173
btAlignedObjectArray<>,8806,10697
b2PrismaticJoint,8659,10242
dBoxBox2(),8633,8768
b2ContactSolver,8603,9328
TextLayoutResolveMarkup(),8471,8586
dmArray<>,8214,10302
_get_* (library),8211,9564
vwin4096,8192,8225
RefreshObjectStyles(),8077,8140
_Register_* (library),7971,11972
_mz_* (library),7960,8612
_err_* (library),7917,8860
dmSys,7865,9578
dmConnectionPool,7862,9169
_BC_* (library),7817,11026
b2GearJoint,7663,8515
_parse_* (library),7642,8116
_cxa_* (library),7484,8802
_zip_* (library),7435,7963
dmConfigFile,7434,8464
_ctype_* (library),7402,8132
dmBuffer,7396,8997
btHashedOverlappingPairCache,7141,10528
dmPlatform,7135,16469
btCompoundCompoundCollisionAlgorithm,7046,8389
btPersistentManifold,6943,7738
_decl_* (library),6759,7116
btConvexPlaneCollisionAlgorithm,6757,8260
btConvexConcaveCollisionAlgorithm,6740,8988
b2RevoluteJoint,6669,8222
b2Body,6585,7472
_alloc_* (library),6574,6850
btCompoundCollisionAlgorithm,6506,8206
btPolyhedralConvexShape,6438,7222
_tls13_* (library),6092,6707
_process_* (library),6000,6177
FontSDFGenerate(),5962,6061
dmLiveUpdate,5952,7369
btDbvtBroadphase,5882,7418
dmResourceMounts,5864,7295
FontCreateLayoutVertices(),5817,5942
[section .gnu.hash],5804,5804
dmDeviceOpenSL,5790,6667
GenerateDistanceField(),5743,5855
[section .dynstr],5711,5711
InterpretCharString(),5689,5784
b2SeparationFunction,5637,5895
_meta_* (library),5614,6181
btGImpactMeshShapePart,5604,8462
b2WheelJoint,5565,6753
_ShaderDesc_* (library),5544,7813
_cconv_* (library),5543,5866
[section .got.plt],5536,5536
btMinkowskiPenetrationDepthSolver,5395,6098
btVoronoiSimplexSolver,5360,6161
dmMessage,5225,6788
_debug_* (library),5213,5715
b2GridShape,5179,6548
_book_* (library),5156,5527
_ff_* (library),5137,7421
_NodeDesc_* (library),5080,7732
