symbol_group_name,vmsize,filesize
[__LINKEDIT],3842048,3840456
MVK_spirv_cross,1691105,1690961
dmScript,630248,105616
dmGameSystem,401908,392716
basist,388410,373546
std,314244,314244
_lj_* (library),248648,248648
"_TEXT,_* (library)",234511,234511
_mbedtls_* (library),131660,131484
_variable_* (library),127132,127132
dmGui,121008,120032
dmGameObject,119184,119160
dmCrash,110808,6328
(anonymous namespace),110736,110736
dmGraphics,110686,109718
dmRender,107160,99032
_except_* (library),106036,106036
MVKPixelFormats,103226,103202
_LZ4_* (library),83232,83232
_GLOBAL_* (library),80704,80704
spvtools,69246,69246
_ZNSt3_* (library),66112,66112
__watermarkTextureContent,65536,65536
MVKInstance,62343,62343
MVKDevice,60803,60803
MVKSmallVectorImpl<>,60400,60400
dmHashTable<>,57520,57520
dmParticle,57416,57248
_LZ4HC_* (library),48944,48944
MVKGraphicsPipeline,42338,42338
dmPhysics,41836,41720
stbi__process_marker(),40784,40784
_recff_* (library),36480,36480
btConeTwistConstraint,36152,36152
dmResource,35168,35168
MVKObjectPool<>,34117,34117
dmRig,33496,33472
MVKPhysicalDevice,32741,32677
opencl_entries,29808,29808
MVKCommandTypePool<>,29459,29459
_asm_* (library),27616,27616
MVKCommandPool,26113,26113
spv,25696,25696
_load_* (library),25424,25424
mvk,24879,24759
btQuantizedBvh,24168,24168
dmSound,24000,23808
btCollisionWorld,23976,23968
_zip_* (library),22688,22688
btSequentialImpulseConstraintSolver,21984,21984
btDiscreteDynamicsWorld,21712,21712
_lua_* (library),20008,20008
dmEngine,19640,19632
_fold_* (library),19536,19536
_cp_* (library),18384,18384
MVKCmdBufferImageCopy<>,18137,18137
_parse_* (library),17728,17728
MVKDescriptorTypePool<>,17104,17104
MVKImage,17042,17042
dmInput,16392,15360
_vwin8192,16384,16384
MVKCommandEncoder,16224,16224
MVKRenderSubpass,15779,15779
dmLiveUpdate,15756,14660
_KHR_* (library),15340,0
MVKDescriptorPool,15174,15174
glsl_entries,14912,14912
__glfw,14752,0
cereal,14710,14710
MVKCmdBlitImage<>,14560,14560
dmDDF,14376,14312
_field_* (library),14352,14352
_OBJC_* (library),14320,14320
btAxisSweep3Internal<>,13936,13936
_ssl_* (library),13876,13876
_rec_* (library),13664,13664
gjkepa2_impl,13108,13108
MVKDescriptorSetLayoutBinding,12933,12933
btGeneric6DofConstraint,12800,12800
dmObjectPool<>,12480,12480
b2World,12256,12256
_EXT_* (library),11960,0
_dmGameSystemDDF_* (library),11773,11352
MVKExtensionList,11747,11747
MVKGraphicsResourcesCommandEncoderState,11554,11554
_vorbis_* (library),11392,11392
dmHttpCache,11102,11102
dmEasing,11000,11000
MVKCmdResolveImage<>,10758,10758
_DATA_* (library),10520,10520
dmResourceMounts,10444,10444
MVKQueueFullCommandBufferSubmission<>,10420,10420
dmHID,10352,9968
tinfl_decompress(),10256,10256
_crc_* (library),10240,10240
_luaL_* (library),10176,10176
dmHttpClient,10048,10032
_inflate,10016,10016
b2DynamicTree,9984,9984
_create_* (library),9904,9904
_expr_* (library),9840,9840
btDbvt,9840,9840
"_DATA,_* (library)",9832,9832
_crec_* (library),9360,9360
MVKCmdCopyImage<>,8976,8976
MVKCommandResourceFactory,8860,8860
_dmRigDDF_* (library),8826,8680
dBoxBox2(),8736,8736
dmSocket,8720,8720
MVKDescriptorSetLayout,8617,8617
_ov_* (library),8480,8480
_sincos_* (library),8208,8208
_vwin4096,8192,8192
MVKDeviceMemory,8132,8132
btOptimizedBvh,8112,8112
_shader_* (library),8096,8096
_dmRenderDDF_* (library),7868,7544
btIDebugDraw,7712,7712
_json_* (library),7712,7696
_ciphersuite_* (library),7680,7680
MVKSwapchain,7663,7663
dmBuffer,7624,7616
_clspvreflection_* (library),7552,7552
b2ContactSolver,7472,7472
MVKDescriptorSet,7459,7459
_x509_* (library),7308,7308
btGjkEpaSolver2,7296,7296
btConvexConvexAlgorithm,7264,7264
MVKQueue,7228,7228
b2PrismaticJoint,7168,7168
btRigidBody,7064,7064
_ogg_* (library),7040,7040
MVKCmdBeginRenderPass<>,7016,7016
_deflate_* (library),6960,6960
MVKPipelineCache,6952,6952
dmConfigFile,6928,6928
MVKCommandEncodingPool,6905,6905
_debuginfo_* (library),6816,6816
_lex_* (library),6704,6704
_ecp_* (library),6411,6363
btVoronoiSimplexSolver,6288,6288
debuginfo_entries,6256,6256
MVKCmdClearImage<>,6146,6146
MVKImagePlane,6096,6096
MVKCmdClearAttachments<>,6094,6094
b2GearJoint,6000,6000
MVKAttachmentDescription,5995,5995
_dmPhysicsDDF_* (library),5844,5744
MVKShaderLibrary,5819,5819
_dmGraphics_* (library),5810,5728
_mdct_* (library),5760,5760
MVKCmdDrawIndexedIndirect,5724,5724
btCompoundCollisionAlgorithm,5704,5704
MVKCmdDrawIndirect,5701,5701
dmHttpService,5568,5568
b2SeparationFunction,5440,5440
b2GridShape,5420,5420
btCompoundShape,5384,5384
