compileunits,vmsize,filesize
src/gameobject/gameobject_props.cpp,4993387,4993387
[__LINKEDIT],1086525,1084821
src/zip/zip.cpp,585610,585610
src/script.cpp,562700,38332
src/basis/transcoder/basisu_transcoder.cpp,523204,523204
"[__TEXT,__cstring]",499955,499955
src/gui.cpp,245314,138930
proto/graphics/graphics_ddf.cpp,114800,86084
"[__TEXT,__gcc_except_tab]",106004,106004
src/vulkan/graphics_vulkan.cpp,99135,99047
src/gameobject/gameobject.cpp,98708,98676
src/particle.cpp,90283,90171
src/lz4/lz4.c,80257,80257
src/dlib/image.cpp,71909,71909
"[__TEXT,__unwind_info]",68504,68504
src/gamesys/components/comp_gui.cpp,66012,65260
src/gamesys/components/comp_model.cpp,61155,59979
src/gamesys/components/comp_tilegrid.cpp,57211,52987
src/transcoder/graphics_transcoder_basisu.cpp,56697,17753
src/gui_script.cpp,56081,56081
src/lz4/lz4hc.c,55064,55064
src/rig.cpp,47179,46939
src/gamesys/components/comp_sprite.cpp,46283,45915
src/render/render_script.cpp,43646,43302
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btConeTwistConstraint.cpp,40708,40708
src/gamesys/components/comp_mesh.cpp,38955,37923
src/sound.cpp,37051,36939
src/mbedtls/library/ssl_tls.c,36174,36174
src/resource_preloader.cpp,35492,33868
src/gamesys/resources/res_model.cpp,34770,34770
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btCollisionWorld.cpp,34709,34709
src/render/render.cpp,34477,34165
src/script_vmath.cpp,34472,34472
src/resource.cpp,34287,34279
src/gamesys/scripts/script_physics.cpp,33943,31655
src/gamesys/scripts/script_resource.cpp,32717,32717
src/dlib/hash.cpp,31775,31775
src/graphics.cpp,31618,31586
src/engine.cpp,31003,30979
proto/rig/rig_ddf.cpp,29522,29318
src/gameobject/gameobject_script.cpp,28306,28306
src/luasocket/inet.c,28250,28250
src/physics/physics_3d.cpp,26547,26491
../package/bullet-2.77/src/BulletDynamics/Dynamics/btDiscreteDynamicsWorld.cpp,26472,26468
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btQuantizedBvh.cpp,26302,26298
src/gamesys/resources/res_texture.cpp,26155,23331
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btSequentialImpulseConstraintSolver.cpp,26002,25998
src/input.cpp,24704,24616
src/physics/box2d_defold/box2d_defold_physics.cpp,23877,23821
"[__TEXT,__objc_methname]",21823,21823
src/resource_mounts.cpp,21816,21816
../package/bullet-2.77/src/BulletCollision/NarrowPhaseCollision/btGjkEpa2.cpp,21786,21786
src/vulkan/graphics_vulkan_device.cpp,21725,21725
"[__TEXT,__eh_frame]",20560,20560
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btAxisSweep3.cpp,20347,20347
../package/bullet-2.77/src/BulletDynamics/ConstraintSolver/btGeneric6DofConstraint.cpp,20301,20301
src/gamesys/components/comp_label.cpp,20220,19748
"[__DATA_CONST,__const]",20080,20080
src/gameobject/comp_anim.cpp,18703,18695
src/luacjson/lua_cjson.c,18701,18573
src/mbedtls/crypto/library/bignum.c,18611,18611
../Box2D/Dynamics/b2World.cpp,17958,17958
src/zlib/deflate.c,17838,17838
src/gamesys/components/comp_sound.cpp,17210,16498
src/zlib/inflate.c,16629,16629
src/gameobject/comp_script.cpp,16446,16438
src/mbedtls/crypto/library/ecp.c,16218,16154
src/render/material.cpp,15877,15877
src/gamesys/components/box2d/comp_collision_object_box2d.cpp,15732,15724
src/gamesys/components/comp_particlefx.cpp,15634,15602
src/gamesys/scripts/script_buffer.cpp,15043,15043
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btDbvt.cpp,14949,14885
src/mbedtls/crypto/library/aes.c,14764,5980
src/dlib/http_cache.cpp,14297,14297
src/script_table.cpp,14099,14099
src/render/font.cpp,14004,14004
src/script_timer.cpp,13806,13686
src/dlib/buffer.cpp,13584,13584
src/gamesys/gamesys_private.cpp,13564,13564
src/gamesys/components/comp_collision_object.cpp,13545,13545
src/mbedtls/library/x509_crt.c,13180,13180
"[__DATA,__objc_const]",13136,13136
src/gamesys/scripts/box2d/script_box2d_body_defold.cpp,12934,12934
src/mbedtls/crypto/library/rsa.c,12859,12859
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btConvexConcaveCollisionAlgorithm.cpp,12482,12482
src/zlib/crc32.c,12313,12313
proto/gamesys/physics_ddf.cpp,12184,12052
src/script_sys.cpp,12134,12118
src/dlib/http_client.cpp,12122,12122
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btDbvtBroadphase.cpp,12040,12040
src/zlib/trees.c,11988,11988
../package/bullet-2.77/src/BulletCollision/BroadphaseCollision/btOverlappingPairCache.cpp,11776,11760
proto/gamesys/gamesys_ddf.cpp,11747,11575
src/dlib/configfile.cpp,11294,11238
src/render/constant.cpp,11248,11248
proto/gameobject/gameobject_ddf.cpp,11243,10863
../Box2D/Collision/b2DynamicTree.cpp,11174,11174
../package/bullet-2.77/src/LinearMath/btQuickprof.cpp,11145,10201
src/http_service.cpp,11035,11035
src/gamesys/resources/res_collection_factory.cpp,11017,11017
proto/gamesys/gui_ddf.cpp,10971,10759
../Box2D/Collision/b2TimeOfImpact.cpp,10942,9654
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btBoxBoxDetector.cpp,10925,10925
src/render/font_renderer.cpp,10870,10510
../Box2D/Dynamics/b2ContactManager.cpp,10688,10688
src/gamesys/components/comp_collection_proxy.cpp,10654,10630
src/mbedtls/library/ssl_cli.c,10528,10528
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btConvexConvexAlgorithm.cpp,10431,10423
src/physics/debug_draw_3d.cpp,10383,10383
src/mbedtls/library/ssl_ciphersuites.c,10188,9524
src/gamesys/components/bullet3d/comp_collision_object_bullet3d.cpp,9934,9926
src/gamesys/resources/res_gui.cpp,9827,9699
src/liveupdate.cpp,9767,9631
src/gamesys/resources/res_font.cpp,9688,9688
src/ddf/ddf_math.cpp,9613,8285
../Box2D/Dynamics/Contacts/b2ContactSolver.cpp,9390,9386
../package/bullet-2.77/src/BulletCollision/CollisionShapes/btOptimizedBvh.cpp,9308,9308
src/render/program_utils.cpp,9301,9301
src/physics/physics.cpp,9296,9296
src/gamesys/components/comp_private.cpp,9233,9233
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btCompoundCollisionAlgorithm.cpp,8884,8884
../Box2D/Dynamics/Joints/b2PrismaticJoint.cpp,8852,8852
proto/input/input_ddf.cpp,8747,8715
../package/bullet-2.77/src/BulletDynamics/Dynamics/btRigidBody.cpp,8618,8606
src/resource_archive.cpp,8445,8445
src/dlib/message.cpp,8434,8274
src/dlib/connection_pool.cpp,8395,8395
src/ddf/ddf_message.cpp,8228,8228
proto/gamesys/tile_ddf.cpp,7999,7799
proto/particle/particle_ddf.cpp,7936,7820
../Box2D/Collision/b2Distance.cpp,7927,7915
src/gamesys/components/comp_collection_factory.cpp,7898,7890
src/mbedtls/crypto/library/des.c,7887,7887
src/mbedtls/crypto/library/ecp_curves.c,7881,7881
proto/render/font_ddf.cpp,7810,7538
src/mbedtls/crypto/library/cipher_wrap.c,7772,7612
src/gamesys/components/comp_factory.cpp,7765,7757
../package/bullet-2.77/src/BulletCollision/CollisionShapes/btCompoundShape.cpp,7726,7726
src/render/font_renderer_default.cpp,7706,7626
../package/bullet-2.77/src/BulletCollision/NarrowPhaseCollision/btVoronoiSimplexSolver.cpp,7339,7339
src/hid.cpp,7214,6822
src/ddf/ddf.cpp,7206,7206
src/dlib/socket_posix.cpp,7141,7141
src/providers/provider_archive_mutable.cpp,7000,7000
src/script_hash.cpp,6934,6934
../Box2D/Collision/Shapes/b2GridShape.cpp,6890,6890
src/gamesys/components/comp_camera.cpp,6809,6801
../Box2D/Dynamics/Joints/b2GearJoint.cpp,6745,6745
src/script_ddf.cpp,6732,6700
../Box2D/Dynamics/b2Body.cpp,6693,6693
src/gamesys/gamesys.cpp,6641,6625
src/graphics_vertices.cpp,6627,6627
../package/bullet-2.77/src/BulletCollision/CollisionShapes/btBvhTriangleMeshShape.cpp,6620,6620
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btDefaultCollisionConfiguration.cpp,6474,6474
src/platform_window_glfw3.cpp,6440,6440
../Box2D/Dynamics/Joints/b2RevoluteJoint.cpp,6404,6404
../package/bullet-2.77/src/BulletCollision/NarrowPhaseCollision/btMinkowskiPenetrationDepthSolver.cpp,6363,5363
src/gameobject/component.cpp,6312,6312
"[__TEXT,__objc_methtype]",6307,6307
src/mbedtls/crypto/library/oid.c,6238,6238
src/mbedtls/crypto/library/pkparse.c,6222,6222
src/luasocket/options.c,6083,6083
../Box2D/Collision/b2CollideEdge.cpp,6082,6082
src/gameobject/res_collection.cpp,5986,5858
src/gamesys/scripts/script_http.cpp,5983,5983
src/script_liveupdate.cpp,5977,5977
src/mbedtls/crypto/library/sha1.c,5967,5967
src/script_msg.cpp,5901,5901
"[__DATA_CONST,__cfstring]",5856,5856
src/dlib/log.cpp,5829,5829
proto/render/render_ddf.cpp,5732,5692
src/render/camera.cpp,5663,5663
src/native/hid_native.cpp,5619,5619
proto/gamesys/model_ddf.cpp,5613,5337
src/mbedtls/crypto/library/camellia.c,5605,5605
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btGhostObject.cpp,5568,5568
src/devices/device_openal.cpp,5561,5561
../Box2D/Dynamics/Joints/b2PulleyJoint.cpp,5541,5541
../Box2D/Dynamics/Joints/b2WheelJoint.cpp,5483,5483
../Box2D/Common/b2Math.cpp,5438,5438
src/gamesys/scripts/script_sys_gamesys.cpp,5429,5429
src/providers/provider_zip.cpp,5375,5375
src/gamesys/scripts/script_collection_factory.cpp,5374,5374
"[__DATA,__objc_selrefs]",5288,5288
src/vulkan/graphics_vulkan_swap_chain.cpp,5275,5275
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btConvexPlaneCollisionAlgorithm.cpp,5260,5260
src/gamesys/scripts/script_tilemap.cpp,5250,5250
src/script/sys_ddf.cpp,5127,3783
src/gamesys/scripts/script_model.cpp,5118,5118
src/gamesys/resources/res_render_target.cpp,5064,5064
src/script_module.cpp,5063,5063
src/gamesys/resources/res_textureset.cpp,5055,5055
src/sound_codec.cpp,5032,5008
../package/bullet-2.77/src/BulletCollision/CollisionDispatch/btSimulationIslandManager.cpp,5026,5026
"[__TEXT,__stub_helper]",5006,5006
../Box2D/Dynamics/b2Island.cpp,4966,4966
src/gamesys/resources/res_tilegrid.cpp,4952,4952
