symbol_group_name,vmsize,filesize
[__LINKEDIT],3325952,3322120
MVK_spirv_cross,1642853,1642709
dmScript,628836,104232
dmGameSystem,407768,406552
basist,375871,361007
std,285795,285795
_lj_* (library),248120,248120
"_TEXT,_* (library)",228634,228634
_variable_* (library),127496,127496
dmGui,118244,117260
dmGameObject,115160,115136
dmCrash,111620,5972
dmGraphics,108530,107514
_mbedtls_* (library),105712,105696
(anonymous namespace),104700,104700
dmRender,103040,102744
MVKPixelFormats,101738,101714
_except_* (library),101612,101612
_GLOBAL_* (library),68016,68016
_pfb,65600,65600
__watermarkTextureContent,65536,65536
_ZNSt3_* (library),63952,63952
MVKInstance,62103,62103
MVKSmallVectorImpl<>,60272,60272
MVKDevice,59731,59731
dmHashTable<>,56240,56240
dmParticle,52512,52344
MVKGraphicsPipeline,40754,40754
dmPhysics,40024,40024
spvtools,39751,39751
_recff_* (library),36480,36480
stbi__process_marker(),35479,35479
MVKObjectPool<>,34117,34117
dmResource,33064,33064
dmRig,32056,32032
MVKPhysicalDevice,30853,30789
opencl_entries,29808,29808
MVKCommandTypePool<>,29459,29459
_asm_* (library),27616,27616
MVKCommandPool,26113,26113
spv,25696,25696
dmSound,25208,25056
_load_* (library),24656,24656
btCollisionWorld,23684,23684
mvk,22406,22286
btSequentialImpulseConstraintSolver,21744,21744
btDiscreteDynamicsWorld,21472,21472
dmEngine,20456,20440
_fold_* (library),19536,19536
_cp_* (library),18384,18384
_parse_* (library),17728,17728
MVKDescriptorTypePool<>,17104,17104
MVKCmdBufferImageCopy<>,17001,17001
dmLiveUpdate,16752,15656
dmInput,16632,15600
_lua_* (library),16464,16464
_vwin8192,16384,16384
MVKImage,16034,16034
_KHR_* (library),15340,0
MVKRenderSubpass,15267,15267
MVKCommandEncoder,14992,14992
glsl_entries,14912,14912
MVKDescriptorPool,14870,14870
__glfw,14744,0
cereal,14710,14710
_OBJC_* (library),14320,14320
dmObjectPool<>,14256,14256
_ssl_* (library),13693,13693
_rec_* (library),13664,13664
MVKCmdBlitImage<>,13168,13168
gjkepa2_impl,13120,13120
dmDDF,13064,13000
_stbtt_* (library),12848,12848
_dmGameSystemDDF_* (library),12528,8672
MVKDescriptorSetLayoutBinding,12165,12165
_EXT_* (library),11960,0
_zip_* (library),11744,11744
MVKExtensionList,11619,11619
MVKGraphicsResourcesCommandEncoderState,11554,11554
b2World,11072,11072
dmEasing,10856,10856
_vorbis_* (library),10736,10736
_DATA_* (library),10664,10664
dmHttpCache,10599,10599
MVKCmdResolveImage<>,10438,10438
MVKQueueFullCommandBufferSubmission<>,10420,10420
_crc_* (library),10272,10272
_inflate,10016,10016
