symbol_group_name,vmsize,filesize
[__LINKEDIT],3842048,3838248
MVK_spirv_cross,1692352,1692208
dmScript,634436,109824
dmGameSystem,415388,414164
basist,387675,372811
std,315732,315732
_lj_* (library),250848,250848
"_TEXT,_* (library)",241074,241074
_mbedtls_* (library),131369,131197
_variable_* (library),127132,127132
dmGui,125524,124540
dmGameObject,122696,122672
dmGraphics,113153,112073
dmCrash,112164,6516
(anonymous namespace),110736,110736
dmRender,108496,108200
_except_* (library),106140,106140
MVKPixelFormats,103226,103202
_LZ4_* (library),80480,80480
spvtools,69246,69246
_GLOBAL_* (library),68976,68976
_ZNSt3_* (library),67120,67120
_pfb,65616,65616
__watermarkTextureContent,65536,65536
MVKInstance,62343,62343
dmHashTable<>,61712,61712
MVKDevice,60803,60803
MVKSmallVectorImpl<>,60400,60400
dmParticle,56528,56360
_LZ4HC_* (library),49440,49440
stbi__process_marker(),42494,42494
MVKGraphicsPipeline,42338,42338
dmPhysics,42188,42152
_recff_* (library),36656,36656
btConeTwistConstraint,36152,36152
dmResource,34912,34912
MVKObjectPool<>,34117,34117
dmRig,32792,32768
MVKPhysicalDevice,32741,32677
opencl_entries,29808,29808
MVKCommandTypePool<>,29459,29459
_asm_* (library),27696,27696
dmSound,27632,27472
MVKCommandPool,26113,26113
spv,25696,25696
_load_* (library),25392,25392
mvk,24879,24759
btQuantizedBvh,24168,24168
btCollisionWorld,23976,23968
_zip_* (library),23488,23488
btSequentialImpulseConstraintSolver,21984,21984
btDiscreteDynamicsWorld,21712,21712
dmEngine,21360,21344
_lua_* (library),20104,20104
_fold_* (library),19712,19712
_cp_* (library),18400,18400
MVKCmdBufferImageCopy<>,18137,18137
_parse_* (library),17856,17856
MVKDescriptorTypePool<>,17104,17104
MVKImage,17042,17042
dmInput,16840,15808
_vwin8192,16384,16384
MVKCommandEncoder,16224,16224
dmLiveUpdate,15820,14724
MVKRenderSubpass,15779,15779
dmDDF,15672,15608
_KHR_* (library),15340,0
MVKDescriptorPool,15174,15174
glsl_entries,14912,14912
__glfw,14744,0
cereal,14710,14710
MVKCmdBlitImage<>,14560,14560
_field_* (library),14384,14384
_OBJC_* (library),14320,14320
btAxisSweep3Internal<>,13936,13936
dmObjectPool<>,13872,13872
_rec_* (library),13760,13760
_ssl_* (library),13684,13684
gjkepa2_impl,13124,13124
MVKDescriptorSetLayoutBinding,12933,12933
_dmGameSystemDDF_* (library),12896,9040
btGeneric6DofConstraint,12800,12800
b2World,12256,12256
_EXT_* (library),11960,0
MVKExtensionList,11747,11747
MVKGraphicsResourcesCommandEncoderState,11554,11554
_vorbis_* (library),11392,11392
dmEasing,11000,11000
dmHttpCache,10986,10986
MVKCmdResolveImage<>,10758,10758
dmHID,10576,10192
MVKQueueFullCommandBufferSubmission<>,10420,10420
dmResourceMounts,10356,10356
_crc_* (library),10240,10240
_luaL_* (library),10240,10240
b2DynamicTree,9984,9984
_DATA_* (library),9880,9880
"_DATA,_* (library)",9840,9840
btDbvt,9840,9840
_expr_* (library),9760,9760
_dmRenderDDF_* (library),9700,7256
_dmRigDDF_* (library),9628,7080
tinfl_decompress(),9492,9492
_inflate,9392,9392
_crec_* (library),9328,9328
dmHttpClient,9248,9232
MVKCmdCopyImage<>,8976,8976
dmSoundCodec,8904,8872
MVKCommandResourceFactory,8860,8860
dBoxBox2(),8736,8736
MVKDescriptorSetLayout,8617,8617
dmSocket,8608,8608
_ov_* (library),8480,8480
_sincos_* (library),8208,8208
_vwin4096,8192,8192
MVKDeviceMemory,8132,8132
btOptimizedBvh,8112,8112
_shader_* (library),8096,8096
_json_* (library),7872,7856
_ciphersuite_* (library),7760,7760
_create_* (library),7712,7712
btIDebugDraw,7680,7680
MVKSwapchain,7663,7663
_clspvreflection_* (library),7552,7552
b2ContactSolver,7472,7472
MVKDescriptorSet,7459,7459
dmBuffer,7418,7410
_x509_* (library),7346,7346
btGjkEpaSolver2,7296,7296
btConvexConvexAlgorithm,7264,7264
MVKQueue,7228,7228
b2PrismaticJoint,7168,7168
btRigidBody,7064,7064
dmConfigFile,7040,7040
_ogg_* (library),7040,7040
MVKCmdBeginRenderPass<>,7016,7016
MVKPipelineCache,6952,6952
_deflate_* (library),6912,6912
MVKCommandEncodingPool,6905,6905
_debuginfo_* (library),6816,6816
_lex_* (library),6704,6704
_dmGraphics_* (library),6591,5200
_dmPhysicsDDF_* (library),6360,4632
btVoronoiSimplexSolver,6288,6288
debuginfo_entries,6256,6256
_ecp_* (library),6175,6127
MVKCmdClearImage<>,6146,6146
MVKImagePlane,6096,6096
MVKCmdClearAttachments<>,6094,6094
b2GearJoint,6000,6000
MVKAttachmentDescription,5979,5979
GetGlyphTTF(),5952,5952
MVKShaderLibrary,5819,5819
_mdct_* (library),5760,5760
MVKCmdDrawIndexedIndirect,5724,5724
btCompoundCollisionAlgorithm,5704,5704
MVKCmdDrawIndirect,5701,5701
dmHttpService,5472,5472
b2SeparationFunction,5440,5440
b2GridShape,5420,5420
dmConnectionPool,5392,5392
btCompoundShape,5384,5384
topdown(),5224,5168
_inflate_* (library),5200,5200
_dmInputDDF_* (library),5200,4368
dmSys,5168,5072
MVKResourcesCommandEncoderState,5122,5122
_dmGuiDDF_* (library),5100,3976
MVKCmdPipelineBarrier<>,5099,5099
dmResourceArchive,5088,5088
MVKPipelineLayout,5063,5063
MVKRenderingCommandEncoderState,5050,5050
b2RevoluteJoint,5008,5008
btDbvtBroadphase,4992,4992
MVKCommandBuffer,4947,4947
btConvexConcaveCollisionAlgorithm,4944,4944
b2Body,4944,4944
_opt_* (library),4912,4912
_mh_* (library),4864,32
_dmGameObjectDDF_* (library),4816,3232
btMinkowskiPenetrationDepthSolver,4808,3808
btHashedOverlappingPairCache,4808,4808
_run_* (library),4800,4800
spvExpandOperandSequenceOnce(),4784,4784
_do_* (library),4704,4704
_process_* (library),4688,4688
b2EPCollider,4608,4608
btConvexPlaneCollisionAlgorithm,4544,4544
spvTextEncodeOperand(),4464,4464
_snap_* (library),4448,4448
b2Island,4448,4448
b2WheelJoint,4432,4432
_socket_* (library),4368,4368
mvkPopulateShaderConversionConfig(),4356,4356
_meth_* (library),4320,4320
_trace_* (library),4272,4272
MVKRenderPass,4260,4260
dmResourceProviderArchiveMutable,4176,4048
b2PulleyJoint,4176,4176
dmSystemDDF,4152,4152
MVKCmdBindDescriptorSetsStatic<>,4149,4149
btBvhTriangleMeshShape,4136,4136
dmMessage,4104,4064
_vwin2048,4096,4096
mvk_smallvector_allocator<>,4096,4096
MVKPresentableSwapchainImage,4039,4039
dmPlatform,4032,4016
btConvexShape,4024,4024
stbtt_GetGlyphShape(),4016,4016
_dmParticleDDF_* (library),4008,3320
b2WeldJoint,4000,4000
MVKWatermark,3967,3967
_ra_* (library),3952,3952
_pk_* (library),3928,3928
_inet_* (library),3856,3856
dmDeviceAVAudio,3824,3824
dmLog,3824,3520
_gc_* (library),3808,3808
btSimulationIslandManager,3808,3808
MVKImageViewPlane,3758,3758
btGjkPairDetector,3736,3736
_deflate,3664,3664
_serialize_* (library),3648,3648
MVKCmdDrawIndexed,3588,3588
MVKQueryPool,3575,3575
MVKShaderModule,3554,3554
MVKCmdDraw,3533,3533
simple_json,3520,3520
_emit_* (library),3504,3504
_oid_* (library),3439,3439
dmSSLSocket,3432,3424
_tr_* (library),3376,3376
_dmMath_* (library),3372,2392
MVKComputePipeline,3349,3349
MVKTimelineSemaphoreEmulated,3335,3335
MVKCmdCopyBuffer<>,3330,3330
dmResourceProviderZip,3320,3192
b2PolygonShape,3312,3312
dmArray<>,3264,3264
dmIntersection,3216,3216
SphereTriangleDetector,3208,3208
_floor1_* (library),3200,3200
_luaopen_* (library),3184,3184
MVKImageView,3183,3183
_amd_* (library),3152,3152
MVKMTLFunctionNull,3144,0
btConvexHullShape,3136,3136
b2DistanceJoint,3120,3120
MVKComputeResourcesCommandEncoderState,3110,3110
MVKQueueCommandBufferSubmission,3090,3090
_fs_* (library),3088,3088
b2Distance(),3088,3088
MVKBuffer,3083,3083
MVKShaderLibraryCache,3040,3040
b2Contact,3012,2408
MVKQueuePresentSurfaceSubmission,2987,2987
MVKImageMemoryBinding,2984,2984
_strscan_* (library),2976,2976
_res_* (library),2912,2912
b2Fixture,2912,2912
MVKTimestampQueryPool,2912,2912
b2RopeJoint,2912,2912
_glfwSetInputMode,2880,2880
_make_* (library),2864,2864
_stbi_* (library),2848,2848
_parseMapping,2816,2816
btBoxShape,2808,2808
btConvexTriangleCallback,2776,2776
_cploop_* (library),2736,2736
_crc32_* (library),2736,2736
MVKBufferView,2727,2727
_bcwrite_* (library),2720,2720
_build_* (library),2704,2704
btCapsuleShape,2696,2696
btSubsimplexConvexCast,2680,2680
ReverseHashContainer,2672,2672
MVKMTLBufferAllocationPool,2653,2653
MVKFramebuffer,2625,2625
__packetout,2624,2624
MVKCmdBeginRendering<>,2612,2612
btTriangleMeshShape,2568,2568
__glfwCreateContextEGL,2560,2560
b2FrictionJoint,2544,2544
btContinuousConvexCollision,2504,2504
btCollisionDispatcher,2496,2496
FontLoadFromMemoryTTF(),2480,2480
btPersistentManifold,2480,2480
MVKSampler,2461,2461
btCompoundLeafCallback,2456,2456
__glfwPollMonitorsCocoa,2448,2448
_jpeg_* (library),2447,2447
b2Simplex,2432,2432
btGhostObject,2424,2424
_mpi_* (library),2384,2384
_Particle_* (library),2384,2384
MVKCmdPushConstants<>,2361,2361
MVKCmdBindVertexBuffers<>,2352,2352
MVKCmdExecuteCommands<>,2349,2349
_spvTextToBinaryWithOptions,2336,2336
_narrow_* (library),2336,2336
MVKMTLBufferAllocator,2320,2320
MVKCmdBindDescriptorSetsDynamic<>,2304,2304
MVKExtension,2288,2288
b2MouseJoint,2288,2288
btDefaultCollisionConfiguration,2280,2280
b2BlockAllocator,2280,1624
MVKCmdWaitEvents<>,2258,2258
_rsa_* (library),2253,2253
basisu,2250,2234
btAlignedObjectArray<>,2240,2240
btSortedOverlappingPairCache,2216,2216
_match,2208,2208
_io_* (library),2208,2208
_buffer_* (library),2176,2176
btHashMap<>,2160,2160
MVKImageDescriptor,2157,2157
[__TEXT],2140,6900
MVKDeferredOperation,2135,2135
MVKOcclusionQueryPool,2128,2128
_decode_* (library),2112,2112
[__DATA],2096,8
__glfwCreateWindowCocoa,2080,2080
mvkCmdBeginRenderPass(),2064,2064
dmResourceProviderArchive,2064,1936
dmLoadQueue,2064,2064
_char2escape,2048,2048
_fixedtables.lenfix,2048,2048
_vwin1024,2048,2048
_resample_* (library),2032,2032
btTriangleShape,2024,2024
_matchCallback,2000,2000
MVKSurface,1973,1973
MVKDXTnCodec,1967,1967
b2CollidePolygons(),1952,1952
MVKRenderingAttachmentIterator,1937,1937
btTransformUtil,1904,1904
btTypedConstraint,1896,1896
dmCrypt,1888,1888
_idct_* (library),1872,1872
_dmModelDDF_* (library),1868,1160
_ecdsa_* (library),1829,1829
_glfwGetGamepadState,1824,1824
_mapping_* (library),1824,1824
MVKMetalCompiler,1811,1811
__glfwInitCocoa,1808,1808
_cconv_* (library),1808,1808
spvOperandCanBeForwardDeclaredFunction(),1802,1802
MVKBaseObject,1800,1800
_global_* (library),1792,1792
MVKDepthStencilCommandEncoderState,1789,1789
btTranslationalLimitMotor,1776,1776
__glfwSetWindowMonitorCocoa,1728,1728
b2TimeOfImpact(),1728,1728
MVKFence,1726,1726
_block_* (library),1724,1724
btPerturbedContactResult,1720,1720
btManifoldResult,1720,1720
MVKEventEmulated,1707,1707
CProfileManager,1704,1632
__glfwInitEGL,1696,1696
_get_* (library),1694,1694
b2ChainShape,1664,1664
_dmLiveUpdateDDF_* (library),1632,1208
MVKCmdPushDescriptorSet,1626,1626
_dmHttpDDF_* (library),1620,1256
_adler32_* (library),1568,1568
MVKSemaphoreEmulated,1567,1567
MVKPushConstantsCommandEncoderState,1566,1566
btCollisionObject,1560,1560
MVKUnsupportedQueryPool,1541,1541
_cff_* (library),1536,1536
_cpcparser,1520,1520
_bcemit_* (library),1520,1520
